%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,0,1,1,3,3,1488322029741,-1,1488322029210
6,0,1,1,1,0,0,1488322032807,-1,1488322032278
6,0,2,1,1,0,2,1488322035842,-1,1488322035311
6,0,3,1,1,1,2,1488322038941,1488322041141,1488322038378
6,0,4,1,0,1,2,1488322042007,-1,1488322041445
6,0,5,1,1,0,4,1488322045074,-1,1488322044545
6,0,6,1,1,0,1,1488322048108,-1,1488322047579
6,0,7,1,1,0,6,1488322051175,-1,1488322050646
6,0,8,1,0,0,2,1488322054275,1488322056109,1488322053712
6,0,9,1,0,0,7,1488322057342,1488322058642,1488322056812
6,0,10,1,1,1,7,1488322060442,1488322061576,1488322059879
6,1,0,1,1,3,4,1488322068476,-1,1488322067946
6,1,1,1,1,1,4,1488322071543,1488322072610,1488322071013
6,1,2,1,1,1,4,1488322074610,1488322075343,1488322074047
6,1,3,1,1,1,4,1488322077676,1488322078443,1488322077147
6,1,4,1,1,1,4,1488322080776,1488322081510,1488322080216
6,1,5,1,1,0,0,1488322083810,-1,1488322083281
6,1,6,1,1,0,5,1488322086910,-1,1488322086347
6,1,7,1,1,0,6,1488322089978,-1,1488322089415
6,1,8,1,1,0,1,1488322093044,-1,1488322092481
6,1,9,1,1,0,0,1488322096111,-1,1488322095548
6,1,10,1,1,0,4,1488322099211,-1,1488322098649
6,1,11,1,1,0,2,1488322102311,-1,1488322101749
6,1,12,1,1,0,5,1488322105346,-1,1488322104815
6,1,13,1,1,0,0,1488322108411,-1,1488322107882
6,1,14,1,1,1,0,1488322111445,1488322112278,1488322110916
6,1,15,1,1,0,6,1488322114545,-1,1488322113982
6,1,16,1,1,1,6,1488322117612,1488322118279,1488322117050
6,1,17,1,1,0,1,1488322120679,-1,1488322120151
6,1,18,1,1,0,0,1488322123779,-1,1488322123216
