%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,0,0,1,0.3,1,3,3,59.34012,1488312053606,-1,-1,58.80701,1488312053078
3,0,1,1,0.3,1,1,3,62.37399,1488312056640,62.97366,1488312057240,61.84015,1488312056109
3,0,2,1,0.3,1,0,4,65.40759,1488312059673,-1,-1,64.87421,1488312059144
3,0,3,1,0.3,1,2,3,68.47403,1488312062740,-1,-1,67.94043,1488312062210
3,0,4,1,0.3,1,0,2,71.50809,1488312065774,-1,-1,70.97449,1488312065245
3,0,5,1,0.3,1,2,3,74.60757,1488312068873,-1,-1,74.04099,1488312068312
3,0,6,1,0.3,1,0,1,77.6412,1488312071907,-1,-1,77.10812,1488312071380
3,0,7,1,0.3,1,2,2,80.67465,1488312074940,-1,-1,80.14142,1488312074411
3,0,8,1,0.3,1,2,3,83.7081,1488312077974,-1,-1,83.17484,1488312077445
3,0,9,1,0.3,1,2,1,86.7084,1488312080974,-1,-1,86.20825,1488312080479
3,0,10,1,0.3,1,2,2,89.71106,1488312083977,-1,-1,89.20844,1488312083479
3,0,11,1,0.3,1,0,7,92.77615,1488312087042,-1,-1,92.24213,1488312086512
3,0,12,1,0.3,1,1,7,95.87546,1488312090141,96.47556,1488312090741,95.30887,1488312089580
3,0,13,1,0.3,1,1,7,98.90976,1488312093175,99.74234,1488312094008,98.37564,1488312092646
3,0,14,1,0.3,1,0,0,101.9425,1488312096208,-1,-1,101.4424,1488312095712
