%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,0,0,1,0.3,1,3,5,10.70433,1488236945103,-1,-1,10.17104,1488236944574
3,0,1,1,0.3,1,0,3,13.73793,1488236948137,-1,-1,13.20444,1488236947608
3,0,2,1,0.3,1,0,7,16.83777,1488236951237,-1,-1,16.27136,1488236950674
3,0,3,1,0.3,1,1,7,19.87123,1488236954270,20.37126,1488236954770,19.33788,1488236953745
3,0,4,1,0.3,1,0,0,22.93811,1488236957337,-1,-1,22.37169,1488236956775
3,0,5,1,0.3,1,0,3,26.005,1488236960404,-1,-1,25.43826,1488236959845
3,0,6,1,0.3,1,2,7,29.03845,1488236963437,-1,-1,28.50516,1488236962909
3,0,7,1,0.3,1,2,0,32.03862,1488236966437,-1,-1,31.53851,1488236965944
3,0,8,1,0.3,1,1,0,35.10547,1488236969504,35.83888,1488236970238,34.53877,1488236968942
3,0,9,1,0.3,1,0,5,38.1723,1488236972571,-1,-1,37.60567,1488236972008
3,0,10,1,0.3,1,0,7,41.20572,1488236975595,-1,-1,40.67485,1488236975071
3,0,11,1,0.3,1,2,5,44.2402,1488236978617,-1,-1,43.70601,1488236978090
3,0,12,1,0.3,1,0,3,47.30624,1488236981674,-1,-1,46.7728,1488236981148
3,0,13,1,0.3,1,2,5,50.33978,1488236984707,-1,-1,49.80669,1488236984180
3,0,14,1,0.3,1,0,0,53.40656,1488236987774,-1,-1,52.8407,1488236987213
3,0,15,1,0.3,1,0,7,56.43994,1488236990808,-1,-1,55.90691,1488236990279
3,0,16,1,0.3,1,1,7,59.44034,1488236993808,60.00676,1488236994375,58.94011,1488236993312
3,0,17,1,0.3,1,1,7,62.50719,1488236996875,64.37372,1488236998742,61.94048,1488236996312
3,0,18,1,0.3,1,1,7,65.54051,1488236999908,66.40723,1488237000775,65.00722,1488236999379
3,0,19,1,0.3,1,0,3,68.57411,1488237002942,-1,-1,68.04065,1488237002413
3,0,20,1,0.3,1,1,3,71.60828,1488237005979,72.37459,1488237006742,71.10741,1488237005479
3,0,21,1,0.3,1,0,0,74.67429,1488237009042,-1,-1,74.14105,1488237008513
3,0,22,1,0.3,1,1,0,77.67459,1488237012042,78.27457,1488237012642,77.17447,1488237011547
3,0,23,1,0.3,1,2,3,80.70804,1488237015076,-1,-1,80.17468,1488237014547
3,0,24,1,0.3,1,2,0,83.70921,1488237018077,-1,-1,83.20818,1488237017583
3,0,25,1,0.3,1,2,3,86.77504,1488237021143,-1,-1,86.24303,1488237020616
3,0,26,1,0.3,1,2,0,89.80919,1488237024177,-1,-1,89.27507,1488237023649
3,0,27,1,0.3,1,0,2,92.87617,1488237027244,-1,-1,92.34424,1488237026717
3,0,28,1,0.3,1,0,7,95.97556,1488237030343,-1,-1,95.40891,1488237029784
3,0,29,1,0.3,0,1,7,99.00903,1488237033377,-1,-1,98.47571,1488237032847
3,0,30,1,0.3,1,1,7,102.0426,1488237036411,102.7427,1488237037111,101.5091,1488237035887
3,0,31,1,0.3,1,1,7,105.076,1488237039444,105.9095,1488237040278,104.5427,1488237038917
3,0,32,1,0.3,1,1,7,108.1098,1488237042477,108.7429,1488237043111,107.5763,1488237041948
3,0,33,1,0.3,1,1,7,111.1431,1488237045511,111.7432,1488237046111,110.6098,1488237044982
3,0,34,1,0.3,1,0,2,114.2101,1488237048578,-1,-1,113.6432,1488237048016
3,0,35,1,0.3,1,0,1,117.2434,1488237051611,-1,-1,116.7433,1488237051118
3,0,36,1,0.3,1,2,2,120.2771,1488237054645,-1,-1,119.7436,1488237054117
3,0,37,1,0.3,1,0,5,123.3145,1488237057682,-1,-1,122.8106,1488237057184
3,0,38,1,0.3,1,0,6,126.344,1488237060712,-1,-1,125.8439,1488237060217
3,0,39,1,0.3,1,2,5,129.379,1488237063747,-1,-1,128.8442,1488237063216
3,0,40,1,0.3,1,2,6,132.4443,1488237066812,-1,-1,131.9114,1488237066283
3,1,0,2,0.3,1,3,6,141.4281,1488237075796,-1,-1,140.8947,1488237075267
3,1,1,2,0.3,1,3,2,144.4617,1488237078829,-1,-1,143.9283,1488237078300
3,1,2,2,0.3,1,0,0,147.4619,1488237081829,-1,-1,146.9618,1488237081333
3,1,3,2,0.3,1,2,0,150.5286,1488237084896,-1,-1,149.9953,1488237084369
3,1,4,2,0.3,1,2,2,153.5628,1488237087930,-1,-1,153.0287,1488237087402
3,1,5,2,0.3,1,1,0,156.6624,1488237091030,157.7624,1488237092130,156.0963,1488237090469
3,1,6,2,0.3,1,2,0,159.729,1488237094097,-1,-1,159.1625,1488237093536
3,1,7,2,0.3,1,2,2,162.7627,1488237097130,-1,-1,162.2293,1488237096605
3,1,8,2,0.3,1,0,6,165.7962,1488237100164,-1,-1,165.2628,1488237099634
3,1,9,2,0.3,1,1,2,168.863,1488237103231,169.5963,1488237103964,168.2969,1488237102669
3,1,10,2,0.3,1,0,3,171.8966,1488237106264,-1,-1,171.3631,1488237105735
3,1,11,2,0.3,1,1,2,174.93,1488237109298,175.6638,1488237110032,174.397,1488237108769
3,1,12,2,0.3,1,1,3,177.9634,1488237112331,178.9969,1488237113365,177.4303,1488237111803
3,1,13,2,0.3,1,1,2,180.9971,1488237115365,181.7641,1488237116132,180.4637,1488237114835
3,1,14,2,0.3,1,0,7,183.9973,1488237118365,-1,-1,183.4971,1488237117869
3,1,15,2,0.3,1,0,4,187.0307,1488237121398,-1,-1,186.498,1488237120870
3,1,16,2,0.3,1,2,2,190.0642,1488237124433,-1,-1,189.5309,1488237123907
3,1,17,2,0.3,1,0,5,193.0977,1488237127465,-1,-1,192.5644,1488237126940
3,1,18,2,0.3,1,0,6,196.132,1488237130500,-1,-1,195.5978,1488237129971
3,1,19,2,0.3,1,0,3,199.1983,1488237133566,-1,-1,198.6647,1488237133039
3,1,20,2,0.3,1,0,0,202.2322,1488237136600,-1,-1,201.6989,1488237136070
3,1,21,2,0.3,1,2,0,205.3317,1488237139699,-1,-1,204.765,1488237139139
3,1,22,2,0.3,1,0,5,208.3652,1488237142733,-1,-1,207.8319,1488237142205
3,1,23,2,0.3,1,1,0,211.3987,1488237145766,211.9654,1488237146333,210.8653,1488237145241
3,1,24,2,0.3,1,1,5,214.4327,1488237148800,215.699,1488237150067,213.8989,1488237148275
3,1,25,2,0.3,1,1,0,217.4989,1488237151867,218.0324,1488237152400,216.9657,1488237151342
3,1,26,2,0.3,1,1,5,220.5325,1488237154900,221.0992,1488237155467,219.9993,1488237154375
3,1,27,2,0.3,1,1,0,223.5661,1488237157934,224.2995,1488237158667,223.0327,1488237157404
3,1,28,2,0.3,1,0,6,226.633,1488237161001,-1,-1,226.0669,1488237160439
3,1,29,2,0.3,1,1,0,229.6997,1488237164067,230.4331,1488237164801,229.1336,1488237163508
3,1,30,2,0.3,1,0,4,232.7339,1488237167102,-1,-1,232.2001,1488237166575
3,1,31,2,0.3,0,2,6,235.8001,1488237170168,236.9668,1488237171335,235.2352,1488237169608
3,1,32,2,0.3,1,0,2,238.8337,1488237173202,-1,-1,238.3003,1488237172677
3,1,33,2,0.3,1,0,7,241.8672,1488237176235,-1,-1,241.336,1488237175709
3,1,34,2,0.3,1,1,2,244.9008,1488237179268,245.4006,1488237179768,244.3675,1488237178741
3,1,35,2,0.3,1,2,6,247.9676,1488237182335,-1,-1,247.4341,1488237181810
3,1,36,2,0.3,1,2,6,251.0011,1488237185369,-1,-1,250.4676,1488237184840
3,1,37,2,0.3,1,2,2,254.0678,1488237188435,-1,-1,253.5017,1488237187873
3,1,38,2,0.3,1,2,2,257.1346,1488237191502,-1,-1,256.569,1488237190942
3,1,39,2,0.3,0,2,6,260.1349,1488237194502,260.835,1488237195203,259.6348,1488237194011
3,1,40,2,0.3,1,0,1,263.1357,1488237197503,-1,-1,262.635,1488237197007
3,1,41,2,0.3,1,0,4,266.1692,1488237200537,-1,-1,265.6685,1488237200041
3,2,0,3,0.3,1,3,4,272.9023,1488237207270,-1,-1,272.3688,1488237206741
3,2,1,3,0.3,1,3,1,275.9357,1488237210303,-1,-1,275.4023,1488237209774
3,2,2,3,0.3,1,3,6,278.9692,1488237213337,-1,-1,278.4359,1488237212808
3,2,3,3,0.3,1,2,1,282.036,1488237216404,-1,-1,281.4694,1488237215843
3,2,4,3,0.3,0,0,4,285.0362,1488237219404,286.9363,1488237221304,284.5362,1488237218909
