%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1488225432477
2,1,1,1,0,1488225435778
2,2,2,2,0,1488225441978
2,0,1,1,0,1488225457496
2,0,1,1,1,1488225458704
2,1,2,2,0,1488225461929
2,1,2,2,1,1488225462829
2,2,4,4,0,1488225464962
2,2,4,4,1,1488225466296
2,3,6,6,0,1488225475330
2,3,6,6,1,1488225475930
2,4,7,7,0,1488225486430
2,4,7,7,1,1488225486863
2,5,1,1,0,1488225501498
2,5,1,1,1,1488225502064
2,6,3,3,0,1488225505131
2,6,3,3,1,1488225506265
2,7,4,4,0,1488225511966
2,7,4,4,1,1488225512632
2,8,7,7,0,1488225515099
2,8,7,7,1,1488225517432
2,9,4,4,0,1488225525499
2,9,4,4,1,1488225526099
2,10,3,3,0,1488225538367
2,10,3,3,1,1488225538866
2,11,7,7,0,1488225545034
2,11,7,7,1,1488225546300
2,12,1,1,0,1488225558568
2,12,1,1,1,1488225559035
2,13,7,6,0,1488225562201
2,13,7,6,1,1488225563301
2,14,7,4,0,1488225596736
2,14,7,4,1,1488225597104
2,15,2,4,0,1488225616271
2,15,2,4,1,1488225616806
2,16,5,5,0,1488225652073
2,16,5,5,1,1488225661707
2,17,0,0,0,1488225671675
2,17,0,0,1,1488225672241
2,18,3,3,0,1488225680208
2,18,3,3,1,1488225681808
2,19,2,2,0,1488225706609
2,19,2,2,1,1488225707776
2,20,4,5,0,1488225724644
2,20,4,5,1,1488225725944
2,21,0,0,0,1488225738845
2,21,0,0,1,1488225739344
2,22,2,5,0,1488225752912
2,22,5,5,0,1488225755712
2,22,5,5,1,1488225757545
2,23,5,5,0,1488225771813
2,23,5,5,1,1488225772780
2,24,1,1,0,1488225781914
2,24,1,1,1,1488225788513
2,25,0,0,0,1488225806315
2,25,0,0,1,1488225806915
2,26,5,5,0,1488225820249
2,26,5,5,1,1488225821516
2,27,5,3,0,1488225827483
2,27,3,3,0,1488225834117
2,27,3,3,1,1488225835083
2,28,6,6,0,1488225850484
2,28,6,6,1,1488225858618
2,29,1,1,0,1488225879986
2,29,1,1,1,1488225881253
2,30,2,2,0,1488225893820
2,30,2,2,1,1488225894352
2,31,0,0,0,1488225911588
2,31,0,0,1,1488225912120
2,32,2,2,0,1488225944956
2,32,2,2,1,1488225945356
2,33,0,0,0,1488225955923
2,33,0,0,1,1488225956456
2,34,6,6,0,1488225969524
2,34,6,6,1,1488225986592
2,35,3,3,0,1488226002493
2,35,3,3,1,1488226003026
2,36,5,0,0,1488226020528
2,36,5,0,1,1488226021093
2,37,7,2,0,1488226043562
2,37,7,2,1,1488226044595
2,38,3,3,0,1488226062430
2,38,3,3,1,1488226063695
2,39,7,4,0,1488226076697
2,39,7,4,1,1488226077097
2,40,5,6,0,1488226096765
2,40,5,6,1,1488226097531
2,41,7,7,0,1488226124600
