%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,,0,1488232496713,1488232499933,1488232523890
1,G4,G,4,1488232526915,1488232530134,1488232544549
2,3W5,W,8,1488232546049,1488232550986,1488232566834
3,T7L,LT,7,1488232569867,1488232574587,1488232587145
4,1JA,AJ,1,1488232588668,1488232593388,1488232600019
0,F4,F,4,1488232604786,1488232607788,1488232612353
1,1J,J,1,1488232613853,1488232616856,1488232621362
2,A7,A,7,1488232622887,1488232625889,1488232632171
3,L1H,HL,1,1488232633671,1488232638390,1488232646788
4,T2S,ST,2,1488232648288,1488232653008,1488232660914
5,K43,K,12,1488232662439,1488232666942,1488232671100
6,R5B2,BR,10,1488232672623,1488232679092,1488232688280
7,N3L9,LN,27,1488232689807,1488232696243,1488232705031
8,5V8P,PV,45,1488232706558,1488232713211,1488232726309
