%Recollect Version 2.3. Scene/Level: nback0, Session: 2, GameNumber: 5
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,NLevel,IsCorrect,IsTarget,Type,PresentationTime(R),PresentationTime(A),TimeOutTime(R),TimeOutTime(A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,2,1,3,4,1.22461,1488412929537,3.78833,1488412932107
0,2,1,3,1,3.98804,1488412932301,6.62134,1488412934936
0,2,1,1,4,7.12146,1488412935434,8.55481,1488412936871
0,2,1,2,4,10.12158,1488412938435,12.62195,1488412940937
0,2,1,1,4,13.12183,1488412941434,13.98865,1488412942305
0,2,1,1,4,16.12256,1488412944435,16.78955,1488412945104
0,2,1,1,4,19.12207,1488412947435,19.88977,1488412948205
0,2,1,0,0,22.12244,1488412950435,24.92249,1488412953238
0,2,1,1,4,25.12244,1488412953437,26.12256,1488412954439
0,2,1,2,4,28.12268,1488412956436,30.62280,1488412958938
0,2,1,1,4,31.12341,1488412959436,31.85681,1488412960173
0,2,1,1,4,34.12305,1488412962436,34.85657,1488412963172
0,2,1,0,6,37.12317,1488412965436,39.62317,1488412967939
0,2,0,2,6,40.12341,1488412968438,41.12341,1488412969439
0,2,1,0,5,43.12354,1488412971436,45.62366,1488412973939
0,2,1,1,6,46.12354,1488412974437,47.05676,1488412975371
0,2,1,1,5,49.12390,1488412977437,49.89063,1488412978206
0,2,1,0,0,52.12402,1488412980437,54.62415,1488412982940
0,2,1,2,6,55.12415,1488412983437,57.62427,1488412985939
0,2,1,0,2,58.12463,1488412986437,60.62451,1488412988940
0,2,1,2,0,61.12463,1488412989437,63.62463,1488412991940
0,2,1,0,5,64.12476,1488412992437,66.62488,1488412994940
0,2,1,2,6,67.12476,1488412995439,69.62500,1488412997940
0,2,1,0,4,70.12500,1488412998438,72.62512,1488413000940
0,2,1,2,5,73.12512,1488413001438,75.62537,1488413003940
0,2,1,0,7,76.12524,1488413004438,78.62549,1488413006941
0,2,1,0,1,79.12561,1488413007438,81.62561,1488413009942
0,2,1,1,7,82.12561,1488413010440,83.39246,1488413011709
0,2,1,2,7,85.12585,1488413013439,87.62610,1488413015942
0,2,1,1,7,88.12610,1488413016439,88.79346,1488413017107
0,2,1,1,7,91.12610,1488413019439,92.12646,1488413020442
0,2,1,0,1,94.12634,1488413022439,96.62646,1488413024943
0,2,1,0,0,97.12634,1488413025439,99.62659,1488413027942
0,2,1,0,6,100.12680,1488413028441,102.62680,1488413030942
0,2,1,0,2,103.12700,1488413031440,105.62710,1488413033942
0,2,1,0,4,106.12710,1488413034440,108.62730,1488413036943
0,2,1,0,7,109.12720,1488413037441,111.62730,1488413039944
0,2,1,0,5,112.12740,1488413040441,114.62760,1488413042944
0,2,1,0,1,115.12740,1488413043440,117.66100,1488413045977
0,2,1,0,0,118.16110,1488413046474,120.66130,1488413048977
0,2,1,2,7,121.16110,1488413049475,123.66140,1488413051978
0,2,1,2,1,124.16150,1488413052474,126.66150,1488413054977
