%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488319528336,1488319531338,1488319541920
1,G4,G,4,1488319543420,1488319546422,1488319563647
2,3W5,W,35,1488319565205,1488319569707,1488319576408
3,T7L,LT,7,1488319577938,1488319582440,1488319595906
4,1JA,AJ,1,1488319597439,1488319601908,1488319609040
0,F4,F,4,1488319620009,1488319623009,1488319628991
1,1J,J,1,1488319630525,1488319633527,1488319638492
2,A7,A,7,1488319639992,1488319642994,1488319649449
3,L1H,HL,1,1488319650976,1488319655481,1488319669110
4,T2S,ST,2,1488319670611,1488319675113,1488319685945
5,K43,K,34,1488319687445,1488319691947,1488319697355
6,R5B2,BR,25,1488319698879,1488319704881,1488319717046
7,N3L9,LN,39,1488319718580,1488319724582,1488319740398
8,5V8P,VL,58,1488319741899,1488319747901,1488319771817
9,4M7S1,MS,147,1488319773350,1488319780852,1488319801468
10,L3E1D,DEL,13,1488319803001,1488319810504,1488319826669
11,9M6K2,KM,269,1488319828203,1488319835671,1488319863004
12,D1B5R9,BDR,159,1488319864538,1488319873507,1488319888422
13,G9T2A5,AGT,259,1488319889956,1488319898958,1488319914645
14,3W5A1G,AGW,135,1488319916174,1488319925178,1488319937425
15,B6H7A5K,BHK,567,1488319938959,1488319949461,1488319977644
16,8H4R1C2,CHR,1248,1488319979145,1488319989647,1488320016730
17,C7B5N9Y,CHWY,579,1488320018263,1488320028767,1488320065882
18,3Q8D4R6F,CQRZ,3468,1488320067383,1488320079385,1488320115035
19,P2H8F4Y6,HPY,268,1488320116569,1488320128572,1488320153404
20,7D9T3E4S,DEH,3479,1488320154938,1488320166940,1488320182756
