%Recollect Version 2.3. Scene/Level: nback0, Session: 0, GameNumber: 17
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,NLevel,IsCorrect,IsTarget,Type,PresentationTime(R),PresentationTime(A),TimeOutTime(R),TimeOutTime(A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,2,1,3,3,1.11694,1488410381122,3.61719,1488410383629
0,2,1,3,1,4.11682,1488410384121,6.61707,1488410386624
0,2,1,2,1,7.11707,1488410387122,9.61731,1488410389624
0,2,1,0,7,10.11731,1488410390122,12.61755,1488410392625
0,2,1,2,7,13.11743,1488410393122,15.61792,1488410395625
0,2,1,1,7,16.11792,1488410396123,17.75110,1488410397759
0,2,1,0,3,19.11804,1488410399123,21.61804,1488410401625
0,2,1,1,7,22.11804,1488410402123,23.25195,1488410403263
0,2,1,2,7,25.11816,1488410405123,27.61841,1488410407626
0,2,1,1,7,28.11829,1488410408123,29.28503,1488410409293
0,2,1,1,7,31.11841,1488410411123,32.08533,1488410412093
0,2,1,1,7,34.11853,1488410414123,34.98535,1488410414994
0,2,1,0,2,37.11877,1488410417123,39.61890,1488410419626
0,2,1,2,2,40.11877,1488410420123,42.61902,1488410422626
0,2,1,0,5,43.11975,1488410423124,45.61914,1488410425626
0,2,1,1,2,46.11914,1488410426124,46.71936,1488410426728
0,2,1,0,0,49.11938,1488410429124,51.61951,1488410431627
0,2,1,0,6,52.11975,1488410432125,54.61975,1488410434630
0,2,1,0,3,55.11975,1488410435124,57.62000,1488410437627
0,2,1,1,6,58.12000,1488410438124,59.58667,1488410439597
0,2,1,2,6,61.12012,1488410441125,63.62024,1488410443627
0,2,1,0,5,64.12036,1488410444125,66.62048,1488410446628
0,2,1,2,5,67.12048,1488410447125,69.62097,1488410449630
0,2,1,0,1,70.12061,1488410450125,72.62085,1488410452628
0,2,1,0,4,73.12109,1488410453126,75.62097,1488410455628
0,2,1,1,1,76.12097,1488410456125,77.92139,1488410457930
0,2,1,0,7,79.12122,1488410459126,81.62134,1488410461628
0,2,1,1,1,82.12134,1488410462126,82.88806,1488410462897
0,2,0,1,7,85.12146,1488410465126,87.62170,1488410467629
0,2,1,1,1,88.12170,1488410468126,89.29041,1488410469301
0,2,1,0,5,91.12195,1488410471127,93.62195,1488410473631
0,2,1,2,5,94.12207,1488410474127,96.62256,1488410476630
0,2,1,0,2,97.12219,1488410477127,99.65564,1488410479664
0,2,1,0,7,100.15630,1488410480161,102.65580,1488410482663
0,2,1,2,5,103.15650,1488410483161,105.65600,1488410485663
0,2,1,2,5,106.15630,1488410486161,108.65650,1488410488664
0,2,1,0,0,109.15630,1488410489161,111.65640,1488410491664
0,2,1,0,4,112.15630,1488410492161,114.65650,1488410494664
0,2,1,2,5,115.15650,1488410495164,117.65660,1488410497664
0,2,1,2,5,118.15670,1488410498162,120.65780,1488410500667
0,2,1,1,5,121.15670,1488410501162,122.05690,1488410502065
0,2,1,0,0,124.15710,1488410504162,126.65720,1488410506665
