%Recollect Version 2.3. Scene/Level: nback0, Session: 1, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,0,0,1,0.3,1,3,3,58.20691,1488410946185,-1,-1,57.67358,1488410945655
3,0,1,1,0.3,1,0,7,61.27368,1488410949252,-1,-1,60.70703,1488410948689
3,0,2,1,0.3,1,0,1,64.34094,1488410952319,-1,-1,63.80713,1488410951792
3,0,3,1,0.3,1,1,1,67.44165,1488410955420,68.47412,1488410956452,66.87402,1488410954856
3,0,4,1,0.3,1,0,6,70.50757,1488410958486,-1,-1,69.97412,1488410957957
3,0,5,1,0.3,1,0,7,73.54126,1488410961519,-1,-1,73.00769,1488410960992
3,0,6,1,0.3,1,0,4,76.57495,1488410964553,-1,-1,76.07446,1488410964057
3,0,7,1,0.3,1,1,4,79.6748,1488410967653,80.47498,1488410968453,79.10803,1488410967092
3,0,8,1,0.3,1,2,7,82.74158,1488410970719,-1,-1,82.17493,1488410970157
3,0,9,1,0.3,1,1,7,85.80908,1488410973787,86.47534,1488410974454,85.2417,1488410973225
3,0,10,1,0.3,1,1,7,88.84241,1488410976820,89.64185,1488410977620,88.3418,1488410976326
3,0,11,1,0.3,1,0,1,91.94202,1488410979920,-1,-1,91.37573,1488410979358
3,0,12,1,0.3,1,0,5,94.97559,1488410982954,-1,-1,94.44226,1488410982427
3,0,13,1,0.3,1,0,2,98.00903,1488410985987,-1,-1,97.47571,1488410985457
3,0,14,1,0.3,1,1,2,101.0427,1488410989021,101.7094,1488410989689,100.5092,1488410988494
3,0,15,1,0.3,1,0,4,104.1095,1488410992087,-1,-1,103.5762,1488410991559
3,0,16,1,0.3,1,2,2,107.1768,1488410995155,-1,-1,106.6433,1488410994625
3,0,17,1,0.3,1,1,2,110.2432,1488410998221,110.9766,1488410998955,109.7097,1488410997692
3,0,18,1,0.3,1,0,7,113.2766,1488411001255,-1,-1,112.7433,1488411000726
3,0,19,1,0.3,1,1,7,116.3103,1488411004288,117.0436,1488411005022,115.7767,1488411003761
3,0,20,1,0.3,1,2,2,119.3447,1488411007323,-1,-1,118.8107,1488411006793
3,0,21,1,0.3,1,1,2,122.4106,1488411010389,122.9774,1488411010956,121.8771,1488411009860
3,0,22,1,0.3,1,1,2,125.5109,1488411013489,126.2441,1488411014223,124.944,1488411012927
3,0,23,1,0.3,1,0,4,128.5775,1488411016555,-1,-1,128.0112,1488411015993
3,0,24,1,0.3,1,2,2,131.6444,1488411019622,-1,-1,131.0778,1488411019063
3,0,25,1,0.3,1,1,2,134.678,1488411022656,135.2782,1488411023256,134.1445,1488411022126
3,0,26,1,0.3,1,2,4,137.7122,1488411025690,-1,-1,137.2113,1488411025193
3,0,27,1,0.3,1,2,2,140.7782,1488411028756,-1,-1,140.2137,1488411028197
3,0,28,1,0.3,0,2,4,143.8784,1488411031857,144.4454,1488411032424,143.3118,1488411031296
3,0,29,1,0.3,1,0,3,146.9119,1488411034890,-1,-1,146.3785,1488411034362
3,0,30,1,0.3,1,0,1,149.9453,1488411037924,-1,-1,149.412,1488411037395
3,0,31,1,0.3,1,1,1,152.9789,1488411040957,153.5455,1488411041524,152.4454,1488411040429
3,0,32,1,0.3,1,0,6,156.079,1488411044057,-1,-1,155.5122,1488411043494
3,0,33,1,0.3,1,0,7,159.1459,1488411047124,-1,-1,158.5801,1488411046563
3,0,34,1,0.3,1,0,0,162.1794,1488411050157,-1,-1,161.6462,1488411049629
3,0,35,1,0.3,1,2,6,165.213,1488411053191,-1,-1,164.6796,1488411052662
3,0,36,1,0.3,1,2,7,168.3138,1488411056292,-1,-1,167.7465,1488411055729
3,0,37,1,0.3,1,2,0,171.3802,1488411059358,-1,-1,170.8466,1488411058829
3,0,38,1,0.3,1,1,0,174.4802,1488411062458,175.5469,1488411063525,173.9133,1488411061896
3,0,39,1,0.3,1,0,3,177.5469,1488411065526,-1,-1,176.981,1488411064963
3,0,40,1,0.3,1,2,0,180.5806,1488411068558,-1,-1,180.0471,1488411068031
3,1,0,2,0.3,1,3,2,192.7146,1488411080692,-1,-1,192.1812,1488411080165
3,1,1,2,0.3,1,3,3,195.8147,1488411083793,-1,-1,195.248,1488411083231
