%Recollect Version 2.3. Scene/Level: nback0, Session: 1, GameNumber: 4
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,NLevel,IsCorrect,IsTarget,Type,PresentationTime(R),PresentationTime(A),TimeOutTime(R),TimeOutTime(A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,2,1,3,1,1.13318,1488336680361,3.63355,1488336682868
0,2,1,3,0,4.13330,1488336683361,6.63342,1488336685864
0,2,1,0,3,7.13342,1488336686361,9.63379,1488336688864
0,2,1,0,4,10.13428,1488336689362,12.63379,1488336691864
0,2,1,2,4,13.13440,1488336692362,15.63440,1488336694865
0,2,1,1,4,16.13440,1488336695362,16.70068,1488336695932
0,2,1,1,4,19.13428,1488336698361,19.73425,1488336698966
0,2,1,0,2,22.13440,1488336701362,24.63440,1488336703865
0,2,1,1,4,25.13440,1488336704362,26.53491,1488336705766
0,2,1,0,3,28.13464,1488336707362,30.63477,1488336709864
0,2,1,0,0,31.13477,1488336710362,33.63501,1488336712865
0,2,1,0,7,34.13538,1488336713362,36.63538,1488336715865
0,2,1,1,0,37.13538,1488336716363,38.10193,1488336717334
0,2,1,1,7,40.13538,1488336719363,41.30237,1488336720533
0,2,1,2,7,43.13550,1488336722363,45.63562,1488336724866
0,2,1,2,0,46.13599,1488336725363,48.63611,1488336727869
0,2,1,1,7,49.13611,1488336728363,49.93616,1488336729168
0,2,1,0,3,52.13635,1488336731364,54.63647,1488336733869
0,2,1,1,7,55.13611,1488336734364,55.73621,1488336734968
0,2,1,1,3,58.13745,1488336737365,58.63647,1488336737870
0,2,1,2,3,61.13647,1488336740364,63.63708,1488336742867
0,2,1,0,0,64.13672,1488336743364,66.63721,1488336745861
0,2,1,0,1,67.13684,1488336746354,69.63696,1488336748849
0,2,1,1,0,70.13745,1488336749344,70.83716,1488336750044
0,2,1,2,3,73.13721,1488336752333,75.63721,1488336754836
0,2,1,0,2,76.13733,1488336755333,78.63745,1488336757836
0,2,0,2,0,79.13745,1488336758333,79.83777,1488336759040
0,2,0,2,3,82.13806,1488336761334,82.67407,1488336761875
0,2,1,0,5,85.13782,1488336764334,87.63806,1488336766836
0,2,1,2,5,88.13806,1488336767334,90.63818,1488336769837
0,2,1,2,0,91.13818,1488336770334,93.63831,1488336772837
0,2,1,0,6,94.13928,1488336773335,96.63843,1488336775838
0,2,1,2,5,97.13916,1488336776335,99.63855,1488336778837
0,2,1,2,5,100.13920,1488336779335,102.63890,1488336781840
0,2,1,0,3,103.13900,1488336782335,105.63900,1488336784839
0,2,1,0,7,106.13930,1488336785335,108.63930,1488336787840
0,2,1,0,4,109.13920,1488336788335,111.63940,1488336790838
0,2,0,1,7,112.13940,1488336791335,114.63960,1488336793839
0,2,1,2,7,115.14000,1488336794336,117.63990,1488336796840
0,2,1,1,7,118.13980,1488336797336,119.07340,1488336798273
0,2,1,0,3,121.13990,1488336800336,123.64000,1488336802839
0,2,1,1,7,124.14000,1488336803336,125.14200,1488336804343
