%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,FE,FE,,,0,1486148505413,,1486148507743,1486148512110
3,1,2,FE,FE,,,0,1486148514114,,1486148516443,1486148518810
3,2,3,046,046,,,0,1486148520781,,1486148524277,1486148526477
3,3,3,4BF,4BF,,,0,1486148528449,,1486148532044,1486148534344
10,0,0,,,0,0,0,1486148574782,1486148574780,1486148532044,1486148579481
10,1,0,,,1,1,0,1486148581481,1486148581481,1486148532044,1486148585581
10,2,0,,,1,1,0,1486148587581,1486148587581,1486148532044,1486148592914
10,3,0,,,0,0,0,1486148594915,1486148594915,1486148532044,1486148597581
10,4,0,,,0,0,0,1486148599582,1486148599582,1486148532044,1486148603315
10,5,0,,,0,0,0,1486148605315,1486148605315,1486148532044,1486148609549
10,6,0,,,1,1,0,1486148611549,1486148611549,1486148532044,1486148614715
10,7,0,,,1,1,0,1486148616716,1486148616716,1486148532044,1486148621616
10,8,0,,,0,0,0,1486148623616,1486148623616,1486148532044,1486148626249
10,9,0,,,0,0,0,1486148628217,1486148628217,1486148532044,1486148630550
10,10,0,,,1,1,0,1486148632551,1486148632551,1486148532044,1486148635017
10,11,0,,,1,1,0,1486148637018,1486148637018,1486148532044,1486148640283
10,12,0,,,0,0,0,1486148642285,1486148642285,1486148532044,1486148644050
10,13,0,,,0,0,0,1486148646051,1486148646051,1486148532044,1486148648651
10,14,0,,,0,0,0,1486148650652,1486148650652,1486148532044,1486148652751
10,15,0,,,1,1,0,1486148654751,1486148654751,1486148532044,1486148657285
13,0,2,2A,1A,10,10,0,1486148692491,1486148699759,1486148705627,1486148711088
13,1,2,7C,7C,10,10,0,1486148713059,1486148719726,1486148721628,1486148723521
13,2,2,D0,D0,00,10,0,1486148725493,1486148730426,1486148731894,1486148733989
14,0,5,748A3,748A3,10111,10111,0,1486148746160,1486148766128,1486148770363,1486148780058
14,1,2,D7,D7,00,00,0,1486148782030,1486148788930,1486148793130,1486148796559
14,2,2,B0,B0,11,11,0,1486148798564,1486148805464,1486148808265,1486148811193
14,3,2,5A,5A,00,00,0,1486148813165,1486148820632,1486148822765,1486148826328
14,4,3,08C,08C,011,01Z,0,1486148828332,1486148838166,1486148844099,1486148851096
14,5,4,5ECA,5ECA,1011,1011,0,1486148853101,1486148866201,1486148870235,1486148873963
14,6,5,6EF10,6EF1,01000,01000,0,1486148875936,1486148893169,1486148895570,1486148907999
14,7,3,F87,F87,001,001,0,1486148910004,1486148920004,1486148922605,1486148925666
14,8,4,E72B,E72B,0111,0111,0,1486148927638,1486148940705,1486148943440,1486148948868
14,9,3,75F,75F,010,010,0,1486148950839,1486148961174,1486148962607,1486148964935
14,10,5,650F1,650F2,10011,10011,0,1486148966906,1486148984641,1486148988575,1486148996437
14,11,4,0ED9,0ED9,1101,1101,0,1486148998442,1486149012311,1486149014510,1486149017271
