%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
1,1,3,0.3,1,3,2,15.55435,1486489375117,-1,-1,15.02098,1486489374583
1,2,3,0.3,1,3,1,18.58784,1486489378150,-1,-1,18.05454,1486489377621
1,3,3,0.3,1,3,0,21.58823,1486489381150,-1,-1,21.08803,1486489380654
1,4,3,0.3,1,2,1,24.58836,1486489384151,-1,-1,24.08824,1486489383653
1,5,3,0.3,1,0,2,27.65501,1486489387217,-1,-1,27.12166,1486489386686
1,6,3,0.3,1,2,1,30.68861,1486489390251,-1,-1,30.15516,1486489389720
1,7,3,0.3,1,0,3,33.68877,1486489393251,-1,-1,33.18866,1486489392754
1,8,3,0.3,1,1,2,36.68948,1486489396252,37.55578,1486489397118,36.18883,1486489395754
1,9,3,0.3,0,1,1,39.75581,1486489399318,-1,-1,39.22255,1486489398788
1,10,3,0.3,0,1,3,42.7892,1486489402351,-1,-1,42.25584,1486489401821
1,11,3,0.3,1,2,1,45.82266,1486489405385,-1,-1,45.28933,1486489404855
1,12,3,0.3,0,1,1,48.89022,1486489408452,-1,-1,48.32318,1486489407888
1,13,3,0.3,0,1,3,51.95638,1486489411519,-1,-1,51.42302,1486489410988
1,14,3,0.3,1,0,2,55.02332,1486489414586,-1,-1,54.45713,1486489414023
1,15,3,0.3,1,2,3,58.02436,1486489417587,-1,-1,57.52337,1486489417090
1,16,3,0.3,1,2,2,61.09024,1486489420652,-1,-1,60.55687,1486489420122
1,17,3,0.3,1,0,0,64.12374,1486489423686,-1,-1,63.59034,1486489423155
1,18,3,0.3,1,0,1,67.15724,1486489426719,-1,-1,66.6241,1486489426189
1,19,3,0.3,1,0,1,70.15746,1486489429720,-1,-1,69.65739,1486489429222
1,20,3,0.3,1,0,3,73.15881,1486489432721,-1,-1,72.65751,1486489432222
1,21,3,0.3,1,1,1,76.19109,1486489435753,77.65799,1486489437221,75.69106,1486489435256
1,22,3,0.3,1,0,2,79.2246,1486489438787,-1,-1,78.69131,1486489438257
1,23,3,0.3,0,2,1,82.22476,1486489441787,84.52562,1486489444088,81.72466,1486489441290
1,1,3,0.3,1,3,3,100.5425,1486489460105,-1,-1,100.0424,1486489459605
1,2,3,0.3,1,3,0,103.5426,1486489463105,-1,-1,103.0426,1486489462608
1,3,3,0.3,1,3,1,106.6095,1486489466172,-1,-1,106.0427,1486489465607
1,4,3,0.3,1,0,2,109.643,1486489469205,-1,-1,109.1098,1486489468674
