%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,,1486147326597,1486147329600,1486147344708
1,G4,G,4,1486147347765,1486147350766,1486147355940
2,3W5,W,35,1486147357466,1486147361967,1486147375167
3,T7L,TL,7,1486147376667,1486147381168,1486147388834
4,1JA,JA,1,1486147391834,1486147396336,1486147401903
0,F4,,,1486147414135,1486147417138,1486147425542
1,1J,J,1,1486147427070,1486147430071,1486147435028
2,A7,A,7,1486147436553,1486147439555,1486147444322
3,L1H,LH,1,1486147445855,1486147450355,1486147454738
4,T2S,TS,2,1486147456271,1486147460773,1486147464658
5,K43,K,43,1486147466188,1486147470690,1486147476672
