%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486149152671,1486149160169
1,1,34,34,0,1486149161171,1486149168370
2,0,15,15,0,1486149175372,1486149182704
2,1,73,73,0,1486149183673,1486149190738
2,2,164,164,0,1486149191739,1486149199938
2,3,705,705,0,1486149200907,1486149209172
2,4,2173,2173,0,1486149210174,1486149220406
2,5,1504,1504,0,1486149221375,1486149231873
2,6,42350,42350,0,1486149232875,1486149244875
2,7,24061,24061,0,1486149245842,1486149259196
2,8,061743,061743,0,1486149260196,1486149274328
2,9,625037,625037,0,1486149275331,1486149289996
2,10,7152305,715305,0,1486149290965,1486149309797
2,11,3157264,315264,0,1486149310798,1486149329765
3,0,60,06,0,1486149337433,1486149344133
3,1,24,42,0,1486149345101,1486149351066
4,0,25,52,0,1486149355468,1486149361400
4,1,63,36,0,1486149362401,1486149369067
4,2,574,475,0,1486149370035,1486149377967
4,3,207,702,0,1486149378936,1486149387101
4,4,7305,5037,0,1486149388103,1486149398202
4,5,4130,0314,0,1486149399170,1486149410169
4,6,35741,14735,0,1486149411171,1486149423203
4,7,70526,62507,0,1486149424172,1486149437571
4,8,607251,152706,0,1486149438574,1486149456206
4,9,270643,347602,0,1486149457207,1486149473739
4,10,0416327,7236104,0,1486149474742,1486149492474
4,11,5632041,142065,0,1486149493475,1486149512875
