%Recollect Version 2.3. Scene/Level: , Game Number: 008
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
4,1,1,0.3,1,3,1,39.15566,1486405297060,-1,-1,38.62234,1486405296528
4,2,1,0.3,1,1,1,42.18911,1486405300094,42.98914,1486405300894,41.68892,1486405299596
4,3,1,0.3,1,0,3,45.28924,1486405303194,-1,-1,44.72253,1486405302630
4,4,1,0.3,0,2,1,48.28929,1486405306194,49.02297,1486405306928,47.78928,1486405305697
4,5,1,0.3,1,0,2,51.35612,1486405309261,-1,-1,50.78995,1486405308698
4,6,1,0.3,1,2,1,54.35631,1486405312261,-1,-1,53.85628,1486405311763
4,7,1,0.3,1,1,1,57.42332,1486405315328,58.65653,1486405316561,56.85645,1486405314763
4,8,1,0.3,1,2,2,60.4566,1486405318361,-1,-1,59.92337,1486405317831
4,9,1,0.3,1,1,2,63.49016,1486405321395,65.52363,1486405323428,62.95722,1486405320864
4,10,1,0.3,1,0,3,66.49033,1486405324395,-1,-1,65.99025,1486405323898
4,11,1,0.3,1,2,2,69.52381,1486405327428,-1,-1,68.99046,1486405326898
4,12,1,0.3,1,2,3,72.55732,1486405330462,-1,-1,72.02405,1486405329931
4,13,1,0.3,1,0,1,75.59084,1486405333495,-1,-1,75.05747,1486405332965
4,14,1,0.3,1,1,1,78.65767,1486405336562,79.69128,1486405337596,78.09155,1486405335999
4,1,2,0.3,1,3,0,87.20816,1486405345113,-1,-1,86.67525,1486405344580
4,2,2,0.3,1,3,1,90.24155,1486405348146,-1,-1,89.70827,1486405347615
4,3,2,0.3,1,1,0,93.27516,1486405351180,94.20877,1486405352113,92.74179,1486405350649
4,4,2,0.3,1,0,3,96.30875,1486405354213,-1,-1,95.77576,1486405353684
4,5,2,0.3,1,2,3,99.34219,1486405357247,-1,-1,98.80881,1486405356716
4,6,2,0.3,1,0,1,102.3757,1486405360280,-1,-1,101.8423,1486405359749
4,7,2,0.3,1,1,3,105.4427,1486405363347,106.5429,1486405364448,104.876,1486405362783
4,8,2,0.3,0,0,0,108.5093,1486405366414,109.2096,1486405367115,107.976,1486405365884
4,9,2,0.3,1,0,2,111.5428,1486405369447,-1,-1,111.0095,1486405368918
4,10,2,0.3,1,0,1,114.5763,1486405372481,-1,-1,114.043,1486405371950
4,11,2,0.3,0,1,2,117.6433,1486405375548,-1,-1,117.0765,1486405374983
4,12,2,0.3,0,2,2,120.6767,1486405378581,121.5103,1486405379415,120.1441,1486405378051
4,1,1,0.3,1,3,3,125.477,1486405383382,-1,-1,124.944,1486405382850
4,2,1,0.3,1,2,1,128.5105,1486405386415,-1,-1,127.9771,1486405385884
4,3,1,0.3,1,1,1,131.5106,1486405389415,132.211,1486405390116,131.0106,1486405388918
4,4,1,0.3,0,1,1,134.5442,1486405392449,-1,-1,134.0108,1486405391917
