%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,2,1486151001414,1486151003581,1486151000881
6,0,2,1,1,0,0,1486151004481,-1,1486151003950
6,0,3,1,1,0,5,1486151007514,-1,1486151007016
6,0,4,1,1,0,3,1486151010548,-1,1486151010018
6,0,5,1,1,0,1,1486151013581,-1,1486151013051
6,0,6,1,0,0,2,1486151016648,1486151017282,1486151016117
6,0,7,1,1,0,7,1486151019682,-1,1486151019151
6,0,8,1,1,0,6,1486151022716,-1,1486151022186
6,0,9,1,1,1,6,1486151025749,1486151026549,1486151025219
6,0,10,1,1,1,6,1486151028807,1486151030169,1486151028280
6,0,11,1,1,1,6,1486151031796,1486151032327,1486151031300
6,1,1,1,1,3,3,1486151036592,-1,1486151036060
6,1,2,1,1,0,5,1486151039626,-1,1486151039095
6,1,3,1,1,1,5,1486151042659,1486151043259,1486151042129
6,1,4,1,1,0,7,1486151045726,-1,1486151045195
6,1,5,1,0,0,3,1486151048727,1486151050027,1486151048229
6,1,6,1,1,0,5,1486151051793,-1,1486151051263
6,1,7,1,1,1,5,1486151054860,1486151055627,1486151054329
6,1,8,1,1,0,4,1486151057927,-1,1486151057396
6,1,9,1,1,0,6,1486151060960,-1,1486151060430
6,1,10,1,1,0,1,1486151063994,-1,1486151063497
6,1,11,1,1,1,1,1486151067061,1486151067661,1486151066530
6,1,12,1,1,0,0,1486151070094,-1,1486151069565
6,1,13,1,1,1,0,1486151073128,1486151074196,1486151072630
6,1,14,1,1,1,0,1486151076194,1486151076928,1486151075664
6,1,15,1,0,0,3,1486151079228,1486151079995,1486151078698
6,1,16,1,1,0,5,1486151082262,-1,1486151081731
6,1,17,1,1,0,6,1486151085296,-1,1486151084798
6,1,18,1,1,0,7,1486151088362,-1,1486151087831
6,1,19,1,1,1,7,1486151091395,1486151092129,1486151090899
6,1,20,1,1,0,6,1486151094462,-1,1486151093932
6,1,21,1,1,0,5,1486151097496,-1,1486151096965
6,2,1,2,1,3,1,1486151112663,-1,1486151112131
6,2,2,2,1,3,5,1486151115730,-1,1486151115200
6,2,3,2,1,1,1,1486151118764,1486151119531,1486151118266
6,2,4,2,1,0,6,1486151121830,-1,1486151121301
6,2,5,2,1,0,0,1486151124897,-1,1486151124367
6,2,6,2,0,0,7,1486151127932,1486151129065,1486151127400
6,2,7,2,0,0,5,1486151130999,1486151131765,1486151130468
6,2,8,2,1,1,7,1486151134064,1486151134698,1486151133534
6,2,9,2,0,0,1,1486151137098,1486151137832,1486151136567
6,2,10,2,0,0,4,1486151140131,1486151140732,1486151139601
6,2,11,2,1,1,1,1486151143198,1486151144165,1486151142668
6,2,12,2,0,0,0,1486151146232,1486151146965,1486151145701
6,3,1,2,0,3,4,1486151150899,-1,1486151150366
6,3,2,2,0,3,0,1486151153899,-1,1486151153402
6,3,3,2,1,0,2,1486151156966,-1,1486151156436
6,3,4,2,1,0,6,1486151159999,-1,1486151159469
6,3,5,2,0,0,3,1486151163033,1486151163800,1486151162502
6,3,6,2,0,0,0,1486151166066,1486151166733,1486151165536
6,3,7,2,0,0,1,1486151169067,1486151170001,1486151168569
6,3,8,2,0,0,6,1486151172134,1486151173033,1486151171603
6,3,9,2,1,1,1,1486151175200,1486151176034,1486151174670
6,3,10,2,1,0,5,1486151178235,-1,1486151177736
6,3,11,2,1,0,3,1486151181301,-1,1486151180770
6,3,12,2,1,0,6,1486151184334,-1,1486151183836
6,3,13,2,1,1,3,1486151187367,1486151188634,1486151186837
6,3,14,2,1,1,6,1486151190434,1486151191502,1486151189904
6,3,15,2,1,1,3,1486151193501,1486151194835,1486151192971
6,3,16,2,1,1,6,1486151196535,1486151197168,1486151196037
