%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 0
%D2:Action,Row,Character,TimeOfResponse
1,0,5,1487035429959
1,0,10,1487035433427
2,0,10,1487035433827
1,0,10,1487035435227
1,0,12,1487035437260
1,0,19,1487035440127
9,0,-1,1487035440596
-1,0,20,1487035440727
1,1,3,1487035442794
1,1,4,1487035444261
1,1,6,1487035445294
1,1,10,1487035446594
1,1,17,1487035450294
1,1,22,1487035455461
1,1,28,1487035456961
1,1,30,1487035458595
1,1,35,1487035460062
1,1,38,1487035461128
9,1,-1,1487035461596
1,2,0,1487035463561
1,2,2,1487035465529
1,2,6,1487035467161
1,2,10,1487035469496
1,2,12,1487035471362
1,2,18,1487035472962
1,2,19,1487035473562
1,2,24,1487035476595
1,2,29,1487035478429
-1,2,28,1487035478995
-1,2,28,1487035479629
-1,2,28,1487035480096
-1,2,28,1487035480563
-1,2,28,1487035481029
-1,0,46,1487035481563
-1,2,28,1487035481863
-1,0,46,1487035481896
-1,2,28,1487035482529
9,2,-1,1487035482596
1,3,0,1487035484230
1,3,4,1487035485963
1,3,12,1487035488963
1,3,13,1487035489529
1,3,19,1487035492797
1,3,20,1487035494430
1,3,26,1487035496430
1,3,32,1487035498697
-1,3,30,1487035499197
-1,3,30,1487035499930
-1,3,30,1487035500364
-1,3,30,1487035501130
-1,3,30,1487035501930
-1,3,30,1487035502597
-1,3,30,1487035503397
9,3,-1,1487035503598
1,4,2,1487035505598
1,4,4,1487035506797
1,4,10,1487035509464
-1,4,7,1487035510265
-1,4,7,1487035511097
-1,4,7,1487035512164
-1,4,7,1487035512998
-1,4,7,1487035513764
-1,4,7,1487035514065
-1,4,7,1487035514865
-1,4,7,1487035515731
-1,4,7,1487035516864
-1,4,7,1487035517332
-1,4,7,1487035517731
-1,4,7,1487035518165
-1,4,7,1487035518631
-1,4,8,1487035518931
-1,4,7,1487035519165
-1,4,7,1487035520632
1,4,13,1487035521265
2,4,13,1487035522131
1,4,13,1487035522832
2,4,13,1487035523565
9,4,-1,1487035524600
1,5,4,1487035527165
1,5,6,1487035528699
1,5,9,1487035529932
1,5,12,1487035531298
1,5,17,1487035533799
1,5,18,1487035534965
1,5,22,1487035536432
1,5,29,1487035539899
1,5,31,1487035540699
1,5,33,1487035542066
-1,5,32,1487035542899
1,5,36,1487035544167
-1,5,32,1487035545066
9,5,-1,1487035545601
1,6,3,1487035547399
1,6,5,1487035548533
1,6,12,1487035550566
1,6,15,1487035551868
1,6,19,1487035553133
1,6,20,1487035554333
1,6,22,1487035555900
1,6,31,1487035560601
1,6,39,1487035563434
-1,6,37,1487035565001
-1,6,37,1487035565967
9,6,-1,1487035566602
1,7,5,1487035571102
1,7,6,1487035572034
1,7,14,1487035574435
1,7,15,1487035574935
2,7,15,1487035575534
1,7,15,1487035576468
1,7,18,1487035578603
1,7,25,1487035580602
1,7,26,1487035581535
1,7,29,1487035582602
1,7,32,1487035583602
1,7,37,1487035584868
1,7,38,1487035585769
9,7,-1,1487035587605
-1,7,45,1487035587735
1,8,0,1487035589436
1,8,4,1487035590902
1,8,13,1487035594169
1,8,15,1487035595202
1,8,21,1487035596869
1,8,23,1487035598769
1,8,24,1487035600669
1,8,29,1487035602670
1,8,31,1487035603903
1,8,33,1487035605270
1,8,35,1487035607571
9,8,-1,1487035608604
1,9,4,1487035611003
1,9,9,1487035613804
1,9,18,1487035616938
1,9,20,1487035617837
-1,9,17,1487035619270
-1,9,17,1487035620604
-1,9,17,1487035621871
-1,9,17,1487035623471
-1,9,17,1487035624738
-1,9,17,1487035625671
1,9,24,1487035627038
1,9,25,1487035627571
1,9,26,1487035628805
9,9,-1,1487035629605
-1,9,33,1487035630072
1,10,0,1487035631338
1,10,3,1487035632572
1,10,9,1487035635005
1,10,17,1487035637572
1,10,22,1487035639505
1,10,23,1487035640905
1,10,26,1487035642772
1,10,29,1487035644272
1,10,33,1487035645705
1,10,37,1487035647072
1,10,41,1487035648872
-1,10,40,1487035649539
9,10,-1,1487035650606
1,11,3,1487035655106
-1,11,1,1487035656040
-1,11,1,1487035657273
-1,11,1,1487035657973
-1,11,1,1487035658506
1,11,6,1487035659739
-1,11,1,1487035660840
1,11,8,1487035663240
1,11,11,1487035664740
1,11,15,1487035666006
1,11,21,1487035667573
1,11,22,1487035668440
1,11,28,1487035670274
