%Recollect Version 2.3; iPad: ; User: Rlb110;
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,4,0,8,0.8,1,0,algoNotBayesian
32,4,0,8,0.4,2,2,algoNotBayesian
32,4,0,8,0.7142857,1,2,algoNotBayesian
32,4,0,8,0.8,2,2,algoNotBayesian
32,4,0,8,0,3,3,algoNotBayesian
32,4,0,8,0.25,2,3,algoNotBayesian
32,4,0,8,1,1,3,algoNotBayesian
32,4,0,8,1,2,3,algoNotBayesian
32,4,0,8,1,3,3,algoNotBayesian
32,4,0,8,0.25,4,4,algoNotBayesian
32,4,0,8,0.4285714,3,4,algoNotBayesian
32,4,0,8,1,2,4,algoNotBayesian
32,4,0,8,0.55,3,4,algoNotBayesian
32,4,0,8,0,3,4,algoNotBayesian
32,4,0,8,1,2,4,algoNotBayesian
32,4,0,8,0.75,3,4,algoNotBayesian
32,4,0,8,0.25,4,4,algoNotBayesian
32,4,0,8,0.3,3,4,algoNotBayesian
32,4,0,8,1,2,4,algoNotBayesian
32,4,0,8,1,3,4,algoNotBayesian
32,4,0,8,0.3846154,4,4,algoNotBayesian
32,4,0,8,0.6666667,3,4,algoNotBayesian
32,4,0,8,1,4,4,algoNotBayesian
32,4,0,8,0.2,5,5,algoNotBayesian
32,4,0,8,0,4,5,algoNotBayesian
32,4,0,8,0.6,3,5,algoNotBayesian
32,4,0,8,0.6,4,5,algoNotBayesian
32,4,1,0,0.8,3,5,algoNotBayesian
32,4,1,0,1,4,5,algoNotBayesian
32,4,1,0,0.6,5,5,algoNotBayesian
32,4,1,0,1,6,6,algoNotBayesian
32,4,1,0,0.25,7,7,algoNotBayesian
32,4,1,0,0,6,7,algoNotBayesian
32,4,1,0,0.1666667,5,7,algoNotBayesian
32,4,1,0,0.5333334,4,7,algoNotBayesian
32,4,1,0,0,5,7,algoNotBayesian
32,4,1,0,0.4285714,4,7,algoNotBayesian
32,4,1,0,0.5,3,7,algoNotBayesian
32,4,1,0,0.75,2,7,algoNotBayesian
32,4,1,0,0.4285714,3,7,algoNotBayesian
32,4,1,0,0.5,2,7,algoNotBayesian
32,4,1,0,0.6428571,3,7,algoNotBayesian
32,4,1,0,0,4,7,algoNotBayesian
32,4,1,0,0.3333333,3,7,algoNotBayesian
32,4,1,0,0.3,2,7,algoNotBayesian
32,4,1,0,0.3,2,7,algoNotBayesian
