%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486431127142,1486431128776
1,1,1,0,0,1486431129776,1486431130642
1,2,1,1,1,1486431131643,1486431132509
1,3,1,0,0,1486431133509,1486431134242
2,0,1,1,1,1486431147144,1486431147810
2,1,1,0,0,1486431148778,1486431149277
2,2,1,0,0,1486431150277,1486431150777
2,3,1,0,0,1486431151777,1486431152244
2,4,1,1,1,1486431153244,1486431153777
2,5,1,0,0,1486431154777,1486431155244
2,6,1,1,1,1486431156244,1486431156677
2,7,1,1,1,1486431157678,1486431158144
2,8,1,0,0,1486431159111,1486431159611
2,9,1,1,1,1486431160611,1486431161111
2,10,1,1,1,1486431162111,1486431162611
2,11,1,0,0,1486431163611,1486431164044
3,0,0,1,0,1486431169712,1486431170512
3,1,0,1,0,1486431171511,1486431172045
3,2,0,0,1,1486431173045,1486431173678
3,3,0,0,1,1486431174646,1486431175278
4,0,0,1,0,1486431177462,1486431177995
4,1,0,1,0,1486431178995,1486431179495
4,2,0,0,1,1486431180495,1486431180995
4,3,0,0,1,1486431181995,1486431182528
4,4,0,1,0,1486431183529,1486431184095
4,5,0,0,1,1486431185096,1486431185728
4,6,0,0,1,1486431186696,1486431187329
4,7,0,0,1,1486431188330,1486431188829
4,8,0,1,0,1486431189829,1486431190329
4,9,0,1,0,1486431191329,1486431191829
4,10,0,0,1,1486431192829,1486431193262
4,11,0,1,0,1486431194263,1486431194729
5,0,1,1,1,1486431196880,1486431197813
5,1,0,0,1,1486431198809,1486431199639
5,2,1,0,0,1486431200602,1486431201499
5,3,0,1,0,1486431202494,1486431203125
6,0,1,1,1,1486431205184,1486431206146
6,1,1,1,1,1486431207146,1486431207847
6,2,1,0,0,1486431208846,1486431209645
6,3,0,1,0,1486431210646,1486431211348
6,4,0,0,1,1486431212346,1486431213179
6,5,0,1,0,1486431214180,1486431214846
6,6,1,0,0,1486431215846,1486431216646
6,7,1,0,0,1486431217646,1486431218279
6,8,0,0,1,1486431219280,1486431220113
6,9,1,1,1,1486431221113,1486431222046
6,10,1,1,1,1486431223047,1486431223647
6,11,0,0,1,1486431224647,1486431225913
6,12,0,1,0,1486431226880,1486431227980
6,13,0,1,0,1486431228981,1486431229880
6,14,1,1,1,1486431230880,1486431231447
6,15,0,0,1,1486431232414,1486431233546
6,16,1,1,1,1486431234547,1486431235247
6,17,0,0,1,1486431236247,1486431236914
6,18,0,1,0,1486431237914,1486431239147
6,19,1,0,0,1486431240147,1486431241348
6,20,0,0,1,1486431242348,1486431243147
6,21,1,0,0,1486431244148,1486431245081
6,22,1,1,1,1486431246081,1486431246781
6,23,1,1,1,1486431247781,1486431248448
6,24,0,1,0,1486431249448,1486431250248
6,25,0,0,1,1486431251248,1486431252181
6,26,1,0,0,1486431253150,1486431253981
6,27,0,1,1,1486431254982,1486431256248
6,28,1,0,0,1486431257248,1486431258348
6,29,1,0,0,1486431259348,1486431260382
6,30,0,1,0,1486431261383,1486431262348
6,31,0,0,1,1486431263349,1486431264083
6,32,0,1,0,1486431265082,1486431265815
6,33,1,0,0,1486431266816,1486431267882
6,34,1,0,0,1486431268849,1486431269582
6,35,1,0,0,1486431270582,1486431271249
6,36,0,1,0,1486431272249,1486431272882
6,37,0,0,1,1486431273883,1486431274716
6,38,1,1,1,1486431275716,1486431276849
6,39,0,1,0,1486431277850,1486431278649
6,40,0,0,1,1486431279617,1486431280549
6,41,0,0,1,1486431281550,1486431282583
6,42,1,1,1,1486431283583,1486431284851
6,43,1,0,0,1486431285850,1486431286583
6,44,0,1,0,1486431287551,1486431288250
6,45,0,0,1,1486431289250,1486431290083
6,46,1,1,1,1486431291084,1486431291917
6,47,1,1,1,1486431292918,1486431293717
