%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,DE,DE,,,0,1486493749716,,1486493752113,1486493754846
3,1,2,8E,8E,,,0,1486493756851,,1486493759180,1486493760713
3,2,3,D16,D16,,,0,1486493762718,,1486493766281,1486493767847
3,3,3,B7E,B7E,,,0,1486493769852,,1486493773380,1486493775081
10,0,0,,,1,1,0,1486493802818,1486493802816,1486493773380,1486493805816
10,1,0,,,0,0,0,1486493807816,1486493807816,1486493773380,1486493811849
10,2,0,,,1,1,0,1486493813818,1486493813818,1486493773380,1486493816916
10,3,0,,,0,0,0,1486493818917,1486493818917,1486493773380,1486493824417
10,4,0,,,0,0,0,1486493826418,1486493826418,1486493773380,1486493828484
10,5,0,,,0,0,0,1486493830485,1486493830485,1486493773380,1486493832517
10,6,0,,,0,0,0,1486493834518,1486493834518,1486493773380,1486493836584
10,7,0,,,1,1,0,1486493838585,1486493838585,1486493773380,1486493839984
10,8,0,,,1,1,0,1486493841985,1486493841985,1486493773380,1486493844818
10,9,0,,,1,1,0,1486493846819,1486493846818,1486493773380,1486493851518
10,10,0,,,0,0,0,1486493853519,1486493853519,1486493773380,1486493855252
10,11,0,,,1,1,0,1486493857219,1486493857219,1486493773380,1486493858552
10,12,0,,,0,0,0,1486493860553,1486493860553,1486493773380,1486493862219
10,13,0,,,0,0,0,1486493864220,1486493864220,1486493773380,1486493865552
10,14,0,,,1,1,0,1486493867548,1486493867548,1486493773380,1486493868776
10,15,0,,,0,0,0,1486493870736,1486493870736,1486493773380,1486493872096
13,0,2,73,3,10,10,0,1486493898517,1486493904351,1486493906183,1486493908979
13,1,2,0D,0,01,01,0,1486493910950,1486493915651,1486493916751,1486493918746
13,2,2,5E,5E,11,11,0,1486493920751,1486493926385,1486493927719,1486493929714
14,0,3,DA6,DE6,011,011,0,1486493936418,1486493945419,1486493946686,1486493951082
14,1,2,13,13,00,00,0,1486493953055,1486493958554,1486493960187,1486493962115
14,2,3,9EC,9EC,100,100,0,1486493964087,1486493972154,1486493973387,1486493975550
14,3,2,0D,0D,10,10,0,1486493977554,1486493982455,1486493983589,1486493986483
14,4,2,B4,B4,11,11,0,1486493988455,1486493993756,1486493994722,1486493996151
14,5,5,0F64E,0E75,00101,00101,0,1486493998122,1486494012054,1486494013087,1486494016816
14,6,4,D068,D065,0101,0101,0,1486494018787,1486494029055,1486494030221,1486494034816
14,7,4,3A8D,3A9C,1010,1010,0,1486494036821,1486494046856,1486494048056,1486494050617
14,8,3,846,846,110,110,0,1486494052589,1486494059522,1486494060623,1486494062551
14,9,4,86D2,8D24,1110,1110,0,1486494064522,1486494076023,1486494077890,1486494081586
14,10,5,B7F48,B7F52,00011,00011,0,1486494083558,1486494096959,1486494098759,1486494104120
14,11,5,4EC25,4EA65,11010,11010,0,1486494106092,1486494118960,1486494121626,1486494126288
