%Recollect Version 2.3. Scene/Level: , Game Number: 008
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
4,1,1,0.3,1,3,3,64.65758,1486487324831,-1,-1,64.12397,1486487324298
4,2,1,0.3,1,0,1,67.69078,1486487327864,-1,-1,67.19062,1486487327366
4,3,1,0.3,1,0,2,70.72421,1486487330897,-1,-1,70.19085,1486487330366
4,4,1,0.3,1,2,1,73.79106,1486487333964,-1,-1,73.22483,1486487333400
4,5,1,0.3,1,2,2,76.82455,1486487336998,-1,-1,76.29127,1486487336467
4,6,1,0.3,1,0,0,79.85874,1486487340032,-1,-1,79.32478,1486487339503
4,7,1,0.3,1,2,2,82.92489,1486487343098,-1,-1,82.39153,1486487342567
4,8,1,0.3,1,0,3,85.92506,1486487346098,-1,-1,85.42496,1486487345601
4,9,1,0.3,1,0,1,88.92522,1486487349098,-1,-1,88.4252,1486487348601
4,10,1,0.3,1,1,1,91.99208,1486487352165,93.09229,1486487353266,91.42538,1486487351601
4,11,1,0.3,1,0,0,95.02558,1486487355199,-1,-1,94.49269,1486487354669
4,12,1,0.3,1,1,0,98.09241,1486487358265,98.9928,1486487359166,97.52615,1486487357702
4,13,1,0.3,1,1,0,101.0926,1486487361266,102.3597,1486487362533,100.5925,1486487360768
4,1,2,0.3,1,3,2,111.2431,1486487371416,-1,-1,110.7431,1486487370917
4,2,2,0.3,1,3,3,114.2767,1486487374450,-1,-1,113.7433,1486487373919
4,3,2,0.3,1,1,2,117.3102,1486487377483,118.6772,1486487378850,116.777,1486487376953
4,4,2,0.3,1,0,0,120.3107,1486487380484,-1,-1,119.8103,1486487379986
4,5,2,0.3,1,1,2,123.3438,1486487383517,124.5107,1486487384684,122.8438,1486487383019
4,6,2,0.3,1,0,3,126.3773,1486487386550,-1,-1,125.844,1486487386020
4,7,2,0.3,1,0,1,129.4442,1486487389617,-1,-1,128.878,1486487389053
4,8,2,0.3,1,1,3,132.4443,1486487392617,133.3113,1486487393485,131.9443,1486487392120
4,1,3,0.3,1,3,0,142.4782,1486487402651,-1,-1,141.9123,1486487402086
4,2,3,0.3,1,3,3,145.5452,1486487405718,-1,-1,144.9785,1486487405154
4,3,3,0.3,1,3,1,148.612,1486487408785,-1,-1,148.0452,1486487408221
4,4,3,0.3,1,1,0,151.6454,1486487411818,152.4461,1486487412619,151.1121,1486487411288
4,5,3,0.3,1,0,0,154.6789,1486487414852,-1,-1,154.1456,1486487414323
4,6,3,0.3,0,2,0,157.7458,1486487417919,159.6459,1486487419819,157.1792,1486487417355
4,7,3,0.3,1,0,3,160.7793,1486487420953,-1,-1,160.2459,1486487420422
4,8,3,0.3,1,1,0,163.8128,1486487423986,164.9462,1486487425119,163.2795,1486487423455
4,9,3,0.3,0,1,0,166.8129,1486487426986,-1,-1,166.3129,1486487426488
4,10,3,0.3,1,0,2,169.8798,1486487430053,-1,-1,169.3137,1486487429490
4,11,3,0.3,1,1,0,172.9465,1486487433120,174.2135,1486487434387,172.38,1486487432556
4,12,3,0.3,1,0,3,175.9803,1486487436153,-1,-1,175.4468,1486487435622
4,13,3,0.3,1,0,3,179.014,1486487439187,-1,-1,178.5136,1486487438689
4,14,3,0.3,1,0,1,182.0471,1486487442220,-1,-1,181.547,1486487441723
4,15,3,0.3,1,1,3,185.0474,1486487445220,185.8476,1486487446021,184.5473,1486487444723
4,16,3,0.3,0,2,1,188.1151,1486487448288,189.6144,1486487449788,187.5808,1486487447756
4,17,3,0.3,0,2,3,191.181,1486487451354,192.5147,1486487452688,190.6478,1486487450824
4,18,3,0.3,1,0,2,194.1812,1486487454354,-1,-1,193.6811,1486487453859
4,19,3,0.3,0,1,1,197.2146,1486487457388,-1,-1,196.6818,1486487456858
4,1,2,0.3,1,3,0,203.7488,1486487463922,-1,-1,203.2152,1486487463389
4,2,2,0.3,1,3,1,206.8153,1486487466988,-1,-1,206.2824,1486487466459
4,3,2,0.3,0,1,0,209.8156,1486487469989,-1,-1,209.3153,1486487469491
4,4,2,0.3,0,2,0,212.8824,1486487473055,214.4503,1486487474624,212.3161,1486487472492
4,5,2,0.3,1,1,0,215.9491,1486487476122,216.9158,1486487477089,215.4157,1486487475591
4,6,2,0.3,0,0,1,219.0164,1486487479189,219.7828,1486487479956,218.4493,1486487478626
4,7,2,0.3,1,1,0,222.0495,1486487482223,223.2832,1486487483456,221.5493,1486487481726
4,8,2,0.3,1,0,2,225.0831,1486487485256,-1,-1,224.5496,1486487484725
4,9,2,0.3,1,1,0,228.1497,1486487488323,229.0497,1486487489223,227.6163,1486487487792
4,10,2,0.3,1,0,1,231.2166,1486487491390,-1,-1,230.6499,1486487490826
4,11,2,0.3,1,0,3,234.25,1486487494423,-1,-1,233.7167,1486487493893
4,12,2,0.3,1,2,0,237.2836,1486487497457,-1,-1,236.7502,1486487496927
4,13,2,0.3,1,0,2,240.3171,1486487500490,-1,-1,239.7837,1486487499959
4,14,2,0.3,1,2,2,243.3506,1486487503524,-1,-1,242.8172,1486487502993
4,15,2,0.3,1,0,3,246.3841,1486487506557,-1,-1,245.8506,1486487506026
4,16,2,0.3,1,0,1,249.3843,1486487509557,-1,-1,248.8842,1486487509060
4,17,2,0.3,1,0,0,252.4178,1486487512591,-1,-1,251.8844,1486487512060
4,18,2,0.3,1,1,1,255.4513,1486487515624,256.3182,1486487516492,254.918,1486487515093
4,1,3,0.3,1,3,1,260.9849,1486487521158,-1,-1,260.4187,1486487520592
4,2,3,0.3,1,3,3,264.0185,1486487524192,-1,-1,263.485,1486487523662
4,3,3,0.3,1,3,0,267.1185,1486487527292,-1,-1,266.5525,1486487526728
4,4,3,0.3,1,2,3,270.186,1486487530359,-1,-1,269.619,1486487529795
4,5,3,0.3,0,0,1,273.2523,1486487533425,274.0855,1486487534259,272.7196,1486487532895
4,6,3,0.3,0,1,0,276.2527,1486487536426,-1,-1,275.7524,1486487535928
4,7,3,0.3,1,0,2,279.3526,1486487539526,-1,-1,278.7862,1486487538962
4,8,3,0.3,1,0,2,282.3861,1486487542559,-1,-1,281.8528,1486487542028
4,9,3,0.3,0,2,2,285.453,1486487545626,286.2202,1486487546393,284.8863,1486487545062
4,1,2,0.3,1,3,3,290.1867,1486487550360,-1,-1,289.6202,1486487549794
4,2,2,0.3,1,3,1,293.2202,1486487553393,-1,-1,292.7201,1486487552895
4,3,2,0.3,1,0,0,296.2536,1486487556427,-1,-1,295.7202,1486487555896
4,4,2,0.3,1,0,2,299.3204,1486487559493,-1,-1,298.7538,1486487558930
4,5,2,0.3,0,1,0,302.3872,1486487562560,-1,-1,301.8206,1486487561996
4,6,2,0.3,1,0,3,305.4207,1486487565594,-1,-1,304.8875,1486487565065
4,7,2,0.3,1,1,0,308.4543,1486487568627,309.3879,1486487569561,307.9208,1486487568096
4,8,2,0.3,1,0,2,311.4878,1486487571661,-1,-1,310.9544,1486487571131
4,9,2,0.3,1,0,1,314.5215,1486487574694,-1,-1,313.9879,1486487574163
4,10,2,0.3,1,0,3,317.5882,1486487577761,-1,-1,317.0547,1486487577230
4,11,2,0.3,1,0,0,320.622,1486487580795,-1,-1,320.0883,1486487580264
4,12,2,0.3,1,2,1,323.6893,1486487583862,-1,-1,323.1551,1486487583331
4,13,2,0.3,1,1,0,326.7886,1486487586962,327.8222,1486487587995,326.2224,1486487586398
4,14,2,0.3,1,2,0,329.8221,1486487589995,-1,-1,329.2887,1486487589465
4,15,2,0.3,1,2,1,332.8233,1486487592996,-1,-1,332.3223,1486487592498
4,16,2,0.3,1,1,0,335.8892,1486487596062,336.7894,1486487596963,335.3562,1486487595532
4,1,3,0.3,1,3,2,341.0894,1486487601203,-1,-1,340.5227,1486487600637
4,2,3,0.3,1,3,1,344.1229,1486487604237,-1,-1,343.5895,1486487603706
4,3,3,0.3,1,3,3,347.1233,1486487607237,-1,-1,346.623,1486487606738
4,4,3,0.3,1,1,2,350.1899,1486487610304,351.0233,1486487611137,349.6234,1486487609741
4,5,3,0.3,1,2,3,353.2234,1486487613337,-1,-1,352.6901,1486487612807
4,6,3,0.3,1,1,3,356.257,1486487616371,356.9573,1486487617071,355.7236,1486487615840
4,7,3,0.3,1,0,0,359.2904,1486487619404,-1,-1,358.7571,1486487618873
4,8,3,0.3,0,2,2,362.3239,1486487622438,363.491,1486487623605,361.7906,1486487621907
4,9,3,0.3,1,0,2,365.3908,1486487625504,-1,-1,364.8241,1486487624940
4,10,3,0.3,0,1,0,368.3915,1486487628505,-1,-1,367.891,1486487628007
4,11,3,0.3,0,2,0,371.4579,1486487631572,373.1912,1486487633305,370.8917,1486487631009
4,1,2,0.3,1,3,0,375.7248,1486487635838,-1,-1,375.2247,1486487635339
4,2,2,0.3,1,3,3,378.7583,1486487638872,-1,-1,378.2248,1486487638341
4,3,2,0.3,1,2,3,381.825,1486487641939,-1,-1,381.2584,1486487641376
4,4,2,0.3,1,0,1,384.8586,1486487644972,-1,-1,384.3257,1486487644443
4,5,2,0.3,1,2,1,387.892,1486487648006,-1,-1,387.3587,1486487647475
4,6,2,0.3,1,2,3,390.9257,1486487651039,-1,-1,390.3922,1486487650508
4,7,2,0.3,1,2,3,393.9591,1486487654073,-1,-1,393.4258,1486487653542
4,8,2,0.3,1,2,1,396.9926,1486487657106,-1,-1,396.4593,1486487656575
4,9,2,0.3,1,0,0,400.0261,1486487660140,-1,-1,399.4927,1486487659609
4,10,2,0.3,1,0,2,403.0263,1486487663140,-1,-1,402.5262,1486487662641
4,11,2,0.3,1,0,3,406.0598,1486487666173,-1,-1,405.5264,1486487665643
4,12,2,0.3,1,0,1,409.0932,1486487669207,-1,-1,408.5599,1486487668677
4,13,2,0.3,0,1,3,412.1603,1486487672274,-1,-1,411.5939,1486487671711
4,14,2,0.3,0,1,1,415.227,1486487675341,-1,-1,414.6936,1486487674809
4,15,2,0.3,1,0,2,418.2604,1486487678374,-1,-1,417.7271,1486487677843
4,16,2,0.3,1,0,0,421.2606,1486487681374,-1,-1,420.7605,1486487680877
4,17,2,0.3,1,1,2,424.294,1486487684408,425.1942,1486487685308,423.7607,1486487683879
4,18,2,0.3,0,1,0,427.2944,1486487687408,-1,-1,426.7943,1486487686910
4,19,2,0.3,1,1,2,430.3612,1486487690475,431.428,1486487691542,429.7944,1486487689911
4,20,2,0.3,1,1,0,433.4279,1486487693542,434.5949,1486487694709,432.8613,1486487692977
4,21,2,0.3,1,2,0,436.4948,1486487696608,-1,-1,435.9282,1486487696044
4,22,2,0.3,1,0,1,439.4955,1486487699609,-1,-1,438.9949,1486487699111
4,23,2,0.3,0,2,1,442.5617,1486487702675,443.662,1486487703776,442.0284,1486487702145
4,24,2,0.3,1,0,3,445.562,1486487705676,-1,-1,445.0619,1486487705178
4,25,2,0.3,1,0,2,448.6288,1486487708742,-1,-1,448.0624,1486487708179
4,26,2,0.3,0,1,3,451.6956,1486487711809,-1,-1,451.1295,1486487711246
4,27,2,0.3,1,2,3,454.7292,1486487714843,-1,-1,454.1958,1486487714312
4,28,2,0.3,1,0,0,457.7627,1486487717876,-1,-1,457.2293,1486487717345
4,29,2,0.3,1,0,2,460.8294,1486487720943,-1,-1,460.2628,1486487720379
4,30,2,0.3,1,0,1,463.863,1486487723977,-1,-1,463.3296,1486487723447
4,31,2,0.3,0,1,2,466.8965,1486487727010,-1,-1,466.3631,1486487726479
4,1,1,0.3,1,3,2,471.7968,1486487731910,-1,-1,471.2636,1486487731378
4,2,1,0.3,1,2,3,474.897,1486487735011,-1,-1,474.3302,1486487734446
4,3,1,0.3,1,2,0,477.9305,1486487738044,-1,-1,477.397,1486487737514
4,4,1,0.3,1,0,1,480.9974,1486487741111,-1,-1,480.4306,1486487740548
4,5,1,0.3,1,0,3,484.0309,1486487744144,-1,-1,483.4974,1486487743614
4,6,1,0.3,1,1,3,487.0977,1486487747211,487.831,1486487747945,486.531,1486487746647
4,7,1,0.3,1,0,1,490.0984,1486487750212,-1,-1,489.5979,1486487749714
4,8,1,0.3,1,1,1,493.1646,1486487753278,493.9981,1486487754112,492.5985,1486487752714
4,9,1,0.3,0,1,1,496.2314,1486487756345,-1,-1,495.665,1486487755782
4,10,1,0.3,1,0,3,499.2317,1486487759346,-1,-1,498.7315,1486487758852
4,11,1,0.3,1,0,2,502.2323,1486487762346,-1,-1,501.7317,1486487761848
4,12,1,0.3,1,1,2,505.2986,1486487765412,505.9327,1486487766046,504.7652,1486487764881
4,13,1,0.3,1,1,2,508.3655,1486487768479,509.9325,1486487770046,507.7988,1486487767915
4,14,1,0.3,1,0,0,511.399,1486487771513,-1,-1,510.8657,1486487770983
4,15,1,0.3,1,1,0,514.4326,1486487774546,515.1997,1486487775314,513.8992,1486487774015
4,1,2,0.3,1,3,1,518.8661,1486487778980,-1,-1,518.333,1486487778447
4,2,2,0.3,1,3,0,521.8997,1486487782013,-1,-1,521.3663,1486487781483
4,3,2,0.3,1,0,2,524.9331,1486487785047,-1,-1,524.3998,1486487784517
4,4,2,0.3,1,0,3,527.9669,1486487788081,-1,-1,527.4333,1486487787550
4,5,2,0.3,1,0,1,531.0668,1486487791180,-1,-1,530.5001,1486487790617
4,6,2,0.3,1,2,1,534.1337,1486487794247,-1,-1,533.567,1486487793683
4,7,2,0.3,1,1,1,537.1672,1486487797281,537.9007,1486487798014,536.6338,1486487796750
4,8,2,0.3,1,1,1,540.2007,1486487800314,541.6347,1486487801748,539.6673,1486487799784
4,9,2,0.3,1,0,3,543.2675,1486487803381,-1,-1,542.7008,1486487802817
4,10,2,0.3,1,0,0,546.301,1486487806415,-1,-1,545.7679,1486487805884
4,11,2,0.3,1,1,3,549.3345,1486487809448,550.3347,1486487810449,548.8011,1486487808917
4,1,3,0.3,1,3,0,553.9682,1486487814082,-1,-1,553.4681,1486487813582
4,2,3,0.3,1,3,2,557.0016,1486487817115,-1,-1,556.4683,1486487816585
4,3,3,0.3,1,3,1,560.0684,1486487820182,-1,-1,559.5018,1486487819618
4,4,3,0.3,1,1,0,563.1021,1486487823216,564.8027,1486487824917,562.5687,1486487822685
4,5,3,0.3,1,0,3,566.1689,1486487826282,-1,-1,565.6021,1486487825718
4,6,3,0.3,1,1,1,569.2356,1486487829349,570.4364,1486487830550,568.6689,1486487828785
4,7,3,0.3,0,1,0,572.3025,1486487832416,-1,-1,571.7358,1486487831853
4,8,3,0.3,1,0,2,575.3694,1486487835483,-1,-1,574.8026,1486487834919
4,9,3,0.3,1,0,2,578.4367,1486487838550,-1,-1,577.9028,1486487838019
4,10,3,0.3,1,0,3,581.503,1486487841617,-1,-1,580.9696,1486487841085
4,11,3,0.3,0,2,0,584.5364,1486487844650,586.5367,1486487846651,584.0031,1486487844120
4,12,3,0.3,1,0,0,587.57,1486487847684,-1,-1,587.0366,1486487847154
4,13,3,0.3,1,0,1,590.6368,1486487850750,-1,-1,590.0704,1486487850186
4,14,3,0.3,1,2,3,593.6705,1486487853784,-1,-1,593.137,1486487853254
4,15,3,0.3,1,0,2,596.7372,1486487856851,-1,-1,596.2038,1486487856320
4,16,3,0.3,0,1,1,599.7708,1486487859884,-1,-1,599.2373,1486487859354
4,1,2,0.3,1,3,2,604.5043,1486487864618,-1,-1,603.9382,1486487864053
4,2,2,0.3,1,3,3,607.5382,1486487867652,-1,-1,607.0044,1486487867120
4,3,2,0.3,1,0,1,610.6046,1486487870718,-1,-1,610.0712,1486487870187
4,4,2,0.3,1,1,3,613.6714,1486487873785,614.4384,1486487874553,613.1047,1486487873221
4,5,2,0.3,1,2,3,616.7383,1486487876852,-1,-1,616.1721,1486487876289
4,6,2,0.3,1,0,0,619.8051,1486487879919,-1,-1,619.2385,1486487879355
4,7,2,0.3,1,0,2,622.8389,1486487882952,-1,-1,622.3053,1486487882421
4,8,2,0.3,1,2,3,625.9055,1486487886019,-1,-1,625.3721,1486487885488
4,9,2,0.3,1,1,2,628.9395,1486487889053,630.0391,1486487890153,628.4056,1486487888522
4,10,2,0.3,1,2,2,632.0058,1486487892119,-1,-1,631.4724,1486487891590
4,11,2,0.3,1,1,2,635.0394,1486487895153,635.9731,1486487896087,634.506,1486487894622
4,1,3,0.3,1,3,3,639.4896,1486487899603,-1,-1,638.9229,1486487899038
4,2,3,0.3,1,3,1,642.5563,1486487902670,-1,-1,641.9897,1486487902106
4,3,3,0.3,1,3,0,645.59,1486487905704,-1,-1,645.0566,1486487905174
4,4,3,0.3,1,2,1,648.6573,1486487908771,-1,-1,648.1235,1486487908239
4,5,3,0.3,1,1,1,651.7241,1486487911838,652.5573,1486487912671,651.1901,1486487911307
4,6,3,0.3,1,2,1,654.7905,1486487914904,-1,-1,654.2242,1486487914341
4,7,3,0.3,0,0,3,657.8572,1486487917971,659.1582,1486487919272,657.2906,1486487917407
4,8,3,0.3,1,1,1,660.8909,1486487921004,662.392,1486487922506,660.3574,1486487920475
