%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486494738758,1486494745723
1,1,34,34,0,1486494746692,1486494752391
2,0,15,15,0,1486494757726,1486494763991
2,1,73,73,0,1486494764961,1486494770924
2,2,164,164,0,1486494771893,1486494779592
2,3,705,705,0,1486494780561,1486494788325
2,4,2173,2173,0,1486494789327,1486494798726
2,5,1504,1504,0,1486494799695,1486494809994
2,6,42350,42350,0,1486494810996,1486494824227
2,7,24061,42061,0,1486494825229,1486494836661
2,8,061743,061473,0,1486494837663,1486494851996
2,9,625037,62503,0,1486494852997,1486494867097
3,0,60,06,0,1486494873666,1486494881531
3,1,24,42,0,1486494882499,1486494888131
4,0,25,52,0,1486494899400,1486494905265
4,1,63,36,0,1486494906268,1486494912066
4,2,574,475,0,1486494913068,1486494920533
4,3,207,702,0,1486494921502,1486494929100
4,4,7305,5037,0,1486494930069,1486494939867
4,5,4130,0314,0,1486494940837,1486494950668
4,6,35741,145753,0,1486494951636,1486494967669
4,7,70526,65023,0,1486494968671,1486494982170
