%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,,0,1486150531690,1486150536822
1,1,34,34,0,1486150537824,1486150543688
2,0,52,52,0,1486150548191,1486150554089
2,1,36,36,0,1486150555092,1486150560890
2,2,368,368,0,1486150561858,1486150569457
2,3,208,208,0,1486150570459,1486150578057
2,4,2306,2306,1,1486150579060,1486150592758
2,5,5047,5047,0,1486150593729,1486150603092
2,6,41075,41075,0,1486150604094,1486150615726
2,7,31620,31620,0,1486150616728,1486150628327
2,8,281376,281376,0,1486150629329,1486150642561
2,9,816508,816508,0,1486150643529,1486150659529
2,10,4806317,4860137,0,1486150660530,1486150676263
2,11,0851680,0851685,0,1486150677231,1486150693697
3,0,60,06,0,1486150700132,1486150706298
3,1,24,42,0,1486150707267,1486150713031
4,0,51,15,0,1486150715900,1486150721765
4,1,37,73,0,1486150722734,1486150728599
4,2,630,036,0,1486150729601,1486150737234
4,3,580,08,0,1486150738201,1486150746100
4,4,5683,3865,0,1486150747068,1486150756901
4,5,2841,1482,0,1486150757870,1486150767235
4,6,47812,21874,0,1486150768236,1486150779769
4,7,03415,51430,1,1486150780738,1486150795236
4,8,507613,316705,0,1486150796205,1486150809504
4,9,073280,,0,1486150810473,1486150832738
4,10,4083671,1763840,0,1486150833740,1486150849239
4,11,8027308,8037208,0,1486150850241,1486150867107
4,12,52480873,37808425,0,1486150868110,1486150891409
4,13,41807263,36721840,0,1486150892411,1486150909509
4,14,672183054,450381267,0,1486150910478,1486150929944
4,15,734127416,61472313,0,1486150930913,1486150952178
