%Recollect Version 2.3. Scene/Level: , Session: 4, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,1,3,3,2.020533,1486513409133,-1,-1,1.486954,1486513408600
3,2,2,0.3,1,3,1,5.120411,1486513412233,-1,-1,4.557405,1486513411673
3,3,2,0.3,1,0,6,8.187286,1486513415300,-1,-1,7.621082,1486513414738
3,4,2,0.3,1,0,0,11.18745,1486513418300,-1,-1,10.68743,1486513417802
3,5,2,0.3,1,1,6,14.18762,1486513421300,15.25463,1486513422367,13.68756,1486513420803
3,6,2,0.3,1,0,4,17.22141,1486513424334,-1,-1,16.68783,1486513423803
3,7,2,0.3,1,0,2,20.28796,1486513427400,-1,-1,19.75502,1486513426871
3,8,2,0.3,1,1,4,23.28815,1486513430401,24.28816,1486513431401,22.7881,1486513429903
3,9,2,0.3,1,2,4,26.32163,1486513433434,-1,-1,25.78838,1486513432903
3,10,2,0.3,1,0,3,29.32181,1486513436434,-1,-1,28.82178,1486513435937
3,11,2,0.3,1,0,7,32.35531,1486513439468,-1,-1,31.82195,1486513438936
3,12,2,0.3,1,1,3,35.356,1486513442468,36.22236,1486513443335,34.85545,1486513441971
3,13,2,0.3,1,2,3,38.42231,1486513445535,-1,-1,37.88931,1486513445004
3,14,2,0.3,1,1,3,41.45638,1486513448569,42.28957,1486513449402,40.92254,1486513448038
3,15,2,0.3,1,0,4,44.52266,1486513451635,-1,-1,43.98939,1486513451106
3,16,2,0.3,1,1,3,47.55611,1486513454669,48.45644,1486513455569,47.02277,1486513454138
3,17,2,0.3,1,2,3,50.55634,1486513457669,-1,-1,50.05627,1486513457172
3,18,2,0.3,1,1,3,53.5565,1486513460669,55.32377,1486513462436,53.05648,1486513460172
3,19,2,0.3,1,0,6,56.59068,1486513463703,-1,-1,56.05665,1486513463171
3,20,2,0.3,1,2,6,59.65685,1486513466769,-1,-1,59.12392,1486513466240
3,21,2,0.3,1,2,3,62.72362,1486513469836,-1,-1,62.1572,1486513469272
