%Recollect Version 2.3; iPad: ; User: RLB135; Session: 10
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,3,10,0,0.8333333,2,8,algoNotBayesian
32,3,10,0,1,3,8,algoNotBayesian
32,3,10,0,0.5714286,4,8,algoNotBayesian
32,3,10,0,0.6666667,4,8,algoNotBayesian
32,3,10,0,0.4,5,8,algoNotBayesian
32,3,10,0,1,4,8,algoNotBayesian
32,3,10,0,0.7142857,5,8,algoNotBayesian
32,3,10,0,0.625,6,8,algoNotBayesian
32,3,10,0,0.8333333,6,8,algoNotBayesian
32,3,10,0,0.4444444,7,8,algoNotBayesian
32,3,10,0,0.375,7,8,algoNotBayesian
32,3,10,0,0.5,7,8,algoNotBayesian
32,3,10,0,0.3333333,7,8,algoNotBayesian
32,3,10,0,0.5,6,8,algoNotBayesian
32,3,10,0,0.3636364,6,8,algoNotBayesian
32,3,11,0,1,2,8,algoNotBayesian
32,3,11,0,1,3,8,algoNotBayesian
32,3,11,0,0.8333333,4,8,algoNotBayesian
32,3,11,0,0.75,5,8,algoNotBayesian
32,3,11,0,0.375,6,8,algoNotBayesian
32,3,11,0,0.4444444,6,8,algoNotBayesian
32,3,11,0,0.3636364,6,8,algoNotBayesian
32,3,11,0,0.8571429,5,8,algoNotBayesian
32,3,11,0,0.375,6,8,algoNotBayesian
32,3,11,0,0.8333333,6,8,algoNotBayesian
32,3,11,0,1,7,8,algoNotBayesian
32,3,11,0,0.75,8,8,algoNotBayesian
32,3,11,0,0.5,9,9,algoNotBayesian
32,3,11,0,0.7142857,9,9,algoNotBayesian
32,3,11,0,0.4,10,10,algoNotBayesian
