%Recollect Version 2.3. Scene/Level: , Session: 12, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,1,2,0.3,1,3,4,2.586872,1487108588593,-1,-1,2.020576,1487108588028
6,2,2,0.3,1,3,5,5.620506,1487108591627,-1,-1,5.087219,1487108591096
6,3,2,0.3,1,2,5,8.654083,1487108594661,-1,-1,8.120655,1487108594130
6,4,2,0.3,1,1,5,11.68752,1487108597694,13.05453,1487108599061,11.15424,1487108597165
6,5,2,0.3,1,1,5,14.68768,1487108600694,15.78774,1487108601794,14.18765,1487108600197
6,6,2,0.3,1,1,5,17.68784,1487108603694,18.55465,1487108604562,17.18782,1487108603197
6,7,2,0.3,1,2,3,20.68824,1487108606695,-1,-1,20.18798,1487108606197
6,8,2,0.3,1,0,4,23.78819,1487108609795,-1,-1,23.22161,1487108609231
6,9,2,0.3,1,2,4,26.82169,1487108612828,-1,-1,26.28826,1487108612296
6,10,2,0.3,1,2,3,29.85512,1487108615862,-1,-1,29.32191,1487108615331
6,11,2,0.3,1,0,7,32.8887,1487108618895,-1,-1,32.35548,1487108618365
6,12,2,0.3,1,0,5,35.92216,1487108621929,-1,-1,35.38885,1487108621399
6,13,2,0.3,1,0,2,38.95566,1487108624962,-1,-1,38.42245,1487108624433
6,14,2,0.3,1,0,1,41.95588,1487108627962,-1,-1,41.45584,1487108627465
6,15,2,0.3,1,0,0,44.95605,1487108630963,-1,-1,44.45602,1487108630465
6,16,2,0.3,1,0,7,47.95621,1487108633963,-1,-1,47.45618,1487108633465
6,17,2,0.3,1,1,0,50.99023,1487108636997,52.05646,1487108638063,50.45635,1487108636466
6,18,2,0.3,1,1,7,54.02404,1487108640031,54.65675,1487108640663,53.52319,1487108639533
6,19,2,0.3,1,2,7,57.05682,1487108643063,-1,-1,56.55669,1487108642566
6,20,2,0.3,1,2,0,60.0572,1487108646064,-1,-1,59.55688,1487108645567
6,21,2,0.3,1,1,7,63.12399,1487108649130,63.62392,1487108649631,62.59109,1487108648600
6,22,2,0.3,1,0,1,66.15731,1487108652164,-1,-1,65.65717,1487108651667
6,1,2,0.3,1,3,2,70.77451,1487108656781,-1,-1,70.20767,1487108656215
6,2,2,0.3,1,3,5,73.841,1487108659848,-1,-1,73.3077,1487108659317
6,3,2,0.3,1,2,5,76.87447,1487108662881,-1,-1,76.34115,1487108662350
6,4,2,0.3,1,0,0,79.90796,1487108665914,-1,-1,79.37464,1487108665384
6,5,2,0.3,1,0,1,82.90819,1487108668915,-1,-1,82.40815,1487108668417
6,6,2,0.3,1,0,3,85.97493,1487108671981,-1,-1,85.40874,1487108671418
6,7,2,0.3,1,0,4,88.97519,1487108674982,-1,-1,88.47516,1487108674485
6,8,2,0.3,1,0,7,92.00863,1487108678015,-1,-1,91.47554,1487108677485
6,9,2,0.3,1,2,3,95.00886,1487108681015,-1,-1,94.50883,1487108680518
6,10,2,0.3,1,1,7,98.04238,1487108684049,98.67582,1487108684683,97.50901,1487108683518
6,11,2,0.3,1,1,3,101.0759,1487108687082,101.5759,1487108687583,100.5426,1487108686551
6,12,2,0.3,1,0,4,104.076,1487108690083,-1,-1,103.576,1487108689586
6,13,2,0.3,1,1,3,107.1095,1487108693116,107.7098,1487108693717,106.5761,1487108692585
6,14,2,0.3,1,2,3,110.1431,1487108696150,-1,-1,109.6097,1487108695619
6,15,2,0.3,1,1,3,113.2099,1487108699217,114.1099,1487108700117,112.6433,1487108698653
6,16,2,0.3,1,0,6,116.2435,1487108702250,-1,-1,115.7434,1487108701752
6,17,2,0.3,1,2,6,119.3102,1487108705317,-1,-1,118.7769,1487108704787
6,18,2,0.3,1,1,6,122.3104,1487108708317,122.7775,1487108708784,121.8104,1487108707820
6,19,2,0.3,1,2,3,125.3106,1487108711317,-1,-1,124.8105,1487108710820
6,20,2,0.3,1,0,1,128.3778,1487108714384,-1,-1,127.8107,1487108713820
6,21,2,0.3,1,2,1,131.4442,1487108717451,-1,-1,130.9109,1487108716920
6,22,2,0.3,1,1,1,134.4779,1487108720484,135.0124,1487108721019,133.9446,1487108719954
6,1,2,0.3,1,3,5,139.2448,1487108725251,-1,-1,138.6785,1487108724686
6,2,2,0.3,1,3,3,142.2449,1487108728251,-1,-1,141.7448,1487108727754
6,3,2,0.3,1,0,0,145.3118,1487108731318,-1,-1,144.745,1487108730754
6,4,2,0.3,1,1,3,148.3452,1487108734352,149.8788,1487108735886,147.8125,1487108733821
6,5,2,0.3,1,2,3,151.4121,1487108737419,-1,-1,150.8453,1487108736854
6,6,2,0.3,1,2,0,154.4789,1487108740485,-1,-1,153.9455,1487108739955
6,7,2,0.3,1,1,3,157.5125,1487108743519,158.5124,1487108744519,156.9792,1487108742988
6,8,2,0.3,1,0,2,160.5459,1487108746553,-1,-1,160.0126,1487108746023
6,9,2,0.3,1,1,3,163.5794,1487108749586,164.1129,1487108750120,163.046,1487108749055
6,10,2,0.3,1,0,1,166.6462,1487108752653,-1,-1,166.0795,1487108752089
6,11,2,0.3,1,1,3,169.6464,1487108755653,170.1465,1487108756153,169.1463,1487108755155
6,12,2,0.3,1,2,2,172.68,1487108758686,-1,-1,172.1465,1487108758155
6,13,2,0.3,1,0,7,175.7134,1487108761720,-1,-1,175.1801,1487108761189
6,14,2,0.3,1,0,5,178.7469,1487108764753,-1,-1,178.2137,1487108764223
6,15,2,0.3,1,0,6,181.7804,1487108767787,-1,-1,181.247,1487108767256
6,16,2,0.3,1,0,3,184.7811,1487108770788,-1,-1,184.2805,1487108770288
6,17,2,0.3,1,2,5,187.8143,1487108773821,-1,-1,187.314,1487108773324
6,18,2,0.3,1,1,3,190.8809,1487108776887,191.6477,1487108777654,190.3144,1487108776324
6,19,2,0.3,1,2,3,193.9144,1487108779921,-1,-1,193.3811,1487108779390
6,20,2,0.3,1,0,6,196.9813,1487108782988,-1,-1,196.4148,1487108782424
6,21,2,0.3,1,2,5,200.0148,1487108786021,-1,-1,199.4814,1487108785491
6,22,2,0.3,1,1,6,203.0483,1487108789055,203.9149,1487108789922,202.5149,1487108788524
6,1,2,0.3,1,3,0,207.4152,1487108793422,-1,-1,206.8822,1487108792889
6,2,2,0.3,1,3,2,210.4153,1487108796422,-1,-1,209.9153,1487108795925
6,3,2,0.3,1,0,6,213.4155,1487108799422,-1,-1,212.9155,1487108798925
6,4,2,0.3,1,0,4,216.449,1487108802456,-1,-1,215.9157,1487108801925
6,5,2,0.3,1,0,1,219.4834,1487108805490,-1,-1,218.9492,1487108804958
6,6,2,0.3,1,1,4,222.5161,1487108808523,223.6163,1487108809623,222.016,1487108808025
6,7,2,0.3,1,2,4,225.5495,1487108811556,-1,-1,225.0161,1487108811025
6,8,2,0.3,1,2,1,228.6164,1487108814623,-1,-1,228.0497,1487108814060
6,9,2,0.3,1,1,4,231.6499,1487108817656,232.7833,1487108818790,231.1165,1487108817126
6,10,2,0.3,1,1,1,234.6835,1487108820690,235.3837,1487108821390,234.15,1487108820159
6,11,2,0.3,1,0,5,237.7502,1487108823757,-1,-1,237.1836,1487108823192
6,12,2,0.3,1,2,5,240.7838,1487108826790,-1,-1,240.2504,1487108826259
6,13,2,0.3,1,0,3,243.8173,1487108829824,-1,-1,243.284,1487108829293
6,14,2,0.3,1,0,7,246.8513,1487108832858,-1,-1,246.3175,1487108832327
6,15,2,0.3,1,1,3,249.9509,1487108835957,250.485,1487108836492,249.3842,1487108835393
6,16,2,0.3,1,2,3,252.9847,1487108838991,-1,-1,252.451,1487108838460
6,17,2,0.3,1,1,3,256.0513,1487108842058,256.5516,1487108842558,255.5179,1487108841529
6,18,2,0.3,1,2,7,259.0853,1487108845092,-1,-1,258.5514,1487108844560
6,19,2,0.3,1,0,1,262.1517,1487108848158,-1,-1,261.6183,1487108847627
6,20,2,0.3,1,2,3,265.2184,1487108851225,-1,-1,264.6518,1487108850661
6,21,2,0.3,1,0,0,268.2187,1487108854225,-1,-1,267.7185,1487108853728
6,22,2,0.3,1,1,3,271.2522,1487108857259,272.4193,1487108858426,270.7188,1487108856728
6,1,2,0.3,1,3,3,280.2193,1487108866226,-1,-1,279.6527,1487108865660
6,2,2,0.3,1,3,5,283.2528,1487108869259,-1,-1,282.7195,1487108868729
6,3,2,0.3,1,1,3,286.2538,1487108872260,286.7197,1487108872726,285.753,1487108871762
6,4,2,0.3,1,1,5,289.2865,1487108875293,289.8532,1487108875860,288.7547,1487108874765
6,5,2,0.3,1,2,5,292.3534,1487108878360,-1,-1,291.7869,1487108877796
6,6,2,0.3,1,1,5,295.387,1487108881393,297.2203,1487108883228,294.8535,1487108880863
6,7,2,0.3,1,2,3,298.4203,1487108884427,-1,-1,297.9203,1487108883931
6,8,2,0.3,1,2,3,301.4538,1487108887460,-1,-1,300.9205,1487108886931
6,9,2,0.3,1,0,2,304.4541,1487108890461,-1,-1,303.9539,1487108889964
6,10,2,0.3,1,2,2,307.5542,1487108893561,-1,-1,306.9875,1487108892996
6,11,2,0.3,1,0,1,310.5544,1487108896561,-1,-1,310.0542,1487108896063
6,12,2,0.3,1,1,2,313.5878,1487108899594,314.0882,1487108900095,313.0546,1487108899064
6,13,2,0.3,1,0,4,316.6213,1487108902628,-1,-1,316.088,1487108902097
6,14,2,0.3,1,2,4,319.6219,1487108905628,-1,-1,319.1215,1487108905131
6,15,2,0.3,1,0,5,322.6887,1487108908695,-1,-1,322.155,1487108908164
6,16,2,0.3,1,0,3,325.7552,1487108911762,-1,-1,325.2218,1487108911231
6,17,2,0.3,1,0,6,328.7893,1487108914796,-1,-1,328.2553,1487108914267
6,18,2,0.3,1,0,7,331.8889,1487108917895,-1,-1,331.3223,1487108917331
6,19,2,0.3,1,1,6,334.9223,1487108920929,335.5227,1487108921530,334.3897,1487108920399
6,20,2,0.3,1,0,0,337.9559,1487108923962,-1,-1,337.4226,1487108923432
6,21,2,0.3,1,1,6,340.9894,1487108926996,341.7897,1487108927796,340.456,1487108926466
6,22,2,0.3,1,2,6,343.9896,1487108929996,-1,-1,343.4895,1487108929499
6,1,2,0.3,1,3,2,349.4565,1487108935463,-1,-1,348.89,1487108934897
6,2,2,0.3,1,3,0,352.4902,1487108938497,-1,-1,351.9567,1487108937966
6,3,2,0.3,1,0,6,355.5236,1487108941530,-1,-1,354.9903,1487108941000
6,4,2,0.3,0,1,0,358.557,1487108944564,-1,-1,358.0237,1487108944033
6,5,2,0.3,1,0,1,361.5905,1487108947597,-1,-1,361.0572,1487108947067
6,6,2,0.3,1,1,0,364.6574,1487108950664,365.3574,1487108951364,364.0908,1487108950100
6,7,2,0.3,1,0,7,367.7243,1487108953731,-1,-1,367.1581,1487108953167
6,8,2,0.3,1,0,2,370.7915,1487108956798,-1,-1,370.2249,1487108956236
6,9,2,0.3,1,2,1,373.8247,1487108959831,-1,-1,373.3246,1487108959334
6,10,2,0.3,1,1,2,376.8914,1487108962898,377.7584,1487108963765,376.358,1487108962367
6,11,2,0.3,1,2,2,379.9583,1487108965965,-1,-1,379.3918,1487108965401
6,12,2,0.3,1,1,2,382.9919,1487108968998,383.9919,1487108969999,382.4584,1487108968468
6,13,2,0.3,1,0,7,386.0253,1487108972032,-1,-1,385.492,1487108971501
6,14,2,0.3,1,2,7,389.0587,1487108975065,-1,-1,388.5254,1487108974535
6,15,2,0.3,1,0,3,392.0589,1487108978066,-1,-1,391.5588,1487108977568
6,16,2,0.3,1,1,7,395.0926,1487108981099,395.7258,1487108981733,394.5592,1487108980568
6,17,2,0.3,1,2,7,398.1259,1487108984132,-1,-1,397.5927,1487108983603
6,18,2,0.3,1,1,7,401.1597,1487108987166,401.7263,1487108987733,400.6263,1487108986635
6,19,2,0.3,1,2,3,404.2263,1487108990233,-1,-1,403.6929,1487108989702
6,20,2,0.3,1,0,0,407.26,1487108993266,-1,-1,406.7264,1487108992735
6,21,2,0.3,1,2,0,410.3265,1487108996333,-1,-1,409.7603,1487108995769
