%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,25,12,0,0,14,igbbapchceaaogjcibinbaopjcbimdlcblpaaglcnkeabjbc,001110101011000101001100010000000000000000000000
1,27,16,0,0,12,bbhgmaapclcacfbllcbifacigbcbdejlahmmgkjiplpacbab,110001101011101001100110011100000000000000000000
2,17,7,1,0,10,flbakacmhcjgbhchebaacbkpnfajbjgcbkgehcoabdnocjac,001101100100100001000000000000000000000000000000
3,26,11,2,0,14,bnhdcajacdnojpbjhbcahcgbpabmjaijmljbcacfncpbbmma,100011011000001001110001010000000000000000000000
4,33,16,0,0,18,fbfifbicnogacmajnbmccbhpjmlaabcobaoacmieaibcgoal,010001010001101001011100000111101100000000000000
5,38,21,0,0,18,aabimdccfblahbhjajbcoclnjbjaocbakdcebcciiffkkand,111000110101010010110100010101110010111000000000
6,40,20,0,0,21,pjcphbcanababcchnbfandapcknebelapncbkadpcdobgijc,001001110111111001010010100010010011010010000000
7,38,17,2,0,20,obccgigkaabapcanbbcpimoabmnciibldeckkaajacdobjfi,011100001111010011100001100100100010001000000000
8,40,17,2,0,22,mlakajeecmlcbbnggacablbpnciemacbmnocblabdmclflaa,001010001001110001011010010001110001101000000000
9,33,17,1,0,16,aihcalcdbkkodbgcckakbbnadahgblcacbngnbicdmnnchai,100110101000010110101101010010110100000000000000
10,36,16,0,0,21,pjbibcamcdpkaonkjcbicfmiakdglnabalccbbdjahabcgnc,001011101000100001101000100000111011100000000000
11,37,16,1,0,21,ciajkobgbcahadcfkbmlmnjcebimamlgcbapcabpkibicbia,101000101110101001000001010010001110010000000000
