%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,3,1487382153022,-1,1487382152490
6,0,2,1,1,0,7,1487382156056,-1,1487382155525
6,0,3,1,1,0,0,1487382159122,-1,1487382158592
6,0,4,1,1,0,1,1487382162156,-1,1487382161625
6,0,5,1,1,0,4,1487382165190,-1,1487382164693
6,0,6,1,0,1,4,1487382168256,-1,1487382167726
6,0,7,1,1,0,0,1487382171290,-1,1487382170759
6,0,8,1,0,1,0,1487382174357,-1,1487382173826
6,0,9,1,0,1,0,1487382177390,-1,1487382176859
6,0,10,1,1,0,1,1487382180457,-1,1487382179927
6,0,11,1,1,0,2,1487382183490,-1,1487382182960
6,1,1,1,1,3,7,1487382191225,-1,1487382190725
6,1,2,1,1,1,7,1487382194291,1487382195225,1487382193761
6,1,3,1,1,0,4,1487382197325,-1,1487382196794
6,1,4,1,1,0,3,1487382200358,-1,1487382199828
6,1,5,1,1,0,2,1487382203425,-1,1487382202894
6,1,6,1,0,0,7,1487382206458,1487382207693,1487382205928
6,1,7,1,1,0,1,1487382209492,-1,1487382208962
6,1,8,1,1,0,3,1487382212559,-1,1487382212028
6,1,9,1,1,0,4,1487382215592,-1,1487382215062
6,1,10,1,0,0,1,1487382218659,1487382219526,1487382218128
6,1,11,1,1,1,1,1487382221693,1487382222727,1487382221162
6,1,12,1,0,1,1,1487382224759,-1,1487382224230
6,1,13,1,1,0,6,1487382227793,-1,1487382227263
6,1,14,1,1,1,6,1487382230860,1487382231694,1487382230329
6,1,15,1,0,0,0,1487382233893,1487382234860,1487382233363
6,1,16,1,0,0,4,1487382236894,1487382237727,1487382236397
6,1,17,1,1,1,4,1487382239927,1487382240727,1487382239430
6,1,18,1,0,0,1,1487382242987,1487382244154,1487382242456
6,1,19,1,1,0,7,1487382246020,-1,1487382245522
6,1,20,1,1,0,3,1487382249087,-1,1487382248556
6,1,21,1,1,1,3,1487382252120,1487382253020,1487382251589
6,2,1,2,1,3,0,1487382274188,-1,1487382273656
6,2,2,2,1,3,2,1487382277255,-1,1487382276725
6,2,3,2,1,0,5,1487382280289,-1,1487382279758
6,2,4,2,1,0,6,1487382283322,-1,1487382282792
6,2,5,2,1,1,5,1487382286356,1487382287190,1487382285827
6,2,6,2,1,1,6,1487382289422,1487382291823,1487382288891
6,2,7,2,1,0,1,1487382292456,-1,1487382291925
6,2,8,2,1,0,4,1487382295490,-1,1487382294992
6,2,9,2,1,0,0,1487382298556,-1,1487382298025
6,2,10,2,1,1,4,1487382301590,1487382302323,1487382301059
6,2,11,2,1,0,2,1487382304624,-1,1487382304093
6,2,12,2,1,0,6,1487382307690,-1,1487382307161
6,3,1,2,1,3,2,1487382312490,-1,1487382311958
6,3,2,2,1,3,0,1487382315524,-1,1487382314993
6,3,3,2,1,1,2,1487382318591,1487382319291,1487382318060
6,3,4,2,0,1,0,1487382321624,-1,1487382321094
6,3,5,2,1,0,3,1487382324691,-1,1487382324161
6,3,6,2,1,0,1,1487382327724,-1,1487382327194
6,3,7,2,1,0,6,1487382330792,-1,1487382330261
6,3,8,2,1,0,4,1487382333826,-1,1487382333294
6,3,9,2,1,0,5,1487382336892,-1,1487382336361
6,3,10,2,0,0,2,1487382339926,1487382340726,1487382339394
6,3,11,2,1,1,5,1487382342959,1487382344159,1487382342428
6,3,12,2,1,0,0,1487382345992,-1,1487382345463
6,3,13,2,1,0,4,1487382349026,-1,1487382348496
6,3,14,2,1,1,0,1487382352093,1487382353393,1487382351562
6,3,15,2,1,0,6,1487382355126,-1,1487382354597
6,3,16,2,1,0,1,1487382358193,-1,1487382357662
6,3,17,2,1,0,4,1487382361260,-1,1487382360729
6,3,18,2,1,0,7,1487382364327,-1,1487382363796
6,3,19,2,1,0,6,1487382367361,-1,1487382366863
6,3,20,2,1,1,7,1487382370427,1487382372261,1487382369897
6,3,21,2,1,0,5,1487382373460,-1,1487382372931
6,3,22,2,1,1,7,1487382376527,1487382377794,1487382375997
6,4,1,3,1,3,1,1487382388761,-1,1487382388229
6,4,2,3,1,3,6,1487382391795,-1,1487382391265
6,4,3,3,1,3,7,1487382394796,-1,1487382394299
6,4,4,3,1,0,4,1487382397862,-1,1487382397331
6,4,5,3,1,0,0,1487382400897,-1,1487382400398
6,4,6,3,0,1,7,1487382403962,-1,1487382403433
6,4,7,3,1,0,2,1487382406996,-1,1487382406465
6,4,8,3,1,0,2,1487382410029,-1,1487382409499
6,4,9,3,1,0,6,1487382413063,-1,1487382412532
6,4,10,3,1,1,2,1487382416130,1487382417730,1487382415599
6,4,11,3,0,1,2,1487382419163,-1,1487382418666
6,4,12,3,1,0,5,1487382422197,-1,1487382421700
6,4,13,3,1,0,5,1487382425263,-1,1487382424733
6,5,1,3,1,3,1,1487382430364,-1,1487382429831
6,5,2,3,1,3,2,1487382433397,-1,1487382432867
6,5,3,3,1,3,0,1487382436431,-1,1487382435900
6,5,4,3,0,1,1,1487382439464,-1,1487382438934
6,5,5,3,0,1,2,1487382442498,-1,1487382441967
6,5,6,3,0,0,5,1487382445498,1487382447198,1487382445002
6,5,7,3,0,1,1,1487382448565,-1,1487382448034
6,5,8,3,0,0,7,1487382451632,1487382452866,1487382451101
6,5,9,3,0,0,3,1487382454698,1487382455799,1487382454168
6,5,10,3,0,0,6,1487382457732,1487382459099,1487382457202
6,5,11,3,1,0,4,1487382460765,-1,1487382460235
6,5,12,3,1,0,0,1487382463799,-1,1487382463270
6,5,13,3,1,0,2,1487382466832,-1,1487382466302
6,5,14,3,1,0,3,1487382469866,-1,1487382469337
6,5,15,3,1,0,6,1487382472933,-1,1487382472403
6,5,16,3,1,0,4,1487382475933,-1,1487382475437
6,5,17,3,1,0,5,1487382478967,-1,1487382478469
6,5,18,3,1,0,0,1487382482033,-1,1487382481503
6,5,19,3,1,0,1,1487382485067,-1,1487382484536
6,5,20,3,0,1,5,1487382488100,-1,1487382487569
6,5,21,3,0,1,0,1487382491134,-1,1487382490603
6,5,22,3,1,1,1,1487382494201,1487382495268,1487382493671
6,5,23,3,0,0,3,1487382497267,1487382498334,1487382496737
