%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486493560851,1486493563853,1486493576806
1,G4,G,4,1486493578336,1486493581337,1486493589018
2,3W5,W,35,1486493590536,1486493595038,1486493606287
3,T7L,TL,7,1486493607787,1486493612289,1486493622305
4,1JA,JA,,1486493625305,1486493629807,1486493637174
0,F4,F,4,1486493644073,1486493647074,1486493654395
1,1J,J,1,1486493655923,1486493658925,1486493663111
2,A7,A,7,1486493664640,1486493667642,1486493672376
3,L1H,LH,1,1486493673907,1486493678410,1486493683825
4,T2S,TS,2,1486493685358,1486493689860,1486493695051
5,K43,K,43,1486493696576,1486493701078,1486493705370
