%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,1,3,5,1.886719,1486171726355,-1,-1,1.353271,1486171725823
3,2,2,0.3,1,3,4,4.920288,1486171729389,-1,-1,4.386963,1486171728858
3,3,2,0.3,1,0,1,7.954346,1486171732423,-1,-1,7.42041,1486171731891
3,4,2,0.3,1,0,0,11.02063,1486171735489,-1,-1,10.4873,1486171734958
3,5,2,0.3,1,1,1,14.0874,1486171738556,14.78772,1486171739256,13.52075,1486171737992
3,6,2,0.3,1,1,0,17.1543,1486171741623,18.18762,1486171742656,16.58752,1486171741059
3,7,2,0.3,1,2,0,20.18848,1486171744657,-1,-1,19.65454,1486171744126
3,8,2,0.3,1,0,4,23.28796,1486171747756,-1,-1,22.72131,1486171747193
3,9,2,0.3,1,1,0,26.35486,1486171750823,27.32153,1486171751790,25.78809,1486171750261
3,10,2,0.3,1,2,0,29.38831,1486171753857,-1,-1,28.85498,1486171753326
3,11,2,0.3,1,2,4,32.4552,1486171756924,-1,-1,31.88843,1486171756359
3,12,2,0.3,1,2,4,35.52197,1486171759990,-1,-1,34.95544,1486171759426
3,13,2,0.3,1,1,4,38.58887,1486171763057,39.42224,1486171763891,38.02209,1486171762493
3,14,2,0.3,1,0,3,41.65576,1486171766124,-1,-1,41.12231,1486171765593
3,15,2,0.3,1,1,4,44.72253,1486171769191,45.39087,1486171769859,44.18909,1486171768660
3,16,2,0.3,1,1,3,47.78931,1486171772258,48.7229,1486171773191,47.22266,1486171771694
3,17,2,0.3,1,0,7,50.82288,1486171775291,-1,-1,50.28955,1486171774760
3,18,2,0.3,1,0,2,53.85645,1486171778325,-1,-1,53.323,1486171777794
3,19,2,0.3,1,2,2,56.95654,1486171781425,-1,-1,56.38989,1486171780861
3,20,2,0.3,1,0,4,60.02332,1486171784492,-1,-1,59.4574,1486171783928
3,21,2,0.3,1,2,4,63.05688,1486171787525,-1,-1,62.52356,1486171786995
3,22,2,0.3,1,0,7,66.09033,1486171790559,-1,-1,65.55713,1486171790028
3,1,3,0.3,1,3,0,70.69067,1486171795159,-1,-1,70.12427,1486171794593
3,2,3,0.3,1,3,1,73.72437,1486171798193,-1,-1,73.1908,1486171797661
3,3,3,0.3,1,3,3,76.79102,1486171801259,-1,-1,76.25757,1486171800728
3,4,3,0.3,1,0,6,79.85779,1486171804326,-1,-1,79.29114,1486171803762
3,5,3,0.3,1,2,6,82.89136,1486171807360,-1,-1,82.35791,1486171806829
3,6,3,0.3,1,2,1,85.92529,1486171810394,-1,-1,85.39148,1486171809863
3,7,3,0.3,1,1,6,88.99207,1486171813461,89.6582,1486171814127,88.45825,1486171812929
3,8,3,0.3,0,2,1,92.0918,1486171816560,93.19202,1486171817661,91.52502,1486171815996
3,9,3,0.3,1,1,1,95.12549,1486171819594,96.82556,1486171821294,94.59204,1486171819063
3,10,3,0.3,0,1,6,98.22546,1486171822694,-1,-1,97.6593,1486171822130
3,11,3,0.3,1,0,3,101.259,1486171825727,-1,-1,100.7258,1486171825197
3,12,3,0.3,0,0,2,104.2932,1486171828762,105.1594,1486171829628,103.7596,1486171828231
3,13,3,0.3,1,1,6,107.3597,1486171831828,108.226,1486171832695,106.826,1486171831297
3,14,3,0.3,1,0,7,110.4596,1486171834928,-1,-1,109.8928,1486171834364
3,15,3,0.3,0,1,2,113.4937,1486171837962,-1,-1,112.96,1486171837431
3,16,3,0.3,0,2,2,116.5599,1486171841028,117.2935,1486171841762,116.0266,1486171840499
3,17,3,0.3,0,2,6,119.6267,1486171844095,120.527,1486171844996,119.0601,1486171843531
