%Recollect Version 2.3; iPad: ; User: RLB120;
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,4,14,0,1,4,9,algoNotBayesian
32,4,14,0,0.8,5,9,algoNotBayesian
32,4,14,0,0.75,6,9,algoNotBayesian
32,4,14,0,0,7,9,algoNotBayesian
32,4,14,0,0,6,9,algoNotBayesian
32,4,14,0,0.8,5,9,algoNotBayesian
32,4,14,0,0.8,6,9,algoNotBayesian
32,4,14,0,0,7,9,algoNotBayesian
32,4,14,0,0,6,9,algoNotBayesian
32,4,14,0,0.75,5,9,algoNotBayesian
32,4,14,0,0.8,6,9,algoNotBayesian
32,4,14,0,0,7,9,algoNotBayesian
32,4,14,0,0,6,9,algoNotBayesian
32,4,14,0,1,5,9,algoNotBayesian
32,4,14,0,0.7,6,9,algoNotBayesian
32,4,14,0,0.25,7,9,algoNotBayesian
32,4,14,0,0.25,6,9,algoNotBayesian
32,4,14,0,0.4,5,9,algoNotBayesian
32,4,14,0,0.75,4,9,algoNotBayesian
32,4,14,0,0.6363636,5,9,algoNotBayesian
32,4,14,0,0.3333333,6,9,algoNotBayesian
32,4,14,0,1,5,9,algoNotBayesian
32,4,14,0,0.25,6,9,algoNotBayesian
32,4,14,0,1,5,9,algoNotBayesian
32,4,14,0,1,6,9,algoNotBayesian
32,4,14,0,0.4285714,7,9,algoNotBayesian
32,4,14,0,0.4285714,6,9,algoNotBayesian
32,4,15,0,0,5,9,algoNotBayesian
32,4,15,0,0.8333333,4,9,algoNotBayesian
32,4,15,0,0.8333333,5,9,algoNotBayesian
32,4,15,0,0.5384616,6,9,algoNotBayesian
32,4,15,0,0.3333333,7,9,algoNotBayesian
32,4,15,0,0.6,6,9,algoNotBayesian
32,4,15,0,0.2857143,7,9,algoNotBayesian
32,4,15,0,0.1666667,6,9,algoNotBayesian
32,4,15,0,0.3333333,5,9,algoNotBayesian
32,4,15,0,0.5714286,4,9,algoNotBayesian
32,4,15,0,0.6666667,5,9,algoNotBayesian
32,4,15,0,0.2,6,9,algoNotBayesian
32,4,15,0,0.3333333,5,9,algoNotBayesian
32,4,15,0,0,4,9,algoNotBayesian
32,4,15,0,1,3,9,algoNotBayesian
32,4,15,0,0.5714286,4,9,algoNotBayesian
32,4,15,0,0.25,5,9,algoNotBayesian
32,4,15,0,0.75,4,9,algoNotBayesian
32,4,15,0,0.6666667,5,9,algoNotBayesian
32,4,15,0,0.4,6,9,algoNotBayesian
32,4,15,0,0.4,5,9,algoNotBayesian
