%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,1,3,0,15.55432,1487350883726,-1,-1,15.02087,1487350883193
3,2,2,0.3,1,3,3,18.58777,1487350886759,-1,-1,18.05444,1487350886228
3,3,2,0.3,1,1,0,21.65466,1487350889826,22.72192,1487350890893,21.0885,1487350889262
3,4,2,0.3,1,0,1,24.68823,1487350892860,-1,-1,24.18799,1487350892362
3,5,2,0.3,1,0,2,27.755,1487350895926,-1,-1,27.22168,1487350895398
3,6,2,0.3,1,1,1,30.82178,1487350898993,31.68872,1487350899860,30.25513,1487350898430
3,7,2,0.3,1,1,2,33.85547,1487350902027,34.98889,1487350903160,33.32275,1487350901496
3,8,2,0.3,1,0,0,36.92212,1487350905094,-1,-1,36.38892,1487350904563
3,9,2,0.3,1,2,0,39.95569,1487350908127,-1,-1,39.42249,1487350907597
3,10,2,0.3,1,0,3,43.02246,1487350911194,-1,-1,42.45581,1487350910631
3,11,2,0.3,1,0,2,46.05603,1487350914227,-1,-1,45.52271,1487350913697
3,12,2,0.3,1,2,2,49.08972,1487350917261,-1,-1,48.55615,1487350916730
3,13,2,0.3,1,0,0,52.1897,1487350920361,-1,-1,51.62341,1487350919797
3,14,2,0.3,1,1,2,55.22314,1487350923395,56.19006,1487350924362,54.68994,1487350922864
3,15,2,0.3,1,2,2,58.29004,1487350926461,-1,-1,57.72339,1487350925899
3,16,2,0.3,1,2,0,61.35754,1487350929529,-1,-1,60.79028,1487350928965
3,17,2,0.3,1,0,3,64.42371,1487350932595,-1,-1,63.89038,1487350932064
3,18,2,0.3,1,1,0,67.4906,1487350935662,68.65735,1487350936829,66.92383,1487350935098
3,19,2,0.3,1,2,0,70.52405,1487350938695,-1,-1,69.99072,1487350938166
3,20,2,0.3,1,1,0,73.59094,1487350941762,74.52441,1487350942696,73.02417,1487350941198
3,21,2,0.3,1,2,3,76.62439,1487350944796,-1,-1,76.09106,1487350944267
3,22,2,0.3,1,0,1,79.65796,1487350947829,-1,-1,79.12463,1487350947299
3,1,3,0.3,1,3,1,98.02563,1487350966197,-1,-1,97.49219,1487350965664
3,2,3,0.3,1,3,3,101.0924,1487350969264,-1,-1,100.5258,1487350968702
3,3,3,0.3,1,3,0,104.126,1487350972297,-1,-1,103.5925,1487350971767
3,4,3,0.3,1,2,3,107.16,1487350975331,-1,-1,106.6261,1487350974802
3,5,3,0.3,1,1,3,110.2267,1487350978398,111.36,1487350979532,109.6929,1487350977867
3,6,3,0.3,1,2,3,113.2931,1487350981464,-1,-1,112.7598,1487350980934
3,7,3,0.3,1,0,2,116.3267,1487350984498,-1,-1,115.7932,1487350983967
3,8,3,0.3,1,2,1,119.3934,1487350987565,-1,-1,118.8268,1487350987001
3,9,3,0.3,1,1,3,122.427,1487350990598,123.4604,1487350991632,121.8936,1487350990069
3,10,3,0.3,1,2,1,125.4938,1487350993665,-1,-1,124.9271,1487350993101
3,11,3,0.3,1,1,1,128.5273,1487350996699,129.3606,1487350997532,127.994,1487350996169
3,12,3,0.3,1,0,0,131.5941,1487350999765,-1,-1,131.0275,1487350999203
3,13,3,0.3,1,2,3,134.6279,1487351002799,-1,-1,134.0942,1487351002268
3,14,3,0.3,1,2,0,137.7279,1487351005899,-1,-1,137.1617,1487351005336
3,15,3,0.3,1,0,2,140.7947,1487351008966,-1,-1,140.2614,1487351008436
3,16,3,0.3,1,0,1,143.8281,1487351012000,-1,-1,143.2948,1487351011469
3,17,3,0.3,1,1,0,146.8617,1487351015033,147.9954,1487351016167,146.3284,1487351014503
3,18,3,0.3,1,0,3,149.9285,1487351018100,-1,-1,149.3625,1487351017537
3,19,3,0.3,1,1,1,152.9954,1487351021167,153.7622,1487351021934,152.4287,1487351020603
3,20,3,0.3,1,0,2,156.0629,1487351024234,-1,-1,155.5288,1487351023704
3,21,3,0.3,1,1,3,159.1624,1487351027334,160.3627,1487351028534,158.5957,1487351026770
3,22,3,0.3,1,0,0,162.1627,1487351030334,-1,-1,161.6625,1487351029837
3,23,3,0.3,1,0,0,165.196,1487351033367,-1,-1,164.6635,1487351032837
3,1,4,0.3,1,3,3,183.5642,1487351051736,-1,-1,183.0305,1487351051202
3,2,4,0.3,1,3,2,186.6306,1487351054802,-1,-1,186.0973,1487351054272
3,3,4,0.3,1,3,1,189.698,1487351057869,-1,-1,189.1313,1487351057306
3,4,4,0.3,1,3,0,192.7981,1487351060969,-1,-1,192.2316,1487351060405
3,5,4,0.3,1,0,0,195.8645,1487351064036,-1,-1,195.3309,1487351063505
3,6,4,0.3,1,2,1,198.9315,1487351067103,-1,-1,198.3646,1487351066538
3,7,4,0.3,1,0,3,202.0315,1487351070203,-1,-1,201.4647,1487351069640
3,8,4,0.3,1,0,3,205.0649,1487351073236,-1,-1,204.5316,1487351072705
3,9,4,0.3,1,1,0,208.0989,1487351076270,209.0327,1487351077204,207.5651,1487351075739
3,10,4,0.3,1,1,1,211.1653,1487351079337,211.8655,1487351080037,210.6321,1487351078806
3,11,4,0.3,1,1,3,214.199,1487351082370,214.9991,1487351083171,213.6654,1487351081839
3,12,4,0.3,1,0,1,217.299,1487351085470,-1,-1,216.7323,1487351084908
3,13,4,0.3,1,0,2,220.3658,1487351088537,-1,-1,219.7991,1487351087975
3,14,4,0.3,1,0,2,223.3994,1487351091571,-1,-1,222.8665,1487351091040
3,15,4,0.3,1,2,1,226.4662,1487351094638,-1,-1,225.9329,1487351094107
3,16,4,0.3,1,2,2,229.533,1487351097704,-1,-1,228.9664,1487351097140
3,17,4,0.3,1,2,1,232.5665,1487351100738,-1,-1,232.0334,1487351100207
