%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486142837404
2,1,1,1,0,1486142840037
2,2,1,2,0,1486142847570
2,2,2,2,0,1486142856671
2,0,2,2,0,1486142862337
2,0,2,2,1,1486142862804
2,1,4,4,0,1486142864905
2,1,4,4,1,1486142865304
2,2,1,6,0,1486142869439
2,2,1,6,1,1486142869938
2,3,7,7,0,1486142878139
2,3,7,7,1,1486142878672
2,4,4,4,0,1486142881239
2,4,4,4,1,1486142881738
2,5,1,6,0,1486142891539
2,5,6,6,0,1486142895506
2,5,6,6,1,1486142896240
2,6,7,1,0,1486142912041
2,6,1,1,0,1486142912908
2,6,1,1,1,1486142913307
2,7,7,7,0,1486142926675
2,7,7,7,1,1486142927074
2,8,4,4,0,1486142931175
2,8,4,4,1,1486142931674
2,9,3,3,0,1486142933475
2,9,3,3,1,1486142933875
2,10,7,7,0,1486142943075
2,10,7,7,1,1486142946442
2,11,1,1,0,1486142960443
2,11,1,1,1,1486142960909
2,12,2,6,0,1486142978211
2,12,6,6,0,1486142984111
2,12,6,6,1,1486142984644
2,13,4,4,0,1486142989945
2,13,4,4,1,1486142993011
2,14,4,4,0,1486143009013
2,14,4,4,1,1486143009446
2,15,5,5,0,1486143038281
2,15,5,5,1,1486143041681
2,16,4,6,0,1486143088750
2,16,4,6,1,1486143089251
2,17,3,3,0,1486143100517
2,17,3,3,1,1486143101251
2,18,6,2,0,1486143106951
2,18,2,2,0,1486143108285
2,18,2,2,1,1486143109618
2,19,5,5,0,1486143118152
2,19,5,5,1,1486143118652
2,20,3,0,0,1486143121085
2,20,2,0,0,1486143121819
2,20,6,0,0,1486143122186
2,20,7,0,0,1486143122519
2,20,2,0,0,1486143122887
2,20,7,0,0,1486143123386
2,20,3,0,0,1486143123753
2,20,6,0,0,1486143124919
2,20,0,0,0,1486143130653
2,20,2,0,0,1486143136653
2,20,0,0,0,1486143137953
2,20,0,0,1,1486143140486
2,21,5,5,0,1486143153421
2,21,5,5,1,1486143158121
2,22,1,5,0,1486143178622
2,22,5,5,0,1486143181055
2,22,5,5,1,1486143182055
2,23,2,1,0,1486143189489
2,23,3,1,0,1486143210825
2,23,1,1,0,1486143211824
2,23,0,1,0,1486143212491
2,23,0,1,1,1486143237059
2,24,1,0,0,1486143239292
2,24,6,0,0,1486143240559
2,24,3,0,0,1486143241593
2,24,4,0,0,1486143243260
2,24,0,0,0,1486143245393
2,24,0,0,1,1486143246226
2,25,5,5,0,1486143259960
2,25,5,5,1,1486143262027
2,26,7,3,0,1486143281795
2,26,2,3,0,1486143287996
