%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487790510806,1487790513807,1487790520228
1,G4,G,4,1487790521723,1487790524725,1487790528696
2,3W5,W,35,1487790530224,1487790534725,1487790539307
3,T7L,LT,7,1487790540841,1487790545342,1487790550293
4,1JA,AJ,1,1487790551825,1487790556326,1487790560568
0,F4,F,4,1487790565559,1487790568560,1487790573490
1,1J,J,1,1487790575009,1487790578011,1487790583464
2,A7,A,7,1487790584993,1487790587995,1487790592183
3,L1H,HL,1,1487790593710,1487790598212,1487790603861
4,T2S,ST,2,1487790605395,1487790609896,1487790615095
5,K43,K,34,1487790616629,1487790621130,1487790625129
6,R5B2,BR,25,1487790626662,1487790632665,1487790637296
7,N3L9,LN,39,1487790638830,1487790644831,1487790649948
8,5V8P,PV,58,1487790651481,1487790657482,1487790662181
9,4M7S1,MS,147,1487790663714,1487790671216,1487790676103
10,L3E1D,DEL,13,1487790677632,1487790685134,1487790691272
11,9M6K2,KM,269,1487790692799,1487790700301,1487790704832
12,D1B5R9,BDR,159,1487790706350,1487790715352,1487790720502
13,G9T2A5,ART,259,1487790722034,1487790731036,1487790741057
14,3W5A1G,AGW,135,1487790742586,1487790751587,1487790757940
15,B6H7A5K,ABHK,567,1487790759470,1487790769972,1487790777159
16,8H4R1C2,ACHR,128,1487790778688,1487790789189,1487790797734
17,C7B5N9Y,CBNY,57,1487790799255,1487790809757,1487790817145
18,3Q8D4R6F,DFRQ,348,1487790818673,1487790830676,1487790849462
19,P2H8F4Y6,HPQY,2468,1487790850992,1487790862994,1487790880793
20,7D9T3E4S,DEST,3479,1487790882327,1487790894329,1487790905038
