%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1486151575774,1486151576940
1,1,1,1,1,1486151577941,1486151578640
1,2,1,0,0,1486151579641,1486151580140
1,3,1,1,1,1486151581107,1486151581574
2,0,1,0,0,1486151592674,1486151593207
2,1,1,0,0,1486151594208,1486151594774
2,2,1,1,1,1486151595774,1486151596208
2,3,1,1,1,1486151597208,1486151597741
2,4,1,0,0,1486151598742,1486151599208
2,5,1,1,1,1486151600209,1486151600675
2,6,1,0,0,1486151601675,1486151602208
2,7,1,1,1,1486151603208,1486151603675
2,8,1,1,1,1486151604675,1486151605142
2,9,1,0,0,1486151606142,1486151606708
2,10,1,0,0,1486151607709,1486151608275
2,11,1,1,1,1486151609275,1486151609775
3,0,0,0,0,1486151613675,1486151614776
3,1,0,0,0,1486151615776,1486151616308
3,2,0,1,1,1486151617276,1486151617943
3,3,0,1,0,1486151618943,1486151619742
3,0,0,0,1,1486151624143,1486151624909
3,1,0,1,0,1486151625910,1486151626442
3,2,0,1,0,1486151627410,1486151628109
3,3,0,0,1,1486151629110,1486151629709
4,0,0,1,0,1486151632960,1486151633593
4,1,0,0,1,1486151634593,1486151635060
4,2,0,1,0,1486151636060,1486151636527
4,3,0,0,1,1486151637493,1486151637927
4,4,0,1,0,1486151638927,1486151639427
4,5,0,0,1,1486151640427,1486151640860
4,6,0,0,1,1486151641861,1486151642360
4,7,0,1,0,1486151643361,1486151643760
4,8,0,1,0,1486151644761,1486151645328
4,9,0,0,1,1486151646327,1486151646794
4,10,0,0,1,1486151647761,1486151648360
4,11,0,1,0,1486151649361,1486151649861
5,0,1,1,1,1486151655444,1486151655978
5,1,0,0,1,1486151656978,1486151658011
5,2,0,1,0,1486151659011,1486151659878
5,3,1,0,1,1486151660879,1486151661544
6,0,1,1,1,1486151663578,1486151664645
6,1,1,1,1,1486151665612,1486151666378
6,2,1,1,1,1486151667378,1486151667879
6,3,0,0,1,1486151668879,1486151669379
6,4,0,1,0,1486151670379,1486151671312
6,5,0,0,1,1486151672313,1486151673112
6,6,1,1,1,1486151674112,1486151674545
6,7,1,1,1,1486151675546,1486151676145
6,8,0,1,0,1486151677112,1486151677679
6,9,1,0,0,1486151678679,1486151679545
6,10,1,0,0,1486151680513,1486151681112
6,11,0,0,1,1486151682113,1486151682879
6,12,0,1,0,1486151683879,1486151684479
6,13,0,1,0,1486151685479,1486151686047
6,14,1,0,0,1486151687046,1486151687746
6,15,1,1,1,1486151688746,1486151689413
6,16,0,0,1,1486151690413,1486151691213
6,17,0,1,0,1486151692213,1486151692980
6,18,0,1,0,1486151693980,1486151694713
6,19,1,1,1,1486151695713,1486151696380
6,20,1,0,0,1486151697380,1486151698181
6,21,1,0,0,1486151699147,1486151699847
6,22,0,0,1,1486151700847,1486151701414
6,23,0,1,0,1486151702381,1486151703313
6,24,1,1,1,1486151704314,1486151705080
6,25,1,0,0,1486151706047,1486151706681
6,26,1,0,0,1486151707681,1486151708247
6,27,0,0,1,1486151709247,1486151710081
6,28,1,1,1,1486151711081,1486151711581
6,29,1,0,0,1486151712581,1486151713115
6,30,0,0,1,1486151714114,1486151714915
6,31,1,1,1,1486151715916,1486151716581
6,32,1,1,1,1486151717582,1486151718481
6,33,1,0,0,1486151719448,1486151720081
6,34,0,0,1,1486151721082,1486151721581
6,35,0,1,0,1486151722582,1486151723182
6,36,0,0,1,1486151724182,1486151724748
6,37,1,0,0,1486151725748,1486151726181
6,38,0,1,0,1486151727182,1486151727915
6,39,0,1,0,1486151728915,1486151729649
6,40,0,1,0,1486151730649,1486151731282
6,41,1,0,0,1486151732282,1486151733215
6,42,0,1,0,1486151734183,1486151734949
6,43,0,0,1,1486151735949,1486151736982
6,44,0,0,1,1486151737983,1486151738782
6,45,1,0,0,1486151739783,1486151740549
6,46,1,1,1,1486151741516,1486151742050
6,47,0,0,1,1486151743050,1486151743816
