%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487789321026,1487789324027,1487789335735
1,G4,G,4,1487789337260,1487789340262,1487789346567
2,3W5,W,35,1487789348094,1487789352596,1487789357567
3,T7L,LT,7,1487789359095,1487789363596,1487789375273
4,1JA,AJ,1,1487789376796,1487789381298,1487789386353
0,L2,L,2,1487789390980,1487789393948,1487789399514
1,6P,P,6,1487789401014,1487789404015,1487789408264
2,B5,B,5,1487789409797,1487789412799,1487789417981
3,F7L,FL,7,1487789419515,1487789424016,1487789431580
4,R4D,DR,4,1487789433099,1487789437600,1487789445270
5,H18,H,18,1487789446800,1487789451301,1487789455688
6,T9A3,AT,39,1487789457217,1487789463219,1487789479806
7,V1J5,JV,15,1487789481335,1487789487336,1487789498360
8,7N4L,LN,47,1487789499886,1487789505888,1487789515204
9,8D6G1,DH,18,1487789516737,1487789524239,1487789565929
10,K2C7S,CK,27,1487789567456,1487789574959,1487789586553
11,5P3Y9,CY,359,1487789588074,1487789595576,1487789614105
