%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,3,1486176922178,-1,1486176921678
6,0,2,1,1,0,5,1486176925244,-1,1486176924715
6,0,3,1,1,0,2,1486176928245,-1,1486176927747
6,0,4,1,1,0,6,1486176931278,-1,1486176930780
6,0,5,1,1,0,1,1486176934311,-1,1486176933783
6,0,6,1,1,0,7,1486176937378,-1,1486176936848
6,0,7,1,1,1,7,1486176940411,1486176941046,1486176939881
6,0,8,1,1,1,7,1486176943478,1486176944279,1486176942948
6,0,9,1,1,0,3,1486176946545,-1,1486176946015
6,0,10,1,1,0,4,1486176949579,-1,1486176949048
6,0,11,1,1,1,4,1486176952612,1486176953346,1486176952082
6,1,1,1,1,3,2,1486176960179,-1,1486176959647
6,1,2,1,1,1,2,1486176963246,1486176963914,1486176962715
6,1,3,1,1,0,3,1486176966280,-1,1486176965750
6,1,4,1,1,0,7,1486176969347,-1,1486176968816
6,1,5,1,1,0,6,1486176972380,-1,1486176971883
6,1,6,1,1,0,0,1486176975447,-1,1486176974916
6,1,7,1,1,0,1,1486176978514,-1,1486176977984
6,1,8,1,1,1,1,1486176981580,1486176982314,1486176981050
6,1,9,1,1,0,2,1486176984614,-1,1486176984084
6,1,10,1,1,0,7,1486176987615,-1,1486176987117
6,1,11,1,1,0,1,1486176990681,-1,1486176990150
6,1,12,1,1,0,6,1486176993714,-1,1486176993184
6,1,13,1,1,1,6,1486176996781,1486176997348,1486176996251
6,1,14,1,1,1,6,1486176999815,1486177000449,1486176999284
6,1,15,1,1,0,2,1486177002882,-1,1486177002351
6,1,16,1,1,1,2,1486177005948,1486177006549,1486177005418
6,1,17,1,1,0,7,1486177008982,-1,1486177008452
6,1,18,1,1,1,7,1486177012016,1486177012583,1486177011485
6,1,19,1,1,0,2,1486177015016,-1,1486177014518
6,1,20,1,1,0,4,1486177018082,-1,1486177017552
6,1,21,1,1,0,6,1486177021116,-1,1486177020585
6,2,1,2,1,3,2,1486177032583,-1,1486177032051
6,2,2,2,1,3,0,1486177035617,-1,1486177035086
6,2,3,2,1,0,1,1486177038650,-1,1486177038120
6,2,4,2,1,0,7,1486177041684,-1,1486177041154
6,2,5,2,1,0,6,1486177044717,-1,1486177044187
6,2,6,2,1,0,4,1486177047751,-1,1486177047220
6,2,7,2,1,1,6,1486177050785,1486177051519,1486177050287
6,2,8,2,1,1,4,1486177053852,1486177054618,1486177053321
6,2,9,2,1,0,5,1486177056885,-1,1486177056355
6,2,10,2,1,0,0,1486177059918,-1,1486177059422
6,2,11,2,1,0,6,1486177062952,-1,1486177062421
6,2,12,2,1,1,0,1486177065985,1486177066586,1486177065454
6,3,1,2,1,3,1,1486177071819,-1,1486177071286
6,3,2,2,1,3,3,1486177074886,-1,1486177074355
6,3,3,2,1,0,2,1486177077919,-1,1486177077389
6,3,4,2,1,0,5,1486177080953,-1,1486177080422
6,3,5,2,1,1,2,1486177083986,1486177084853,1486177083457
6,3,6,2,1,0,7,1486177087020,-1,1486177086490
6,3,7,2,1,1,2,1486177090053,1486177090887,1486177089522
6,3,8,2,1,0,6,1486177093087,-1,1486177092590
6,3,9,2,1,0,0,1486177096121,-1,1486177095623
6,3,10,2,1,0,4,1486177099155,-1,1486177098657
6,3,11,2,1,0,5,1486177102221,-1,1486177101690
6,3,12,2,1,0,2,1486177105254,-1,1486177104758
6,3,13,2,1,0,7,1486177108321,-1,1486177107791
6,3,14,2,1,1,2,1486177111388,1486177111989,1486177110858
6,3,15,2,1,0,6,1486177114421,-1,1486177113891
6,3,16,2,1,1,2,1486177117488,1486177118155,1486177116959
