%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,4,1486145706063,-1,1486145705530
6,0,2,1,1,0,0,1486145709096,-1,1486145708568
6,0,3,1,1,0,6,1486145712130,-1,1486145711600
6,0,4,1,0,0,4,1486145715163,1486145716164,1486145714633
6,0,5,1,1,1,4,1486145718197,1486145719065,1486145717666
6,0,6,1,1,1,4,1486145721264,1486145721965,1486145720733
6,0,7,1,1,1,4,1486145724297,1486145725031,1486145723767
6,0,8,1,1,0,0,1486145727364,-1,1486145726834
6,0,9,1,1,0,1,1486145730398,-1,1486145729868
6,0,10,1,1,0,5,1486145733431,-1,1486145732901
6,0,11,1,1,0,4,1486145736465,-1,1486145735935
6,1,1,1,1,3,0,1486145742782,-1,1486145742250
6,1,2,1,1,1,0,1486145745815,1486145746349,1486145745318
6,1,3,1,1,1,0,1486145748882,1486145749549,1486145748351
6,1,4,1,1,0,2,1486145751916,-1,1486145751418
6,1,5,1,1,0,5,1486145754982,-1,1486145754452
6,1,6,1,1,0,7,1486145758016,-1,1486145757485
6,1,7,1,1,0,2,1486145761083,-1,1486145760552
6,1,8,1,1,0,4,1486145764149,-1,1486145763619
6,1,9,1,1,0,6,1486145767183,-1,1486145766653
6,1,10,1,1,0,7,1486145770250,-1,1486145769720
6,1,11,1,1,1,7,1486145773251,1486145773817,1486145772752
6,1,12,1,1,0,6,1486145776317,-1,1486145775786
6,1,13,1,1,0,2,1486145779350,-1,1486145778853
6,1,14,1,1,0,3,1486145782424,-1,1486145781891
6,1,15,1,1,1,3,1486145785491,1486145786324,1486145784961
6,1,16,1,1,0,1,1486145788557,-1,1486145788027
6,1,17,1,1,0,0,1486145791591,-1,1486145791060
6,1,18,1,1,0,2,1486145794658,-1,1486145794127
6,1,19,1,1,1,2,1486145797659,1486145798358,1486145797161
6,1,20,1,1,1,2,1486145800725,1486145801325,1486145800194
6,1,21,1,1,0,6,1486145803758,-1,1486145803229
6,2,1,2,1,3,3,1486145822193,-1,1486145821660
6,2,2,2,1,3,5,1486145825226,-1,1486145824695
6,2,3,2,1,0,7,1486145828293,-1,1486145827762
6,2,4,2,1,0,0,1486145831327,-1,1486145830796
6,2,5,2,1,0,4,1486145834360,-1,1486145833829
6,2,6,2,1,0,3,1486145837394,-1,1486145836863
6,2,7,2,1,1,4,1486145840460,1486145840994,1486145839930
6,2,8,2,1,1,3,1486145843527,1486145845128,1486145842997
6,2,9,2,1,0,0,1486145846594,-1,1486145846064
6,2,10,2,1,1,3,1486145849595,1486145850461,1486145849097
6,2,11,2,1,0,2,1486145852661,-1,1486145852131
6,2,12,2,1,0,6,1486145855728,-1,1486145855198
6,3,1,2,1,3,4,1486145860495,-1,1486145859962
6,3,2,2,1,3,3,1486145863528,-1,1486145862998
6,3,3,2,1,0,0,1486145866595,-1,1486145866064
6,3,4,2,1,0,2,1486145869629,-1,1486145869098
6,3,5,2,1,1,0,1486145872662,1486145873596,1486145872132
6,3,6,2,1,1,2,1486145875662,1486145876430,1486145875165
6,3,7,2,1,0,5,1486145878730,-1,1486145878199
6,3,8,2,1,0,6,1486145881763,-1,1486145881232
6,3,9,2,1,0,4,1486145884796,-1,1486145884266
6,3,10,2,1,0,2,1486145887830,-1,1486145887300
6,3,11,2,1,1,4,1486145890897,1486145891597,1486145890366
6,3,12,2,1,0,3,1486145893963,-1,1486145893433
6,3,13,2,1,1,4,1486145896997,1486145897664,1486145896466
6,3,14,2,1,0,2,1486145900030,-1,1486145899500
6,3,15,2,1,0,0,1486145903097,-1,1486145902567
6,3,16,2,1,0,5,1486145906164,-1,1486145905634
