%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,6,1486145587975,-1,1486145587442
6,0,2,1,1,0,7,1486145591042,-1,1486145590512
6,0,3,1,1,1,7,1486145594042,1486145594843,1486145593544
6,0,4,1,0,1,7,1486145597109,-1,1486145596579
6,0,5,1,1,0,4,1486145600142,-1,1486145599612
6,0,6,1,1,0,6,1486145603176,-1,1486145602646
6,0,7,1,1,0,7,1486145606209,-1,1486145605679
6,0,8,1,1,0,0,1486145609276,-1,1486145608745
6,0,9,1,1,1,0,1486145612310,1486145613110,1486145611780
6,0,10,1,1,0,4,1486145615376,-1,1486145614846
6,0,11,1,1,0,2,1486145618410,-1,1486145617879
6,1,1,1,1,3,6,1486145637011,-1,1486145636478
6,1,2,1,1,1,6,1486145640012,1486145641078,1486145639516
6,1,3,1,1,0,2,1486145643078,-1,1486145642547
6,1,4,1,1,1,2,1486145646112,1486145646879,1486145645581
6,1,5,1,1,0,1,1486145649112,-1,1486145648614
6,1,6,1,1,1,1,1486145652179,1486145652879,1486145651648
6,1,7,1,0,1,1,1486145655246,-1,1486145654715
6,1,8,1,1,1,1,1486145658312,1486145659246,1486145657782
6,1,9,1,1,0,0,1486145661346,-1,1486145660815
6,1,10,1,1,0,5,1486145664346,-1,1486145663849
6,1,11,1,1,0,3,1486145667379,-1,1486145666849
6,1,12,1,1,0,6,1486145670413,-1,1486145669882
6,1,13,1,1,0,7,1486145673480,-1,1486145672949
6,1,14,1,1,0,3,1486145676513,-1,1486145675983
6,1,15,1,1,0,2,1486145679580,-1,1486145679049
6,1,16,1,1,0,5,1486145682615,-1,1486145682084
6,1,17,1,1,0,0,1486145685680,-1,1486145685150
6,1,18,1,1,0,3,1486145688714,-1,1486145688184
6,1,19,1,1,1,3,1486145691781,1486145692382,1486145691250
6,1,20,1,1,0,1,1486145694814,-1,1486145694284
6,1,21,1,1,0,5,1486145697848,-1,1486145697318
6,2,1,2,1,3,6,1486145729850,-1,1486145729316
6,2,2,2,1,3,1,1486145732883,-1,1486145732386
6,2,3,2,1,0,3,1486145735950,-1,1486145735420
6,2,4,2,0,0,6,1486145738983,1486145739617,1486145738452
6,2,5,2,0,1,3,1486145742017,-1,1486145741486
6,2,6,2,1,0,2,1486145745085,-1,1486145744553
6,2,7,2,1,0,5,1486145748084,-1,1486145747586
6,2,8,2,1,1,2,1486145751151,1486145752018,1486145750620
6,2,9,2,1,0,6,1486145754185,-1,1486145753653
6,2,10,2,1,0,7,1486145757218,-1,1486145756720
6,2,11,2,1,1,6,1486145760251,1486145761051,1486145759753
6,2,12,2,1,0,0,1486145763285,-1,1486145762787
6,3,1,2,1,3,0,1486145781887,-1,1486145781353
6,3,2,2,1,3,1,1486145784953,-1,1486145784423
6,3,3,2,1,1,0,1486145788020,1486145788620,1486145787489
6,3,4,2,1,0,3,1486145791086,-1,1486145790556
6,3,5,2,1,0,5,1486145794120,-1,1486145793589
6,3,6,2,1,0,1,1486145797153,-1,1486145796623
6,3,7,2,1,0,0,1486145800187,-1,1486145799656
6,3,8,2,1,1,1,1486145803220,1486145804187,1486145802747
6,3,9,2,0,1,0,1486145806287,-1,1486145805756
6,3,10,2,1,1,1,1486145809321,1486145810655,1486145808791
6,3,11,2,1,0,4,1486145812388,-1,1486145811857
6,3,12,2,1,0,3,1486145815421,-1,1486145814924
6,3,13,2,1,0,2,1486145818489,-1,1486145817957
6,3,14,2,1,0,7,1486145821521,-1,1486145820991
6,3,15,2,1,1,2,1486145824588,1486145825655,1486145824058
6,3,16,2,1,0,1,1486145827622,-1,1486145827124
6,3,17,2,1,0,6,1486145830689,-1,1486145830158
6,3,18,2,0,0,4,1486145833722,1486145834722,1486145833191
6,3,19,2,1,0,0,1486145836789,-1,1486145836259
6,3,20,2,1,1,4,1486145839823,1486145841156,1486145839325
6,3,21,2,1,0,6,1486145842889,-1,1486145842359
6,3,22,2,1,0,5,1486145845923,-1,1486145845392
6,4,1,3,1,3,6,1486145877726,-1,1486145877225
