%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,5D,5D,,,0,1487790929918,,1487790932248,1487790934514
3,1,2,3D,3D,,,0,1487790936485,,1487790938848,1487790940514
3,2,3,BD5,BD5,,,0,1487790942485,,1487790946048,1487790948281
3,3,3,B9D,B9D,,,0,1487790950286,,1487790953848,1487790955448
10,0,0,,,0,0,0,1487791012048,1487791012046,1487790953848,1487791013412
10,1,0,,,1,1,0,1487791015380,1487791015380,1487790953848,1487791017613
10,2,0,,,1,1,0,1487791019580,1487791019580,1487790953848,1487791021346
10,3,0,,,0,0,0,1487791023347,1487791023347,1487790953848,1487791024446
10,4,0,,,1,1,0,1487791026447,1487791026447,1487790953848,1487791027613
10,5,0,,,1,1,0,1487791029581,1487791029581,1487790953848,1487791032213
10,6,0,,,0,0,0,1487791034181,1487791034181,1487790953848,1487791035913
10,7,0,,,1,1,0,1487791037882,1487791037882,1487790953848,1487791039314
10,8,0,,,1,1,0,1487791041314,1487791041314,1487790953848,1487791043114
10,9,0,,,0,0,0,1487791045114,1487791045114,1487790953848,1487791046648
10,10,0,,,0,0,0,1487791048615,1487791048615,1487790953848,1487791049814
10,11,0,,,0,0,0,1487791051815,1487791051815,1487790953848,1487791053048
10,12,0,,,1,1,0,1487791055015,1487791055015,1487790953848,1487791056481
10,13,0,,,0,0,0,1487791058482,1487791058482,1487790953848,1487791059948
10,14,0,,,1,1,0,1487791061949,1487791061949,1487790953848,1487791063281
10,15,0,,,1,1,0,1487791065283,1487791065283,1487790953848,1487791067282
13,0,2,F4,F4,01,01,0,1487791109155,1487791114723,1487791116657,1487791120518
13,1,2,25,25,01,01,0,1487791122523,1487791127190,1487791128724,1487791131586
13,2,2,FA,FA,00,00,0,1487791133556,1487791137824,1487791139057,1487791141186
14,0,3,4A3,4A3,001,001,0,1487791147824,1487791154892,1487791156092,1487791158454
14,1,2,A5,A5,01,01,0,1487791160458,1487791165894,1487791167526,1487791170488
14,2,3,DB8,EB8,110,110,0,1487791172492,1487791180126,1487791181293,1487791183388
14,3,5,6AEBD,6AEBD,01101,01101,0,1487791185393,1487791199194,1487791200362,1487791203039
14,4,2,B4,B4,11,11,0,1487791205045,1487791209745,1487791211212,1487791214173
14,5,5,6309B,634BA,10000,1000Z,1,1487791216178,1487791229579,1487791232213,1487791241308
14,6,4,C60F,C60FZ,0011,0011,0,1487791243280,1487791254380,1487791255548,1487791259276
14,7,4,98DF,98DF,1101,1101,0,1487791261280,1487791271282,1487791273181,1487791275844
14,8,5,C14FA,C14FA,10100,10100,0,1487791277849,1487791292150,1487791293149,1487791296378
14,9,3,A86,A86,100,100,0,1487791298350,1487791305816,1487791306984,1487791309946
14,10,4,930B,930B,0101,0101,0,1487791311918,1487791322918,1487791324685,1487791327213
14,11,2,C0,C0,10,10,0,1487791329184,1487791333685,1487791334786,1487791337180
