%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,47,3,19,2,24,bcegkcfifbamhfahbcabchigafbkbckacheafchaocbppkkd,100000000000000000001000000000000000000001000011
1,25,3,9,10,4,cacnblaonhdibcfnaabebcnpiigakbfppcebfchfacclbbii,111101011001000100000011110000000000000000000000
2,47,0,22,13,13,cbgifbaeecimamhcadhlbbaccchpigbpblgnahaaocfebbjp,000100000011010000010000000110010101000010000011
3,44,0,20,12,13,ebbpcdchllaalbabacccdhjljikaabocflghlgfbicmckdab,000100001100100000000010010000100100100010101000
4,45,0,20,12,14,dcmdabaeofdhjbcjoagcbcoafemobcnbcbdahkeahiabhoac,001000001000100110000010001100100000010001000100
5,33,0,17,11,6,gmalckapbjbcfcnaobmbacaobcbjhfgdpadnmgkiccnbmnaa,010101010100001010100001000100001000000000000000
6,45,0,20,8,18,facbemecfaebbaihiabccfialbfcbmdachghbghedeomakac,000001000000000010000010100001000000000000110100
7,40,0,19,14,8,obbeceafhcaojcllmnchnaabbbecbcmiaaeljocnidhcadbl,100000000001100111001000000000110001110110000000
8,43,0,21,12,11,fckhcmgnbabjfachbanjoiddfmcaibdbcaclbaalcciiedbh,001001010001000000111100010010000001000000010000
9,32,0,15,9,9,didmlbapgaclbmcbeoghbclkcakaccoapgoolbbaechfdbba,000000010001010001000011001000101000000000000000
10,44,0,20,15,10,ilmakcapbfjghbccdbmjalbfafocfadkcembbackncfalgca,111010010010000000110100001000010010000110001000
11,47,0,22,16,10,fnabdbhaphlfckpecjbccnaafbpcnobbaaofciaogkafcbpi,010000001010011001000100001011000010010101000011
