%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,1,3,3,15.55457,1486422018099,-1,-1,15.021,1486422017566
3,2,2,0.3,1,3,1,18.65454,1486422021199,-1,-1,18.08826,1486422020636
3,3,2,0.3,1,1,3,21.68787,1486422024233,22.65466,1486422025200,21.15466,1486422023703
3,4,2,0.3,1,2,3,24.68835,1486422027233,-1,-1,24.18811,1486422026735
3,5,2,0.3,0,2,1,27.755,1486422030300,29.48853,1486422032034,27.22168,1486422029769
3,6,2,0.3,1,2,1,30.78857,1486422033334,-1,-1,30.25549,1486422032803
3,7,2,0.3,0,2,3,33.85535,1486422036400,34.75574,1486422037301,33.2887,1486422035836
3,8,2,0.3,1,0,0,36.95557,1486422039500,-1,-1,36.38892,1486422038936
3,9,2,0.3,1,0,2,40.02234,1486422042567,-1,-1,39.45605,1486422042004
3,10,2,0.3,1,1,0,43.05603,1486422045601,44.05627,1486422046602,42.52246,1486422045070
3,11,2,0.3,1,0,3,46.15625,1486422048701,-1,-1,45.58936,1486422048138
3,12,2,0.3,0,1,0,49.25635,1486422051801,-1,-1,48.68958,1486422051237
3,13,2,0.3,1,0,1,52.28979,1486422054835,-1,-1,51.75659,1486422054305
3,14,2,0.3,1,0,2,55.32324,1486422057868,-1,-1,54.78992,1486422057338
3,15,2,0.3,1,2,0,58.35693,1486422060902,-1,-1,57.82385,1486422060371
3,16,2,0.3,1,0,3,61.42358,1486422063968,-1,-1,60.89014,1486422063438
3,17,2,0.3,1,1,0,64.49036,1486422067035,65.05713,1486422067602,63.92371,1486422066472
3,18,2,0.3,1,0,1,67.55737,1486422070102,-1,-1,66.9906,1486422069538
3,19,2,0.3,1,1,0,70.62415,1486422073169,71.45752,1486422074003,70.0575,1486422072605
3,20,2,0.3,1,2,0,73.65771,1486422076202,-1,-1,73.12427,1486422075672
3,21,2,0.3,1,1,0,76.72437,1486422079269,77.22461,1486422079770,76.15784,1486422078705
3,22,2,0.3,1,0,2,79.79126,1486422082336,-1,-1,79.22461,1486422081773
3,1,2,0.3,1,3,0,85.32495,1486422087870,-1,-1,84.7583,1486422087304
3,2,2,0.3,1,3,3,88.39172,1486422090936,-1,-1,87.82507,1486422090374
3,3,2,0.3,1,0,1,91.42529,1486422093970,-1,-1,90.89209,1486422093440
3,4,2,0.3,1,1,3,94.45886,1486422097004,95.15906,1486422097704,93.92542,1486422096473
3,5,2,0.3,1,1,1,97.49231,1486422100037,98.65918,1486422101205,96.95911,1486422099506
3,6,2,0.3,1,1,3,100.5924,1486422103137,101.3593,1486422103904,100.0258,1486422102573
3,7,2,0.3,1,2,3,103.626,1486422106171,-1,-1,103.0925,1486422105640
3,8,2,0.3,1,0,2,106.6594,1486422109204,-1,-1,106.1261,1486422108674
3,9,2,0.3,1,1,3,109.693,1486422112238,110.3265,1486422112872,109.1595,1486422111708
3,10,2,0.3,1,0,1,112.76,1486422115305,-1,-1,112.1932,1486422114740
3,11,2,0.3,1,0,0,115.8267,1486422118371,-1,-1,115.2937,1486422117841
3,12,2,0.3,1,2,0,118.8934,1486422121438,-1,-1,118.3268,1486422120875
3,13,2,0.3,1,2,1,121.9279,1486422124473,-1,-1,121.3942,1486422123941
3,14,2,0.3,1,1,0,124.9944,1486422127539,125.7273,1486422128272,124.4604,1486422127008
3,15,2,0.3,1,2,0,128.0607,1486422130605,-1,-1,127.5273,1486422130075
3,16,2,0.3,1,0,3,131.1282,1486422133673,-1,-1,130.5941,1486422133141
3,17,2,0.3,1,1,0,134.1945,1486422136739,134.9945,1486422137540,133.6614,1486422136209
3,18,2,0.3,1,2,0,137.2946,1486422139839,-1,-1,136.7279,1486422139276
3,19,2,0.3,1,0,1,140.3613,1486422142906,-1,-1,139.7947,1486422142342
3,20,2,0.3,1,2,1,143.3949,1486422145940,-1,-1,142.8615,1486422145411
3,21,2,0.3,1,0,2,146.4618,1486422149007,-1,-1,145.8951,1486422148442
3,22,2,0.3,1,0,3,149.5269,1486422153440,-1,-1,148.9935,1486422152911
3,1,3,0.3,1,3,1,167.8612,1486422171775,-1,-1,167.3278,1486422171241
3,2,3,0.3,1,3,3,170.928,1486422174841,-1,-1,170.3613,1486422174278
3,3,3,0.3,1,3,2,173.9615,1486422177875,-1,-1,173.4282,1486422177345
3,4,3,0.3,1,0,0,177.0283,1486422180942,-1,-1,176.4618,1486422180378
3,5,3,0.3,1,0,1,180.0619,1486422183975,-1,-1,179.5288,1486422183445
