%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486155022385,1486155025386,1486155035260
1,G4,G,4,1486155036785,1486155039787,1486155045008
2,3W5,W,35,1486155046536,1486155051037,1486155056010
3,T7L,LT,7,1486155057537,1486155062038,1486155066247
4,1JA,AJ,1,1486155067770,1486155072272,1486155077226
0,L2,L,2,1486155083588,1486155086591,1486155090455
1,6P,P,6,1486155091989,1486155094991,1486155099356
2,B5,B,5,1486155100856,1486155103857,1486155108081
3,F7L,FL,7,1486155109606,1486155114108,1486155117707
4,R4D,DR,4,1486155119240,1486155123742,1486155129231
5,H18,H,18,1486155130757,1486155135259,1486155139731
6,T9A3,AT,39,1486155141258,1486155147260,1486155159760
7,V1J5,JV,15,1486155161292,1486155167294,1486155174048
8,7N4L,LN,47,1486155175576,1486155181578,1486155187731
9,8D6G1,DG,168,1486155189261,1486155196762,1486155217829
10,K2C7S,CKS,27,1486155219329,1486155226832,1486155245937
11,5P3Y9,PY,359,1486155247464,1486155254966,1486155264904
12,M4E7Q2,EMQ,247,1486155266432,1486155275433,1486155290666
13,W8H5F3,WH,358,1486155292200,1486155301202,1486155325423
14,6G9A2S,AGS,269,1486155326952,1486155335953,1486155354960
15,R3B4Z1C,ABCZ,123,1486155356487,1486155366989,1486155405678
16,5T9B4K3,K,3459,1486155407209,1486155417710,1486155445644
17,E1H8R4D,DH,8,1486155447177,1486155457679,1486155468891
