%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486152931935
2,1,1,1,0,1486152937835
2,2,2,2,0,1486152952069
2,0,2,2,0,1486152965770
2,0,2,2,1,1486152966337
2,1,4,4,0,1486152969570
2,1,4,4,1,1486152970970
2,2,6,6,0,1486152975404
2,2,6,6,1,1486152976470
2,3,7,7,0,1486152984404
2,3,7,7,1,1486152986171
2,4,4,4,0,1486152990605
2,4,4,4,1,1486152991271
2,5,6,6,0,1486153002239
2,5,6,6,1,1486153002972
2,6,1,1,0,1486153020107
2,6,1,1,1,1486153020739
2,7,7,7,0,1486153037441
2,7,7,7,1,1486153039840
2,8,4,4,0,1486153049742
2,8,4,4,1,1486153051141
2,9,0,3,0,1486153053842
2,9,3,3,0,1486153055275
2,9,3,3,1,1486153055942
2,10,7,7,0,1486153065409
2,10,7,7,1,1486153065975
2,11,1,1,0,1486153078676
2,11,1,1,1,1486153081310
2,12,6,6,0,1486153104244
2,12,6,6,1,1486153105444
2,13,6,4,0,1486153116478
2,13,6,4,1,1486153120145
2,14,1,4,0,1486153132546
2,14,1,4,1,1486153137047
2,15,-1,5,1,1486153245419
2,16,-1,6,1,1486153255054
2,17,-1,3,-1,1486153257686
2,16,-1,6,-1,1486153258021
2,15,-1,5,-1,1486153258953
2,14,1,4,1,1486153260022
2,15,4,5,0,1486153308690
2,15,0,5,0,1486153309856
2,15,4,5,0,1486153310123
2,15,4,5,1,1486153323923
2,16,-1,6,1,1486153328590
2,17,-1,3,-1,1486153334124
2,16,4,6,0,1486153346125
2,16,4,6,1,1486153346458
2,17,4,3,0,1486153356892
2,17,4,3,1,1486153359192
2,18,2,2,0,1486153367292
2,18,2,2,1,1486153367626
2,19,5,5,0,1486153384496
2,19,5,5,1,1486153384827
2,20,0,0,0,1486153400328
2,20,-1,0,0,1486153401294
2,20,5,0,0,1486153401561
2,20,0,0,0,1486153402995
2,20,0,0,1,1486153409828
2,21,5,5,0,1486153421148
2,21,3,5,0,1486153421314
2,21,5,5,0,1486153421413
2,21,3,5,0,1486153421514
2,21,5,5,0,1486153421647
2,21,3,5,0,1486153422013
2,21,5,5,0,1486153422180
2,21,3,5,0,1486153422246
2,21,5,5,0,1486153422413
2,21,3,5,0,1486153422480
2,21,5,5,0,1486153422647
2,21,3,5,0,1486153422713
2,21,5,5,0,1486153422880
2,21,3,5,0,1486153422980
2,21,5,5,0,1486153423080
2,21,3,5,0,1486153423180
2,21,5,5,0,1486153423347
2,21,3,5,0,1486153423413
2,21,5,5,0,1486153423547
2,21,3,5,0,1486153423647
2,21,5,5,0,1486153423746
2,21,3,5,0,1486153423847
2,21,5,5,0,1486153423980
2,21,3,5,0,1486153424080
2,21,5,5,0,1486153424213
2,21,3,5,0,1486153424347
2,21,5,5,0,1486153424413
2,21,5,5,1,1486153427914
2,22,5,5,0,1486153450682
2,22,5,5,1,1486153451248
2,23,1,1,0,1486153464349
2,23,1,1,1,1486153464882
2,24,0,0,0,1486153476450
2,24,0,0,1,1486153477116
2,25,5,5,0,1486153489984
2,25,5,5,1,1486153491050
2,26,3,3,0,1486153514352
2,26,3,3,1,1486153525786
2,27,6,6,0,1486153542253
2,27,6,6,1,1486153544420
2,28,1,1,0,1486153554087
2,28,1,1,1,1486153558121
2,29,7,2,0,1486153571489
2,29,7,2,1,1486153574322
2,30,0,0,0,1486153597090
2,30,0,0,1,1486153597490
2,31,2,2,0,1486153608691
2,31,2,2,1,1486153609257
2,32,5,0,0,1486153615858
2,32,5,0,1,1486153617358
2,33,6,6,0,1486153636292
2,33,6,6,1,1486153659327
2,34,3,3,0,1486153676861
2,34,3,3,1,1486153677327
2,35,0,0,0,1486153691362
2,35,0,0,1,1486153692728
2,36,2,2,0,1486153702163
2,36,2,2,1,1486153702695
2,37,3,3,0,1486153734498
2,37,3,3,1,1486153737631
2,38,4,4,0,1486153758332
2,38,4,4,1,1486153760265
2,39,6,6,0,1486153773433
2,39,6,6,1,1486153774033
2,40,0,7,0,1486153793301
2,40,0,7,1,1486153794234
2,41,5,5,0,1486153825903
2,41,7,5,0,1486153828170
2,41,5,5,0,1486153829403
