%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,6,1486419158827,-1,1486419158327
6,0,2,1,1,1,6,1486419161861,1486419162894,1486419161363
6,0,3,1,1,0,1,1486419164927,-1,1486419164397
6,0,4,1,1,0,5,1486419167961,-1,1486419167430
6,0,5,1,1,0,2,1486419170994,-1,1486419170464
6,0,6,1,1,0,3,1486419174028,-1,1486419173497
6,0,7,1,1,1,3,1486419177028,1486419178162,1486419176531
6,0,8,1,1,0,6,1486419180062,-1,1486419179564
6,0,9,1,1,0,0,1486419183095,-1,1486419182564
6,0,10,1,1,1,0,1486419186129,1486419187262,1486419185631
6,0,11,1,1,0,2,1486419189162,-1,1486419188632
6,1,1,1,1,3,1,1486419195763,-1,1486419195263
6,1,2,1,1,0,2,1486419198829,-1,1486419198299
6,1,3,1,1,0,0,1486419201830,-1,1486419201332
6,1,4,1,1,0,1,1486419204897,-1,1486419204365
6,1,5,1,1,0,4,1486419207963,-1,1486419207432
6,1,6,1,1,1,4,1486419210997,1486419211863,1486419210466
6,1,7,1,1,0,0,1486419214030,-1,1486419213499
6,1,8,1,1,1,0,1486419217097,1486419217797,1486419216567
6,1,9,1,1,1,0,1486419220164,1486419220997,1486419219633
6,1,10,1,1,0,2,1486419223197,-1,1486419222666
6,1,11,1,1,0,7,1486419226264,-1,1486419225733
6,1,12,1,1,1,7,1486419229331,1486419230331,1486419228800
6,1,13,1,1,0,0,1486419232364,-1,1486419231833
6,1,14,1,1,0,4,1486419235398,-1,1486419234867
6,1,15,1,1,0,1,1486419238465,-1,1486419237934
6,1,16,1,1,0,0,1486419241498,-1,1486419240968
6,1,17,1,1,1,0,1486419244498,1486419245166,1486419244001
6,1,18,1,1,1,0,1486419247565,1486419248632,1486419247034
6,1,19,1,1,0,3,1486419250599,-1,1486419250069
6,1,20,1,1,0,2,1486419253666,-1,1486419253136
6,1,21,1,1,0,1,1486419256732,-1,1486419256202
6,2,1,2,1,3,3,1486419270767,-1,1486419270267
6,2,2,2,1,3,7,1486419273833,-1,1486419273303
6,2,3,2,1,1,3,1486419276900,1486419277634,1486419276369
6,2,4,2,1,0,4,1486419279934,-1,1486419279403
6,2,5,2,1,0,5,1486419282967,-1,1486419282436
6,2,6,2,0,1,4,1486419286001,-1,1486419285470
6,2,7,2,1,0,0,1486419289067,-1,1486419288537
6,2,8,2,1,0,1,1486419292135,-1,1486419291604
