%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
4,1,2,0.3,1,3,2,6.321045,1486408730127,-1,-1,5.754517,1486408729561
4,2,2,0.3,1,3,3,9.420654,1486408733227,-1,-1,8.854004,1486408732662
4,3,2,0.3,1,2,3,12.45422,1486408736260,-1,-1,11.92078,1486408735729
4,4,2,0.3,1,0,1,15.52112,1486408739327,-1,-1,14.95447,1486408738763
4,5,2,0.3,1,2,1,18.58789,1486408742394,-1,-1,18.05444,1486408741864
4,6,2,0.3,1,1,1,21.65466,1486408745461,22.42151,1486408746228,21.08801,1486408744897
4,7,2,0.3,1,1,1,24.68823,1486408748495,25.72192,1486408749528,24.15479,1486408747963
4,8,2,0.3,1,2,5,27.755,1486408751561,-1,-1,27.22168,1486408751031
4,9,2,0.3,1,2,5,30.78857,1486408754595,-1,-1,30.25513,1486408754064
4,10,2,0.3,1,0,0,33.82202,1486408757628,-1,-1,33.2887,1486408757098
4,11,2,0.3,1,2,1,36.88892,1486408760695,-1,-1,36.32239,1486408760131
4,12,2,0.3,1,0,2,39.95569,1486408763762,-1,-1,39.38904,1486408763197
4,13,2,0.3,1,0,7,42.98926,1486408766795,-1,-1,42.45581,1486408766265
4,14,2,0.3,1,0,3,46.05603,1486408769862,-1,-1,45.48938,1486408769298
4,15,2,0.3,1,2,3,49.08972,1486408772896,-1,-1,48.55615,1486408772365
4,16,2,0.3,1,0,0,52.19019,1486408775996,-1,-1,51.62305,1486408775433
4,17,2,0.3,1,1,3,55.28992,1486408779096,56.69019,1486408780496,54.72314,1486408778532
4,1,3,0.3,1,3,7,73.65759,1486408797464,-1,-1,73.12427,1486408796931
4,2,3,0.3,1,3,5,76.72449,1486408800530,-1,-1,76.19104,1486408800000
4,3,3,0.3,1,3,0,79.79199,1486408803598,-1,-1,79.2583,1486408803068
4,4,3,0.3,1,2,5,82.85815,1486408806664,-1,-1,82.32471,1486408806133
4,5,3,0.3,1,0,6,85.8916,1486408809698,-1,-1,85.35828,1486408809167
4,6,3,0.3,1,1,0,88.92517,1486408812731,90.42517,1486408814231,88.39185,1486408812201
4,7,3,0.3,1,1,5,91.99194,1486408815798,93.15979,1486408816966,91.42566,1486408815235
4,8,3,0.3,1,2,0,95.02551,1486408818832,-1,-1,94.49219,1486408818301
4,9,3,0.3,1,0,4,98.05981,1486408821866,-1,-1,97.52563,1486408821335
4,10,3,0.3,1,0,3,101.1595,1486408824966,-1,-1,100.5924,1486408824401
4,11,3,0.3,1,1,0,104.226,1486408828032,105.1262,1486408828932,103.6926,1486408827502
4,1,4,0.3,1,3,2,122.5938,1486408846400,-1,-1,122.0603,1486408845867
4,2,4,0.3,1,3,4,125.6272,1486408849433,-1,-1,125.0939,1486408848903
4,3,4,0.3,1,3,0,128.6941,1486408852500,-1,-1,128.1273,1486408851936
4,4,4,0.3,1,3,6,131.7942,1486408855600,-1,-1,131.2275,1486408855036
4,5,4,0.3,1,0,3,134.8278,1486408858634,-1,-1,134.2943,1486408858103
4,6,4,0.3,1,1,4,137.8621,1486408861668,138.8613,1486408862668,137.3279,1486408861136
4,7,4,0.3,1,1,0,140.9614,1486408864767,141.9949,1486408865801,140.3947,1486408864203
4,8,4,0.3,1,0,5,144.0282,1486408867834,-1,-1,143.4618,1486408867272
4,9,4,0.3,1,2,0,147.0953,1486408870901,-1,-1,146.5283,1486408870339
4,10,4,0.3,1,1,4,150.1957,1486408874002,150.8289,1486408874635,149.6285,1486408873438
4,1,5,0.3,1,3,0,168.5963,1486408892402,-1,-1,168.0629,1486408891869
4,2,5,0.3,1,3,4,171.6631,1486408895469,-1,-1,171.0964,1486408894906
4,3,5,0.3,1,3,7,174.6965,1486408898503,-1,-1,174.1632,1486408897972
4,4,5,0.3,1,3,2,177.7301,1486408901536,-1,-1,177.1968,1486408901006
4,5,5,0.3,1,3,3,180.797,1486408904603,-1,-1,180.2302,1486408904040
4,6,5,0.3,1,0,3,183.8638,1486408907670,-1,-1,183.2971,1486408907106
4,7,5,0.3,1,0,6,186.8973,1486408910704,-1,-1,186.3641,1486408910173
4,8,5,0.3,1,2,2,189.931,1486408913737,-1,-1,189.3975,1486408913208
4,9,5,0.3,1,0,5,192.9984,1486408916804,-1,-1,192.4642,1486408916273
4,10,5,0.3,1,2,6,196.0978,1486408919904,-1,-1,195.5313,1486408919340
4,11,5,0.3,1,1,3,199.1315,1486408922937,200.4315,1486408924238,198.598,1486408922407
4,12,5,0.3,0,1,6,202.1981,1486408926004,-1,-1,201.6648,1486408925474
4,13,5,0.3,0,2,5,205.2323,1486408929038,206.5988,1486408930405,204.6986,1486408928508
4,14,5,0.3,1,2,6,208.3319,1486408932138,-1,-1,207.7651,1486408931574
4,15,5,0.3,0,2,3,211.3987,1486408935205,212.7655,1486408936572,210.8322,1486408934641
4,1,4,0.3,1,3,1,229.7997,1486408953606,-1,-1,229.233,1486408953039
4,2,4,0.3,1,3,4,232.8334,1486408956639,-1,-1,232.2999,1486408956109
4,3,4,0.3,1,3,5,235.9,1486408959706,-1,-1,235.3335,1486408959144
4,4,4,0.3,1,3,6,238.9337,1486408962740,-1,-1,238.4001,1486408962210
4,5,4,0.3,1,2,4,242.0338,1486408965840,-1,-1,241.467,1486408965276
4,6,4,0.3,1,1,4,245.1006,1486408968907,246.001,1486408969807,244.5339,1486408968343
4,7,4,0.3,1,1,5,248.1675,1486408971973,249.4344,1486408973241,247.6008,1486408971409
4,8,4,0.3,1,0,3,251.2009,1486408975007,-1,-1,250.6676,1486408974477
4,9,4,0.3,1,0,7,254.2345,1486408978041,-1,-1,253.7017,1486408977510
4,10,4,0.3,0,1,4,257.3013,1486408981107,-1,-1,256.7346,1486408980543
4,11,4,0.3,1,0,2,260.3682,1486408984174,-1,-1,259.8353,1486408983644
