%Recollect Version 2.3; iPad: ; User: RLB115;
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,4,0,8,1,1,0,algoNotBayesian
32,4,0,8,1,2,2,algoNotBayesian
32,4,0,8,1,3,3,algoNotBayesian
32,4,0,8,0.4,4,4,algoNotBayesian
32,4,0,8,0.625,3,4,algoNotBayesian
32,4,0,8,0.3333333,4,4,algoNotBayesian
32,4,0,8,0.4,3,4,algoNotBayesian
32,4,0,8,1,2,4,algoNotBayesian
32,4,0,8,1,3,4,algoNotBayesian
32,4,0,8,0.5,4,4,algoNotBayesian
32,4,0,8,0,5,5,algoNotBayesian
32,4,0,8,0,4,5,algoNotBayesian
32,4,0,8,1,3,5,algoNotBayesian
32,4,0,8,0,4,5,algoNotBayesian
32,4,0,8,0.3333333,3,5,algoNotBayesian
32,4,0,8,0.8,2,5,algoNotBayesian
32,4,0,8,0.8,3,5,algoNotBayesian
32,4,0,8,0.6666667,4,5,algoNotBayesian
32,4,0,8,0,5,5,algoNotBayesian
32,4,0,8,0.4666667,4,5,algoNotBayesian
32,4,0,8,0.4166667,3,5,algoNotBayesian
32,4,0,8,1,2,5,algoNotBayesian
32,4,0,8,1,3,5,algoNotBayesian
32,4,1,0,1,2,5,algoNotBayesian
32,4,1,0,1,3,5,algoNotBayesian
32,4,1,0,1,4,5,algoNotBayesian
32,4,1,0,0.25,5,5,algoNotBayesian
32,4,1,0,0.4,4,5,algoNotBayesian
32,4,1,0,0.75,3,5,algoNotBayesian
32,4,1,0,0.625,4,5,algoNotBayesian
32,4,1,0,0.2857143,5,5,algoNotBayesian
32,4,1,0,1,4,5,algoNotBayesian
32,4,1,0,0.25,5,5,algoNotBayesian
32,4,1,0,0.8,4,5,algoNotBayesian
32,4,1,0,0.3333333,5,5,algoNotBayesian
32,4,1,0,0.1666667,4,5,algoNotBayesian
32,4,1,0,1,3,5,algoNotBayesian
32,4,1,0,0.4,4,5,algoNotBayesian
32,4,1,0,1,3,5,algoNotBayesian
32,4,1,0,1,4,5,algoNotBayesian
32,4,1,0,0,5,5,algoNotBayesian
32,4,1,0,0.25,4,5,algoNotBayesian
32,4,1,0,1,3,5,algoNotBayesian
32,4,1,0,0.8333333,4,5,algoNotBayesian
32,4,1,0,0,5,5,algoNotBayesian
32,4,1,0,0,4,5,algoNotBayesian
32,4,2,0,0.7142857,3,5,algoNotBayesian
32,4,2,0,0.3333333,4,5,algoNotBayesian
32,4,2,0,0.4545455,3,5,algoNotBayesian
32,4,2,0,0.6428571,2,5,algoNotBayesian
32,4,2,0,0.4,3,5,algoNotBayesian
32,4,2,0,1,2,5,algoNotBayesian
32,4,2,0,0.5,3,5,algoNotBayesian
32,4,2,0,1,2,5,algoNotBayesian
32,4,2,0,1,3,5,algoNotBayesian
32,4,2,0,0.2857143,4,5,algoNotBayesian
32,4,2,0,0.8333333,3,5,algoNotBayesian
32,4,2,0,0.6666667,4,5,algoNotBayesian
32,4,2,0,1,5,5,algoNotBayesian
32,4,2,0,0.3333333,6,6,algoNotBayesian
32,4,2,0,0.75,5,6,algoNotBayesian
32,4,2,0,0.4,6,6,algoNotBayesian
32,4,2,0,0.25,5,6,algoNotBayesian
32,4,2,0,0.4117647,4,6,algoNotBayesian
32,4,2,0,0.4117647,3,6,algoNotBayesian
32,4,3,0,1,2,6,algoNotBayesian
32,4,3,0,1,3,6,algoNotBayesian
32,4,3,0,0.8,4,6,algoNotBayesian
32,4,3,0,0.375,5,6,algoNotBayesian
32,4,3,0,0.375,4,6,algoNotBayesian
32,4,3,0,0,3,6,algoNotBayesian
