%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486168463916,1486168464682
1,1,1,0,0,1486168465649,1486168466348
1,2,1,1,1,1486168467349,1486168467915
1,3,1,0,0,1486168468916,1486168469548
2,0,1,0,0,1486168471249,1486168471915
2,1,1,1,1,1486168472916,1486168473449
2,2,1,0,0,1486168474449,1486168474982
2,3,1,0,0,1486168475982,1486168476515
2,4,1,1,1,1486168477516,1486168478082
2,5,1,0,0,1486168479083,1486168479649
2,6,1,1,1,1486168480649,1486168481249
2,7,1,0,0,1486168482251,1486168482782
2,8,1,1,1,1486168483751,1486168484317
2,9,1,1,1,1486168485316,1486168485949
2,10,1,0,0,1486168486950,1486168487550
2,11,1,1,1,1486168488550,1486168488983
3,0,0,1,1,1486168490950,1486168495183
3,1,0,0,1,1486168496150,1486168496983
3,2,0,0,1,1486168497984,1486168498583
3,3,0,1,0,1486168499584,1486168500183
4,0,0,0,1,1486168501934,1486168502534
4,1,0,1,0,1486168503535,1486168504100
4,2,0,0,1,1486168505101,1486168505667
4,3,0,1,0,1486168506667,1486168507201
4,4,0,1,0,1486168508168,1486168508768
4,5,0,0,1,1486168509768,1486168510401
4,6,0,0,1,1486168511368,1486168511967
4,7,0,1,0,1486168512968,1486168513434
4,8,0,0,1,1486168514434,1486168514935
4,9,0,1,0,1486168515934,1486168516534
4,10,0,0,1,1486168517535,1486168518035
4,11,0,1,0,1486168519035,1486168519568
5,0,1,0,1,1486168521352,1486168521951
5,1,1,1,1,1486168522952,1486168523585
5,2,0,1,0,1486168524553,1486168525951
5,3,0,0,1,1486168526919,1486168527785
6,0,1,1,1,1486168529419,1486168530352
6,1,0,0,1,1486168531352,1486168532085
6,2,0,1,0,1486168533085,1486168534119
6,3,1,1,1,1486168535119,1486168535952
6,4,1,0,0,1486168536952,1486168537752
6,5,0,1,0,1486168538753,1486168539452
6,6,1,0,0,1486168540419,1486168541153
6,7,0,1,0,1486168542153,1486168542819
6,8,0,1,0,1486168543820,1486168544619
6,9,0,0,1,1486168545587,1486168546286
6,10,1,1,1,1486168547287,1486168547920
6,11,0,1,0,1486168548920,1486168549720
6,12,1,0,0,1486168550720,1486168551753
6,13,1,1,1,1486168552720,1486168553420
6,14,0,0,1,1486168554420,1486168555320
6,15,0,0,1,1486168556320,1486168557153
6,16,1,1,1,1486168558153,1486168559054
6,17,0,1,0,1486168560054,1486168561720
6,18,0,0,1,1486168562721,1486168563454
6,19,1,0,0,1486168564454,1486168565288
6,20,0,0,1,1486168566287,1486168567054
6,21,0,1,0,1486168568054,1486168569087
6,22,0,1,0,1486168570087,1486168570687
6,23,1,0,0,1486168571655,1486168572388
6,24,0,0,1,1486168573388,1486168574388
6,25,0,0,1,1486168575388,1486168576154
6,26,0,1,0,1486168577155,1486168577721
6,27,1,1,1,1486168578721,1486168579588
6,28,0,0,1,1486168580588,1486168581354
6,29,1,1,1,1486168582355,1486168583188
6,30,0,1,0,1486168584188,1486168585022
6,31,1,0,0,1486168586022,1486168587088
6,32,1,1,1,1486168588089,1486168588789
6,33,1,1,1,1486168589789,1486168590455
6,34,0,1,0,1486168591455,1486168592256
6,35,1,0,0,1486168593255,1486168594122
6,36,0,0,1,1486168595122,1486168595822
6,37,0,0,1,1486168596822,1486168597522
6,38,1,1,1,1486168598522,1486168599256
6,39,1,0,0,1486168600256,1486168601122
6,40,0,1,0,1486168602123,1486168602923
6,41,1,0,0,1486168603923,1486168604656
6,42,1,0,0,1486168605656,1486168606823
6,43,1,1,1,1486168607823,1486168608656
6,44,0,0,1,1486168609656,1486168610423
6,45,1,0,0,1486168611423,1486168612057
6,46,1,1,1,1486168613057,1486168613790
6,47,1,0,0,1486168614791,1486168615423
