%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,3,1487889017945,-1,1487889017412
6,0,2,1,1,0,1,1487889021012,-1,1487889020482
6,0,3,1,1,1,1,1487889024046,1487889025045,1487889023514
6,0,4,1,1,1,1,1487889027112,1487889028046,1487889026582
6,0,5,1,1,1,1,1487889030112,1487889030879,1487889029615
6,0,6,1,1,0,3,1487889033179,-1,1487889032649
6,0,7,1,1,0,7,1487889036246,-1,1487889035715
6,0,8,1,1,0,2,1487889039247,-1,1487889038748
6,0,9,1,1,0,4,1487889042314,-1,1487889041784
6,0,10,1,1,0,1,1487889045380,-1,1487889044849
6,0,11,1,1,0,3,1487889048447,-1,1487889047916
6,1,1,1,1,3,3,1487889055580,-1,1487889055048
6,1,2,1,1,0,4,1487889058614,-1,1487889058085
6,1,3,1,1,0,0,1487889061647,-1,1487889061116
6,1,4,1,1,0,5,1487889064681,-1,1487889064150
6,1,5,1,1,0,4,1487889067715,-1,1487889067184
6,1,6,1,1,1,4,1487889070781,1487889071582,1487889070250
6,1,7,1,1,1,4,1487889073781,1487889074348,1487889073285
6,1,8,1,1,0,5,1487889076815,-1,1487889076285
6,1,9,1,1,0,1,1487889079848,-1,1487889079318
6,1,10,1,1,0,3,1487889082882,-1,1487889082352
6,1,11,1,1,0,5,1487889085915,-1,1487889085385
6,1,12,1,1,0,4,1487889088982,-1,1487889088452
6,1,13,1,1,0,1,1487889092049,-1,1487889091518
6,1,14,1,1,0,5,1487889095116,-1,1487889094585
6,1,15,1,1,0,0,1487889098183,-1,1487889097653
6,1,16,1,1,1,0,1487889101249,1487889101883,1487889100718
6,1,17,1,1,0,4,1487889104250,-1,1487889103752
6,1,18,1,1,0,2,1487889107318,-1,1487889106787
6,1,19,1,1,1,2,1487889110383,1487889111017,1487889109853
6,1,20,1,1,1,2,1487889113450,1487889114550,1487889112920
6,1,21,1,1,1,2,1487889116484,1487889117050,1487889115954
6,2,1,2,1,3,3,1487889128318,-1,1487889127785
6,2,2,2,1,3,5,1487889131351,-1,1487889130821
6,2,3,2,1,0,1,1487889134385,-1,1487889133854
6,2,4,2,1,0,3,1487889137418,-1,1487889136888
6,2,5,2,1,1,1,1487889140452,1487889141786,1487889139955
6,2,6,2,1,0,7,1487889143518,-1,1487889142988
6,2,7,2,1,1,1,1487889146519,1487889148053,1487889146023
6,2,8,2,1,0,6,1487889149586,-1,1487889149055
6,2,9,2,1,1,1,1487889152652,1487889153719,1487889152121
6,2,10,2,1,0,7,1487889155719,-1,1487889155188
6,2,11,2,1,0,3,1487889158753,-1,1487889158223
6,2,12,2,1,0,4,1487889161786,-1,1487889161289
6,3,1,2,1,3,4,1487889170587,-1,1487889170054
6,3,2,2,1,3,3,1487889173654,-1,1487889173123
6,3,3,2,1,0,6,1487889176688,-1,1487889176191
6,3,4,2,1,0,2,1487889179721,-1,1487889179223
6,3,5,2,1,0,7,1487889182787,-1,1487889182257
6,3,6,2,1,1,2,1487889185821,1487889188188,1487889185291
6,3,7,2,1,1,7,1487889188854,1487889190388,1487889188324
6,3,8,2,1,1,2,1487889191888,1487889193455,1487889191358
6,3,9,2,1,0,6,1487889194921,-1,1487889194424
6,3,10,2,1,0,5,1487889197988,-1,1487889197458
6,3,11,2,1,1,6,1487889201056,1487889202289,1487889200524
6,3,12,2,1,0,7,1487889204089,-1,1487889203592
6,3,13,2,1,0,2,1487889207122,-1,1487889206592
6,3,14,2,1,0,5,1487889210156,-1,1487889209625
6,3,15,2,1,0,1,1487889213189,-1,1487889212658
6,3,16,2,1,0,4,1487889216190,-1,1487889215693
6,3,17,2,1,1,1,1487889219256,1487889220357,1487889218725
6,3,18,2,0,1,4,1487889222290,-1,1487889221793
6,3,19,2,1,0,0,1487889225357,-1,1487889224826
6,3,20,2,1,0,2,1487889228423,-1,1487889227894
6,3,21,2,1,0,6,1487889231490,-1,1487889230960
6,3,22,2,1,0,7,1487889234524,-1,1487889234028
6,4,1,3,1,3,1,1487889250758,-1,1487889250226
6,4,2,3,1,3,3,1487889253791,-1,1487889253262
6,4,3,3,1,3,0,1487889256825,-1,1487889256294
6,4,4,3,1,1,1,1487889259892,1487889260792,1487889259362
6,4,5,3,1,0,6,1487889262925,-1,1487889262395
6,4,6,3,1,0,2,1487889265993,-1,1487889265462
6,4,7,3,1,0,3,1487889269059,-1,1487889268528
6,4,8,3,1,0,0,1487889272092,-1,1487889271562
6,4,9,3,1,0,1,1487889275127,-1,1487889274596
6,4,10,3,1,0,4,1487889278193,-1,1487889277663
6,4,11,3,1,1,0,1487889281227,1487889283027,1487889280696
6,4,12,3,1,1,1,1487889284293,1487889285494,1487889283762
6,4,13,3,1,0,7,1487889287327,-1,1487889286797
6,5,1,3,1,3,5,1487889295027,-1,1487889294495
6,5,2,3,1,3,1,1487889298094,-1,1487889297564
6,5,3,3,1,3,3,1487889301128,-1,1487889300598
6,5,4,3,1,0,2,1487889304162,-1,1487889303663
6,5,5,3,1,0,6,1487889307228,-1,1487889306698
6,5,6,3,1,0,5,1487889310295,-1,1487889309764
6,5,7,3,1,0,5,1487889313328,-1,1487889312798
6,5,8,3,1,0,1,1487889316362,-1,1487889315831
6,5,9,3,1,0,4,1487889319429,-1,1487889318898
6,5,10,3,1,0,0,1487889322462,-1,1487889321932
6,5,11,3,1,1,1,1487889325529,1487889326962,1487889324997
6,5,12,3,1,1,4,1487889328596,1487889330296,1487889328066
6,5,13,3,1,0,5,1487889331629,-1,1487889331098
6,5,14,3,1,1,1,1487889334662,1487889336063,1487889334137
6,5,15,3,1,0,0,1487889337697,-1,1487889337166
6,5,16,3,1,1,5,1487889340763,1487889342296,1487889340233
6,5,17,3,1,1,1,1487889343797,1487889345264,1487889343267
6,5,18,3,1,0,6,1487889346863,-1,1487889346333
6,5,19,3,1,0,4,1487889349897,-1,1487889349400
6,5,20,3,1,0,2,1487889352930,-1,1487889352433
6,5,21,3,1,0,2,1487889355997,-1,1487889355467
6,5,22,3,1,1,4,1487889359031,1487889360664,1487889358501
6,5,23,3,1,0,0,1487889362097,-1,1487889361567
6,6,1,4,1,3,2,1487889375465,-1,1487889374933
6,6,2,4,1,3,0,1487889378532,-1,1487889378002
6,6,3,4,1,3,3,1487889381549,-1,1487889381052
6,6,4,4,1,3,7,1487889384615,-1,1487889384085
6,6,5,4,1,0,6,1487889387649,-1,1487889387119
6,6,6,4,1,0,5,1487889390683,-1,1487889390186
6,6,7,4,1,0,2,1487889393749,-1,1487889393219
6,6,8,4,1,0,1,1487889396816,-1,1487889396285
6,6,9,4,1,1,6,1487889399816,1487889401550,1487889399319
6,6,10,4,1,1,5,1487889402850,1487889403979,1487889402352
6,6,11,4,1,0,0,1487889405905,-1,1487889405376
6,6,12,4,1,0,0,1487889408927,-1,1487889408398
6,6,13,4,1,0,3,1487889411953,-1,1487889411424
6,6,14,4,1,0,4,1487889415020,-1,1487889414490
6,6,15,4,1,1,0,1487889418054,1487889419387,1487889417524
6,6,16,4,1,1,0,1487889421088,1487889422888,1487889420591
6,6,17,4,1,0,2,1487889424088,-1,1487889423593
6,6,18,4,1,0,7,1487889427154,-1,1487889426624
6,6,19,4,1,0,6,1487889430188,-1,1487889429657
6,6,20,4,1,0,7,1487889433255,-1,1487889432724
6,6,21,4,1,0,3,1487889436255,-1,1487889435757
6,6,22,4,1,0,0,1487889439288,-1,1487889438791
6,6,23,4,0,1,6,1487889442322,-1,1487889441824
6,6,24,4,0,1,7,1487889445357,-1,1487889444825
6,7,1,5,0,3,6,1487889456289,-1,1487889455756
6,7,2,5,0,3,1,1487889459290,-1,1487889458792
6,7,3,5,0,3,7,1487889462356,-1,1487889461826
6,7,4,5,0,3,3,1487889465390,-1,1487889464859
6,7,5,5,0,3,0,1487889468390,-1,1487889467892
6,7,6,5,1,0,7,1487889471457,-1,1487889470926
6,7,7,5,1,1,1,1487889474458,1487889475957,1487889473959
6,7,8,5,1,0,4,1487889477524,-1,1487889476994
6,7,9,5,1,0,6,1487889480557,-1,1487889480027
6,7,10,5,1,0,1,1487889483591,-1,1487889483060
