%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486604075095,1486604076761
1,1,1,0,0,1486604077762,1486604078861
1,2,1,1,1,1486604079862,1486604081162
1,3,1,0,0,1486604082162,1486604082862
2,0,1,0,0,1486604090262,1486604090862
2,1,1,0,0,1486604091862,1486604092495
2,2,1,0,0,1486604093496,1486604094129
2,3,1,1,1,1486604095130,1486604095596
2,4,1,1,1,1486604096596,1486604097096
2,5,1,1,1,1486604098097,1486604098662
2,6,1,0,0,1486604099663,1486604100230
2,7,1,1,1,1486604101229,1486604101730
2,8,1,1,1,1486604102730,1486604103329
2,9,1,1,1,1486604104330,1486604104796
2,10,1,0,0,1486604105796,1486604106430
2,11,1,0,0,1486604107430,1486604108096
3,0,0,0,1,1486604114630,1486604115197
3,1,0,0,1,1486604116197,1486604117465
3,2,0,1,0,1486604118465,1486604119498
3,3,0,1,0,1486604120464,1486604121165
4,0,0,1,0,1486604123147,1486604123781
4,1,0,0,1,1486604124781,1486604125281
4,2,0,0,1,1486604126281,1486604126847
4,3,0,0,1,1486604127815,1486604128482
4,4,0,1,0,1486604129481,1486604130181
4,5,0,1,0,1486604131181,1486604131815
4,6,0,0,1,1486604132781,1486604133216
4,7,0,0,1,1486604134215,1486604134715
4,8,0,1,0,1486604135715,1486604136314
4,9,0,0,1,1486604137315,1486604138548
4,10,0,1,0,1486604139548,1486604140149
4,11,0,1,0,1486604141148,1486604141816
5,0,1,1,1,1486604148449,1486604149782
5,1,1,0,0,1486604150783,1486604151849
5,2,0,1,0,1486604152850,1486604153682
5,3,0,0,1,1486604154683,1486604155449
6,0,1,1,1,1486604157349,1486604158116
6,1,1,0,0,1486604159116,1486604159982
6,2,1,0,0,1486604160983,1486604161849
6,3,0,0,1,1486604162850,1486604163816
6,4,1,1,1,1486604164816,1486604165683
6,5,1,0,0,1486604166683,1486604167416
6,6,0,1,0,1486604168417,1486604169383
6,7,1,0,0,1486604170383,1486604171250
6,8,1,1,1,1486604172250,1486604172950
6,9,1,0,0,1486604173950,1486604174750
6,10,0,1,0,1486604175751,1486604176384
6,11,1,0,0,1486604177351,1486604178650
6,12,1,0,0,1486604179651,1486604180783
6,13,0,1,0,1486604181751,1486604182651
6,14,1,1,1,1486604183651,1486604184484
6,15,1,1,1,1486604185484,1486604186084
6,16,0,0,1,1486604187084,1486604188051
6,17,0,0,1,1486604189051,1486604189818
6,18,0,1,0,1486604190818,1486604191551
6,19,1,0,0,1486604192551,1486604193318
6,20,1,1,1,1486604194318,1486604195019
6,21,1,0,0,1486604196018,1486604196751
6,22,0,1,0,1486604197719,1486604198551
6,23,1,1,1,1486604199552,1486604200318
6,24,0,1,0,1486604201285,1486604202185
6,25,0,0,1,1486604203185,1486604203985
6,26,0,0,1,1486604204986,1486604205752
6,27,1,1,1,1486604206752,1486604207618
6,28,1,1,1,1486604208619,1486604209252
6,29,0,0,1,1486604210252,1486604211252
6,30,0,0,1,1486604212252,1486604213085
6,31,1,1,1,1486604214086,1486604214886
6,32,0,1,0,1486604215886,1486604216653
6,33,0,0,1,1486604217653,1486604218320
6,34,1,1,1,1486604219319,1486604219919
6,35,0,1,0,1486604220920,1486604221653
6,36,0,1,0,1486604222655,1486604223386
6,37,0,0,1,1486604224387,1486604225219
6,38,1,0,0,1486604226220,1486604227153
6,39,1,0,0,1486604228153,1486604228854
6,40,0,1,0,1486604229853,1486604230653
6,41,0,0,1,1486604231653,1486604232353
6,42,1,0,0,1486604233354,1486604234153
6,43,0,0,1,1486604235154,1486604235920
6,44,0,1,0,1486604236887,1486604237654
6,45,0,0,1,1486604238654,1486604239320
6,46,1,1,1,1486604240321,1486604241154
6,47,0,1,0,1486604242154,1486604242854
