%Recollect Version 2.3; iPad: ; User: Rlb101; Session: 14
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,5,14,0,0.875,5,8,algoNotBayesian
32,5,14,0,0.7857143,6,8,algoNotBayesian
32,5,14,0,0.3333333,6,8,algoNotBayesian
32,5,14,0,0.5,5,8,algoNotBayesian
32,5,14,0,0.8571429,4,8,algoNotBayesian
32,5,14,0,0.9090909,5,8,algoNotBayesian
32,5,14,0,1,6,8,algoNotBayesian
32,5,14,0,1,7,8,algoNotBayesian
32,5,14,0,0.5,8,8,algoNotBayesian
32,5,14,0,1,7,8,algoNotBayesian
32,5,14,0,0,8,8,algoNotBayesian
32,5,14,0,0.8,7,8,algoNotBayesian
32,5,14,0,0,8,8,algoNotBayesian
32,5,14,0,0.6,7,8,algoNotBayesian
32,5,14,0,0.7,6,8,algoNotBayesian
32,5,14,0,0.6428571,5,8,algoNotBayesian
32,5,15,0,1,4,8,algoNotBayesian
32,5,15,0,1,5,8,algoNotBayesian
32,5,15,0,1,6,8,algoNotBayesian
32,5,15,0,0.6666667,7,8,algoNotBayesian
32,5,15,0,0.6666667,6,8,algoNotBayesian
32,5,15,0,0.6923077,5,8,algoNotBayesian
32,5,15,0,1,4,8,algoNotBayesian
32,5,15,0,1,5,8,algoNotBayesian
32,5,15,0,0,6,8,algoNotBayesian
32,5,15,0,1,5,8,algoNotBayesian
32,5,15,0,0.7272727,6,8,algoNotBayesian
32,5,15,0,0.625,7,8,algoNotBayesian
32,5,15,0,1,6,8,algoNotBayesian
32,5,15,0,0.6923077,7,8,algoNotBayesian
