%Recollect Version 2.3; iPad: ; User: Rlb105; Session: 16
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,1,16,0,1,2,5,algoNotBayesian
32,1,16,0,1,3,5,algoNotBayesian
32,1,16,0,0.25,4,5,algoNotBayesian
32,1,16,0,0.5,3,5,algoNotBayesian
32,1,16,0,0.625,3,5,algoNotBayesian
32,1,16,0,0.3333333,3,5,algoNotBayesian
32,1,16,0,0.2857143,2,5,algoNotBayesian
32,1,16,0,0.8571429,2,5,algoNotBayesian
32,1,16,0,0.7142857,3,5,algoNotBayesian
32,1,16,0,0.5,4,5,algoNotBayesian
32,1,16,0,0.2,4,5,algoNotBayesian
32,1,16,0,0.4285714,3,5,algoNotBayesian
32,1,16,0,0.8571429,3,5,algoNotBayesian
32,1,16,0,0.05882353,4,5,algoNotBayesian
32,1,16,0,0.625,3,5,algoNotBayesian
32,1,16,0,0.2,3,5,algoNotBayesian
32,1,16,0,0.6666667,2,5,algoNotBayesian
32,1,17,0,0.7142857,2,5,algoNotBayesian
32,1,17,0,0.7142857,3,5,algoNotBayesian
32,1,17,0,0,4,5,algoNotBayesian
32,1,17,0,0.5,3,5,algoNotBayesian
32,1,17,0,0.7142857,3,5,algoNotBayesian
32,1,17,0,0,4,5,algoNotBayesian
32,1,17,0,0,3,5,algoNotBayesian
32,1,17,0,0.3333333,2,5,algoNotBayesian
32,1,17,0,0.4444444,2,5,algoNotBayesian
32,1,17,0,0.25,2,5,algoNotBayesian
32,1,17,0,0.4285714,2,5,algoNotBayesian
32,1,17,0,0.08333334,2,5,algoNotBayesian
32,1,17,0,0.6666667,2,5,algoNotBayesian
32,1,17,0,0.6666667,3,5,algoNotBayesian
32,1,17,0,0,4,5,algoNotBayesian
32,1,17,0,0.4444444,3,5,algoNotBayesian
32,1,17,0,0.6666667,3,5,algoNotBayesian
