%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,4E,4E,,,0,1487789633246,,1487789635573,1487789638141
3,1,2,0A,0A,,,0,1487789640112,,1487789642474,1487789644374
3,2,3,EB5,EB5,,,0,1487789646345,,1487789649841,1487789652041
3,3,3,854,854,,,0,1487789654013,,1487789657541,1487789659241
10,0,0,,,0,0,0,1487789679778,1487789679776,1487789657541,1487789681209
10,1,0,,,0,0,0,1487789683209,1487789683209,1487789657541,1487789684909
10,2,0,,,1,1,0,1487789686909,1487789686909,1487789657541,1487789688609
10,3,0,,,1,1,0,1487789690577,1487789690577,1487789657541,1487789693009
10,4,0,,,0,0,0,1487789694977,1487789694977,1487789657541,1487789696410
10,5,0,,,0,0,0,1487789698410,1487789698410,1487789657541,1487789700510
10,6,0,,,0,0,0,1487789702510,1487789702510,1487789657541,1487789704011
10,7,0,,,1,1,0,1487789706011,1487789706011,1487789657541,1487789707177
10,8,0,,,1,1,0,1487789709177,1487789709177,1487789657541,1487789711111
10,9,0,,,1,1,0,1487789713111,1487789713111,1487789657541,1487789714577
10,10,0,,,0,0,0,1487789716579,1487789716579,1487789657541,1487789717877
10,11,0,,,1,1,0,1487789719879,1487789719879,1487789657541,1487789721077
10,12,0,,,1,1,0,1487789723045,1487789723045,1487789657541,1487789724411
10,13,0,,,0,0,0,1487789726412,1487789726412,1487789657541,1487789727546
10,14,0,,,0,0,0,1487789729545,1487789729545,1487789657541,1487789731911
10,15,0,,,1,1,0,1487789733912,1487789733912,1487789657541,1487789735078
13,0,2,10,Z1Z,10,1Z,0,1487789745269,1487789750667,1487789753301,1487789762364
13,1,2,E2,E2,11,11,0,1487789764369,1487789770002,1487789771368,1487789773198
13,2,2,52,52,00,00,0,1487789775168,1487789780402,1487789782669,1487789784398
14,0,2,BD,BD,00,00,0,1487789795603,1487789800737,1487789802071,1487789804232
14,1,2,BD,BD,01,01,0,1487789806237,1487789811005,1487789813139,1487789815601
14,2,3,0E9,0E9,010,01Z,1,1487789817571,1487789825305,1487789827939,1487789835634
14,3,5,BE1CA,BE1CA,01111,01111,0,1487789837606,1487789852841,1487789854273,1487789858502
14,4,4,5B6C,5B6C,0001,0001,0,1487789860473,1487789870774,1487789871775,1487789875303
14,5,2,B0,B0,01,01,0,1487789877274,1487789882175,1487789883308,1487789887071
14,6,5,C3187,C306,00111,00111,1,1487789889075,1487789903709,1487789906245,1487789915106
14,7,3,FC6,FC6,110,111,0,1487789917110,1487789924811,1487789926711,1487789929906
14,8,4,04BA,04BA,1001,1001,0,1487789931878,1487789942646,1487789944145,1487789946207
14,9,3,C2F,C2F,001,001,0,1487789948179,1487789956779,1487789957980,1487789960608
14,10,5,73CB9,3CB,11000,1100Z,2,1487789962613,1487789976280,1487789978913,1487789989610
14,11,4,5AC9,5A9,1001,1001,0,1487789991581,1487790001815,1487790003583,1487790005844
