%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,87,87,,,0,1488238323034,,1488238325427,1488238328027
3,1,2,C4,C4,,,0,1488238330033,,1488238332394,1488238333827
3,2,3,0F1,0F1,,,0,1488238335832,,1488238339362,1488238341328
3,3,3,CA1,CA1,,,0,1488238343300,,1488238346828,1488238348628
10,0,0,,,0,0,0,1488238371199,1488238371197,1488238346828,1488238373464
10,1,0,,,1,1,0,1488238375431,1488238375431,1488238346828,1488238377063
10,2,0,,,0,0,0,1488238379064,1488238379064,1488238346828,1488238380931
10,3,0,,,0,0,0,1488238382931,1488238382931,1488238346828,1488238384430
10,4,0,,,1,1,0,1488238386432,1488238386432,1488238346828,1488238387697
10,5,0,,,1,1,0,1488238389665,1488238389665,1488238346828,1488238392598
10,6,0,,,1,1,0,1488238394598,1488238394598,1488238346828,1488238396264
10,7,0,,,0,0,0,1488238398266,1488238398266,1488238346828,1488238399332
10,8,0,,,0,0,0,1488238401333,1488238401333,1488238346828,1488238402865
10,9,0,,,0,0,0,1488238404833,1488238404832,1488238346828,1488238407000
10,10,0,,,1,1,0,1488238408999,1488238408999,1488238346828,1488238410232
10,11,0,,,1,1,0,1488238412199,1488238412199,1488238346828,1488238413700
10,12,0,,,1,1,0,1488238415666,1488238415666,1488238346828,1488238417732
10,13,0,,,1,1,0,1488238419733,1488238419733,1488238346828,1488238421299
10,14,0,,,1,1,0,1488238423300,1488238423300,1488238346828,1488238425166
10,15,0,,,1,1,0,1488238427166,1488238427166,1488238346828,1488238428966
13,0,2,7B,7A,00,00,2,1488238436954,1488238442756,1488238445289,1488238453951
13,1,2,34,34,11,11,0,1488238455955,1488238461422,1488238463791,1488238466385
13,2,2,ED,FD,01,Z1,0,1488238468358,1488238474656,1488238476990,1488238479352
14,0,5,0248C,024C,00010,00010,0,1488238489257,1488238504726,1488238506160,1488238511021
14,1,5,8F013,4FC02,11100,1Z100,2,1488238513026,1488238528460,1488238530795,1488238553123
14,2,4,5037,4027,1101,1101,0,1488238555095,1488238567129,1488238568531,1488238573827
14,3,2,23,23,11,11,0,1488238575829,1488238581297,1488238582730,1488238585825
14,4,5,16DCB,16CDB,11010,11010,0,1488238587796,1488238601797,1488238602864,1488238606626
14,5,4,79C2,7AC2,0000,0000,0,1488238608599,1488238620098,1488238621633,1488238624761
14,6,2,1D,2D,10,10,0,1488238626733,1488238631966,1488238633500,1488238636361
14,7,2,46,64,01,01,0,1488238638332,1488238643167,1488238645601,1488238647928
14,8,3,702,702,101,101,0,1488238649901,1488238658167,1488238659970,1488238662363
14,9,3,50E,50E,001,001,0,1488238664334,1488238672201,1488238673602,1488238675630
14,10,4,D0B5,BE05,1011,0011,3,1488238677601,1488238690403,1488238692303,1488238713699
14,11,3,08E,09E,010,010,0,1488238715670,1488238725170,1488238727572,1488238730533
