%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,9,3,2,1,4,ldamccgbakdfbcbikfhabacemgicmdibahceebnagcblabjd,001011100000000000000000000000000000000000000000
1,23,9,1,7,7,mcgjclbeabaemnclahplipcabmfgbaioacbcbibckkbhmfea,111011001110001011101111000000000000000000000000
2,11,5,0,4,3,haoioblaebcjmhcbacaimcbkmaabgfmbclcecobhmgjacken,011011110111000000000000000000000000000000000000
3,12,4,1,4,4,cddafihbcanehjbblmimmeccmalbjaabcmlcpahbcmbhmfca,111000111100100000000000000000000000000000000000
4,19,8,1,8,3,opibpchhbaeecajoaacgpmlncodbbogccgbabajchlaiicka,110011111100111111110000000000000000000000000000
5,20,8,3,6,4,cginphacabbaplkbcecbpdnaaiapmdhcdcbbakbfklkkchaj,111001011111101010101000000000000000000000000000
6,21,6,4,5,7,icadnabpcomdhbehlbablaccajgoacognibkbcdajocchfdb,111000011100100101010100000000000000000000000000
7,22,12,0,4,7,dcajmnajcbbbiaebelaclcifpfkbilhabelaccccnjghheba,011100111111110100110110000000000000000000000000
8,13,5,0,6,3,odelocbdoaocbpalpikbacpfkecbdagpbpbacfcacagbopla,110011101111110000000000000000000000000000000000
9,26,12,1,6,8,lcanacpkmdlbbeibblnaccaiodbabclchnaopcgamfcgbpio,011001110001101110011111111000000000000000000000
10,20,8,0,5,8,ldgnhanancbcljkeiebbamcjbgiacjbloaccbahmnbcmibam,001011010111011010111000000000000000000000000000
11,26,13,1,7,6,kaccbddekbaabicaofbgcckmajobabcmjdpocbefbmhgmhna,111110001011111110111110101000000000000000000000
