%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
5,1,1,0.3,0,3,0,0.5530839,1486078376152,-1,-1,0.05306387,1486078375652
5,2,1,0.3,1,1,0,3.586879,1486078379185,4.353492,1486078379952,3.056501,1486078378657
5,3,1,0.3,1,1,0,6.653565,1486078382252,8.020274,1486078383619,6.120612,1486078381727
5,4,1,0.3,1,2,3,9.720402,1486078385319,-1,-1,9.154863,1486078384755
5,5,1,0.3,1,0,1,12.75391,1486078388352,-1,-1,12.22055,1486078387821
5,6,1,0.3,1,0,6,15.78753,1486078391386,-1,-1,15.25404,1486078390859
5,7,1,0.3,1,0,4,18.82095,1486078394419,-1,-1,18.28976,1486078393890
5,8,1,0.3,1,1,4,21.85449,1486078397454,22.72164,1486078398320,21.32106,1486078396922
5,9,1,0.3,1,0,1,24.85939,1486078400458,-1,-1,24.35463,1486078399955
5,10,1,0.3,0,0,5,27.88848,1486078403487,28.99846,1486078404597,27.38815,1486078402989
5,11,1,0.3,1,1,5,30.95501,1486078406554,31.98872,1486078407587,30.4216,1486078406022
5,12,1,0.3,1,2,1,33.98986,1486078409588,-1,-1,33.45506,1486078409055
5,13,1,0.3,1,2,5,37.05526,1486078412654,-1,-1,36.52195,1486078412124
5,14,1,0.3,1,2,1,40.09106,1486078415690,-1,-1,39.55603,1486078415156
5,15,1,0.3,1,0,4,43.15561,1486078418754,-1,-1,42.62221,1486078418223
5,16,1,0.3,1,2,1,46.19297,1486078421791,-1,-1,45.65592,1486078421257
5,17,1,0.3,0,1,1,49.25597,1486078424854,-1,-1,48.7226,1486078424323
5,18,1,0.3,1,2,4,52.29085,1486078427889,-1,-1,51.75615,1486078427358
5,19,1,0.3,1,0,2,55.32302,1486078430922,-1,-1,54.82293,1486078430424
5,20,1,0.3,1,0,3,58.35655,1486078433955,-1,-1,57.8231,1486078433424
5,21,1,0.3,0,1,3,61.42491,1486078437023,-1,-1,60.85676,1486078436457
5,1,1,0.3,0,3,4,66.84339,1486078442442,-1,-1,66.30698,1486078441906
5,2,1,0.3,1,0,2,69.90733,1486078445506,-1,-1,69.37376,1486078444976
5,3,1,0.3,0,1,2,72.94434,1486078448543,-1,-1,72.44061,1486078448041
5,4,1,0.3,1,2,6,76.04079,1486078451639,-1,-1,75.47423,1486078451075
5,5,1,0.3,1,0,3,79.10769,1486078454706,-1,-1,78.54142,1486078454143
5,6,1,0.3,0,1,3,82.14115,1486078457740,-1,-1,81.60779,1486078457208
5,1,1,0.3,0,3,5,87.27476,1486078462873,-1,-1,86.70815,1486078462307
5,2,1,0.3,0,1,5,90.30965,1486078465908,-1,-1,89.77503,1486078465376
5,3,1,0.3,1,0,4,93.3751,1486078468974,-1,-1,92.84227,1486078468443
5,4,1,0.3,1,1,4,96.41113,1486078472010,96.94514,1486078472544,95.87534,1486078471477
5,5,1,0.3,1,2,5,99.47543,1486078475074,-1,-1,98.94205,1486078474543
5,6,1,0.3,1,0,7,102.5132,1486078478112,-1,-1,101.9757,1486078477576
5,7,1,0.3,1,2,4,105.5426,1486078481141,-1,-1,105.0424,1486078480643
5,8,1,0.3,1,0,2,108.5764,1486078484175,-1,-1,108.0427,1486078483643
5,9,1,0.3,1,2,7,111.6434,1486078487242,-1,-1,111.1095,1486078486711
5,10,1,0.3,1,0,3,114.7096,1486078490308,-1,-1,114.1434,1486078489744
5,11,1,0.3,1,2,7,117.7444,1486078493343,-1,-1,117.2103,1486078492811
5,12,1,0.3,1,0,4,120.81,1486078496409,-1,-1,120.2768,1486078495878
5,13,1,0.3,1,0,5,123.8464,1486078499445,-1,-1,123.3102,1486078498911
5,14,1,0.3,0,1,5,126.9103,1486078502509,-1,-1,126.377,1486078501978
5,15,1,0.3,0,1,5,129.9105,1486078505509,-1,-1,129.4105,1486078505011
5,1,1,0.3,0,3,7,134.5123,1486078510111,-1,-1,134.0107,1486078509610
5,2,1,0.3,1,2,2,137.6109,1486078513209,-1,-1,137.0449,1486078512645
5,3,1,0.3,0,1,2,140.6143,1486078516213,-1,-1,140.1112,1486078515713
5,4,1,0.3,1,0,3,143.6779,1486078519276,-1,-1,143.1447,1486078518745
5,5,1,0.3,1,0,0,146.6782,1486078522277,-1,-1,146.1781,1486078521778
5,6,1,0.3,0,1,0,149.7451,1486078525344,-1,-1,149.1783,1486078524779
5,1,1,0.3,0,3,2,167.8461,1486078543445,-1,-1,167.3128,1486078542912
5,2,1,0.3,0,1,2,170.8796,1486078546478,-1,-1,170.3462,1486078545954
5,3,1,0.3,0,1,2,173.913,1486078549512,-1,-1,173.3816,1486078548982
5,1,1,0.3,0,3,2,178.18,1486078553779,-1,-1,177.6798,1486078553279
5,2,1,0.3,0,1,2,181.2134,1486078556812,-1,-1,180.7134,1486078556314
