%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,2,1488246439131,-1,1488246438615
6,0,2,1,1,0,6,1488246442197,-1,1488246441667
6,0,3,1,1,1,6,1488246445231,1488246445898,1488246444700
6,0,4,1,1,0,7,1488246448297,-1,1488246447768
6,0,5,1,1,1,7,1488246451331,1488246451865,1488246450800
6,0,6,1,1,0,2,1488246454398,-1,1488246453867
6,0,7,1,1,0,1,1488246457465,-1,1488246456935
6,0,8,1,1,0,6,1488246460498,-1,1488246459967
6,0,9,1,1,0,4,1488246463532,-1,1488246463001
6,0,10,1,1,1,4,1488246466599,1488246467132,1488246466068
6,0,11,1,1,0,5,1488246469665,-1,1488246469134
6,1,1,1,1,3,1,1488246474532,-1,1488246474000
6,1,2,1,1,0,2,1488246477566,-1,1488246477036
6,1,3,1,1,0,5,1488246480599,-1,1488246480068
6,1,4,1,1,0,1,1488246483633,-1,1488246483102
6,1,5,1,1,0,6,1488246486666,-1,1488246486136
6,1,6,1,1,0,7,1488246489700,-1,1488246489170
6,1,7,1,1,1,7,1488246492733,1488246493534,1488246492203
6,1,8,1,1,0,5,1488246495801,-1,1488246495270
6,1,9,1,1,0,0,1488246498867,-1,1488246498337
6,1,10,1,1,0,2,1488246501901,-1,1488246501370
6,1,11,1,1,0,4,1488246504934,-1,1488246504404
6,1,12,1,1,0,1,1488246507968,-1,1488246507438
6,1,13,1,1,1,1,1488246511034,1488246511768,1488246510505
6,1,14,1,1,0,4,1488246514068,-1,1488246513538
6,1,15,1,1,0,7,1488246517135,-1,1488246516605
6,1,16,1,1,0,0,1488246520168,-1,1488246519638
6,1,17,1,1,1,0,1488246523235,1488246524069,1488246522706
6,1,18,1,1,1,0,1488246526302,1488246527302,1488246525774
6,1,19,1,1,1,0,1488246529369,1488246529969,1488246528838
6,1,20,1,1,0,6,1488246532369,-1,1488246531871
6,1,21,1,1,1,6,1488246535436,1488246536003,1488246534906
6,2,1,2,1,3,7,1488246545536,-1,1488246545004
6,2,2,2,1,3,3,1488246548604,-1,1488246548074
6,2,3,2,1,0,2,1488246551670,-1,1488246551139
6,2,4,2,1,1,3,1488246554703,1488246555470,1488246554174
6,2,5,2,1,0,4,1488246557737,-1,1488246557207
6,2,6,2,1,0,1,1488246560804,-1,1488246560274
6,2,7,2,1,0,2,1488246563837,-1,1488246563308
6,2,8,2,1,1,1,1488246566904,1488246567671,1488246566374
6,2,9,2,1,0,4,1488246569938,-1,1488246569407
6,2,10,2,1,0,5,1488246572971,-1,1488246572441
6,2,11,2,1,1,4,1488246576005,1488246576705,1488246575474
6,2,12,2,1,0,3,1488246579072,-1,1488246578541
6,3,1,2,1,3,6,1488246583538,-1,1488246583007
6,3,2,2,1,3,3,1488246586573,-1,1488246586042
6,3,3,2,1,1,6,1488246589606,1488246590706,1488246589108
6,3,4,2,1,1,3,1488246592672,1488246593272,1488246592142
6,3,5,2,1,0,2,1488246595706,-1,1488246595209
6,3,6,2,1,1,3,1488246598773,1488246599573,1488246598243
6,3,7,2,1,0,4,1488246601806,-1,1488246601276
6,3,8,2,1,1,3,1488246604873,1488246606007,1488246604342
6,3,9,2,1,0,1,1488246607906,-1,1488246607409
6,3,10,2,1,0,2,1488246610940,-1,1488246610443
6,3,11,2,1,0,6,1488246614007,-1,1488246613476
6,3,12,2,1,0,4,1488246617074,-1,1488246616543
6,3,13,2,1,1,6,1488246620141,1488246620741,1488246619610
6,3,14,2,1,0,2,1488246623174,-1,1488246622644
6,3,15,2,1,0,5,1488246626208,-1,1488246625678
6,3,16,2,1,0,1,1488246629241,-1,1488246628710
6,3,17,2,0,0,6,1488246632242,1488246633042,1488246631744
6,3,18,2,1,0,4,1488246635309,-1,1488246634779
6,3,19,2,1,0,2,1488246638375,-1,1488246637844
6,3,20,2,1,0,7,1488246641408,-1,1488246640878
6,3,21,2,1,0,0,1488246644442,-1,1488246643944
6,3,22,2,1,1,7,1488246647509,1488246648776,1488246646978
6,4,1,3,1,3,7,1488246655309,-1,1488246654777
6,4,2,3,1,3,1,1488246658343,-1,1488246657813
6,4,3,3,1,3,4,1488246661343,-1,1488246660845
6,4,4,3,1,1,7,1488246664410,1488246665444,1488246663879
6,4,5,3,1,0,6,1488246667444,-1,1488246666913
6,4,6,3,1,1,4,1488246670511,1488246671377,1488246669981
6,4,7,3,1,0,5,1488246673544,-1,1488246673013
6,4,8,3,1,0,5,1488246676577,-1,1488246676046
6,4,9,3,1,0,2,1488246679611,-1,1488246679081
6,4,10,3,1,0,6,1488246682677,-1,1488246682148
6,4,11,3,1,0,4,1488246685711,-1,1488246685181
6,4,12,3,1,1,2,1488246688778,1488246689812,1488246688248
6,4,13,3,1,0,7,1488246691845,-1,1488246691314
6,5,1,3,1,3,7,1488246696778,-1,1488246696246
6,5,2,3,1,3,0,1488246699812,-1,1488246699281
6,5,3,3,1,3,4,1488246702845,-1,1488246702315
6,5,4,3,1,0,4,1488246705879,-1,1488246705381
6,5,5,3,1,1,0,1488246708946,1488246710013,1488246708415
6,5,6,3,1,0,1,1488246712012,-1,1488246711482
6,5,7,3,1,0,7,1488246715047,-1,1488246714549
6,5,8,3,1,0,2,1488246718113,-1,1488246717583
6,5,9,3,0,0,4,1488246721146,1488246722080,1488246720616
6,5,10,3,1,0,0,1488246724180,-1,1488246723682
6,5,11,3,0,1,2,1488246727247,-1,1488246726716
6,5,12,3,1,1,4,1488246730280,1488246731047,1488246729750
6,5,13,3,0,0,7,1488246733314,1488246734414,1488246732783
6,5,14,3,1,0,5,1488246736347,-1,1488246735816
