%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486140385719
2,1,1,1,0,1486140389951
2,2,0,2,0,1486140394517
2,2,2,2,0,1486140400551
2,0,2,2,0,1486140420985
2,0,2,2,1,1486140421953
2,1,4,4,0,1486140426185
2,1,4,4,1,1486140429553
2,2,6,6,0,1486140435920
2,2,6,6,1,1486140437086
2,3,7,7,0,1486140444753
2,3,7,7,1,1486140446321
2,4,4,4,0,1486140451054
2,4,4,4,1,1486140453054
2,5,6,6,0,1486140463654
2,5,6,6,1,1486140464388
2,6,2,1,0,1486140468422
2,6,6,1,0,1486140510024
2,6,1,1,0,1486140525025
2,6,1,1,1,1486140526193
2,7,5,7,0,1486140582461
2,7,5,7,1,1486140584528
2,8,4,4,0,1486140594162
2,8,4,4,1,1486140598596
2,9,3,3,0,1486140602762
2,9,3,3,1,1486140604395
2,10,7,7,0,1486140622363
2,10,7,7,1,1486140623697
2,11,1,1,0,1486140636731
2,11,1,1,1,1486140638764
2,12,1,6,0,1486140653932
2,12,1,6,1,1486140654665
2,13,4,4,0,1486140661167
2,13,4,4,1,1486140663465
2,14,1,4,0,1486140701902
2,14,1,4,1,1486140702701
2,15,5,5,0,1486140744570
2,15,5,5,1,1486140745336
2,16,2,6,0,1486140797607
2,16,6,6,0,1486140802940
2,16,6,6,1,1486140804007
2,17,7,3,0,1486140831675
2,17,7,3,1,1486140847376
2,18,2,2,0,1486140876111
2,18,2,2,1,1486140876777
2,19,5,5,0,1486140893778
2,19,5,5,1,1486140894745
2,20,5,0,0,1486140920447
2,20,5,0,1,1486140921247
2,21,5,5,0,1486140943715
2,21,5,5,1,1486140944382
2,22,5,5,0,1486140980985
2,22,5,5,1,1486140982684
2,23,0,1,0,1486141022919
2,23,0,1,1,1486141023853
2,24,0,0,0,1486141045554
2,24,0,0,1,1486141047420
2,25,5,5,0,1486141072289
2,25,5,5,1,1486141072988
2,26,1,3,0,1486141108190
2,26,1,3,1,1486141113757
2,27,7,6,0,1486141128893
2,27,7,6,1,1486141130425
2,28,1,1,0,1486141145059
2,28,1,1,1,1486141146126
2,29,7,2,0,1486141161195
2,29,7,2,1,1486141164194
2,30,0,0,0,1486141176995
2,30,0,0,1,1486141178495
2,31,2,2,0,1486141198596
2,31,2,2,1,1486141199996
2,32,5,0,0,1486141236298
2,32,5,0,1,1486141237798
2,33,6,6,0,1486141297801
2,33,6,6,1,1486141298602
2,34,3,3,0,1486141318336
2,34,3,3,1,1486141319903
2,35,0,0,0,1486141336004
2,35,0,0,1,1486141337770
2,36,2,2,0,1486141346137
2,36,2,2,1,1486141346804
2,37,3,3,0,1486141364172
2,37,4,3,0,1486141391340
2,37,4,3,1,1486141392106
2,38,2,4,0,1486141441776
2,38,4,4,0,1486141463812
2,38,4,4,1,1486141468811
2,39,6,6,0,1486141498613
2,39,6,6,1,1486141499980
2,40,7,7,0,1486141524515
2,40,7,7,1,1486141525581
2,41,5,5,0,1486141569450
