%Recollect Version 2.3. Scene/Level: , Session: 2, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,1,2,0.3,1,3,3,2.220352,1486584544629,-1,-1,1.687429,1486584544097
6,2,2,0.3,1,3,1,5.253853,1486584547663,-1,-1,4.720984,1486584547133
6,3,2,0.3,1,2,1,8.254154,1486584550663,-1,-1,7.753998,1486584550165
6,4,2,0.3,1,2,0,11.35419,1486584553763,-1,-1,10.78758,1486584553199
6,5,2,0.3,1,1,1,14.42103,1486584556830,15.05472,1486584557464,13.85436,1486584556267
6,6,2,0.3,1,0,2,17.42121,1486584559830,-1,-1,16.92119,1486584559332
6,7,2,0.3,0,1,1,20.45472,1486584562863,-1,-1,19.92175,1486584562335
6,8,2,0.3,0,2,1,23.45489,1486584565864,24.48837,1486584566897,22.95485,1486584565366
6,9,2,0.3,1,1,1,26.45505,1486584568864,27.32263,1486584569732,25.95502,1486584568368
6,10,2,0.3,0,0,0,29.52189,1486584571931,30.08883,1486584572498,28.95576,1486584571367
6,11,2,0.3,1,0,3,32.58882,1486584574998,-1,-1,32.02251,1486584574435
6,12,2,0.3,0,2,1,35.62224,1486584578031,36.38898,1486584578798,35.1222,1486584577533
6,13,2,0.3,1,1,3,38.62248,1486584581031,40.45604,1486584582865,38.12238,1486584580535
6,14,2,0.3,1,0,2,41.62359,1486584584032,-1,-1,41.12255,1486584583534
6,15,2,0.3,1,0,0,44.65609,1486584587065,-1,-1,44.15596,1486584586568
6,16,2,0.3,1,2,3,47.65625,1486584590065,-1,-1,47.15621,1486584589568
6,17,2,0.3,1,0,1,50.6566,1486584593065,-1,-1,50.15636,1486584592568
6,18,2,0.3,1,1,3,53.68991,1486584596099,54.19028,1486584596599,53.1899,1486584595601
6,19,2,0.3,1,0,2,56.72338,1486584599132,-1,-1,56.19006,1486584598602
6,20,2,0.3,1,0,0,59.79027,1486584602199,-1,-1,59.22417,1486584601635
6,21,2,0.3,1,1,2,62.82377,1486584605232,63.42403,1486584605833,62.29041,1486584604702
6,22,2,0.3,1,2,2,65.82394,1486584608233,-1,-1,65.32391,1486584607736
6,1,3,0.3,1,3,1,70.34084,1486584612750,-1,-1,69.77451,1486584612184
6,2,3,0.3,1,3,3,73.37436,1486584615783,-1,-1,72.841,1486584615252
6,3,3,0.3,1,3,0,76.4083,1486584618817,-1,-1,75.8745,1486584618287
6,4,3,0.3,1,0,2,79.44139,1486584621850,-1,-1,78.94126,1486584621353
6,5,3,0.3,1,2,0,82.47487,1486584624884,-1,-1,81.94151,1486584624353
6,6,3,0.3,1,1,0,85.50834,1486584627917,86.20853,1486584628617,84.97504,1486584627386
6,7,3,0.3,1,2,0,88.54188,1486584630951,-1,-1,88.0089,1486584630421
6,8,3,0.3,0,1,0,91.54211,1486584633951,-1,-1,91.04202,1486584633454
6,9,3,0.3,1,2,3,94.57556,1486584636984,-1,-1,94.04218,1486584636453
6,10,3,0.3,0,1,0,97.60915,1486584640018,-1,-1,97.07593,1486584639487
6,11,3,0.3,0,2,3,100.6096,1486584643018,101.4092,1486584643818,100.1092,1486584642521
6,12,3,0.3,1,0,2,103.6427,1486584646051,-1,-1,103.1427,1486584645554
6,13,3,0.3,1,0,2,106.6762,1486584649085,-1,-1,106.1429,1486584648554
6,14,3,0.3,1,0,1,109.7431,1486584652152,-1,-1,109.1764,1486584651588
6,15,3,0.3,0,0,0,112.8102,1486584655219,113.5767,1486584655986,112.2434,1486584654655
6,16,3,0.3,1,1,2,115.9101,1486584658319,116.3769,1486584658786,115.3439,1486584657755
6,17,3,0.3,1,0,3,118.9103,1486584661319,-1,-1,118.4102,1486584660822
6,18,3,0.3,1,2,2,121.9772,1486584664386,-1,-1,121.4106,1486584663822
6,19,3,0.3,1,0,1,124.9774,1486584667386,-1,-1,124.4773,1486584666890
6,20,3,0.3,1,1,3,128.0441,1486584670453,128.8444,1486584671253,127.4774,1486584669889
6,21,3,0.3,1,0,0,131.0785,1486584673487,-1,-1,130.5446,1486584672957
6,22,3,0.3,1,1,1,134.1445,1486584676553,135.0447,1486584677454,133.6111,1486584676024
6,23,3,0.3,1,2,0,137.1783,1486584679587,-1,-1,136.6446,1486584679056
6,1,4,0.3,1,3,1,145.745,1486584688154,-1,-1,145.1784,1486584687588
6,2,4,0.3,1,3,3,148.7791,1486584691188,-1,-1,148.2452,1486584690659
6,3,4,0.3,1,3,2,151.8454,1486584694254,-1,-1,151.3122,1486584693723
6,4,4,0.3,1,3,0,154.8456,1486584697254,-1,-1,154.3456,1486584696757
6,5,4,0.3,0,2,3,157.9124,1486584700321,159.1126,1486584701522,157.3458,1486584699757
6,6,4,0.3,1,0,0,160.9126,1486584703321,-1,-1,160.4126,1486584702824
6,7,4,0.3,1,0,1,163.9128,1486584706322,-1,-1,163.4127,1486584705825
6,8,4,0.3,1,0,1,166.9463,1486584709355,-1,-1,166.4129,1486584708824
6,9,4,0.3,0,2,0,169.9799,1486584712389,170.5132,1486584712922,169.4465,1486584711858
6,10,4,0.3,1,1,0,173.0468,1486584715455,173.7807,1486584716190,172.4804,1486584714892
6,11,4,0.3,1,2,0,176.0802,1486584718489,-1,-1,175.5469,1486584717959
6,12,4,0.3,0,0,2,179.0803,1486584721489,180.0805,1486584722489,178.5802,1486584720992
6,13,4,0.3,1,0,3,182.1472,1486584724556,-1,-1,181.5806,1486584723992
6,14,4,0.3,1,1,0,185.1806,1486584727589,185.9475,1486584728356,184.6474,1486584727058
6,15,4,0.3,1,0,3,188.2475,1486584730656,-1,-1,187.6812,1486584730092
6,16,4,0.3,1,2,0,191.3144,1486584733723,-1,-1,190.7482,1486584733160
6,17,4,0.3,1,0,1,194.3483,1486584736757,-1,-1,193.8146,1486584736227
6,18,4,0.3,0,1,0,197.4146,1486584739823,-1,-1,196.8813,1486584739294
6,19,4,0.3,1,1,3,200.4482,1486584742857,201.6151,1486584744024,199.9148,1486584742327
