%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1488238884826
2,1,1,1,0,1488238887191
2,2,2,2,0,1488238894290
2,0,2,2,0,1488238907691
2,0,2,2,1,1488238908358
2,1,4,4,0,1488238910525
2,1,4,4,1,1488238911258
2,2,6,6,0,1488238913925
2,2,6,6,1,1488238914492
2,3,7,7,0,1488238922626
2,3,7,7,1,1488238923325
2,4,4,4,0,1488238926559
2,4,4,4,1,1488238927192
2,5,6,6,0,1488238940660
2,5,6,6,1,1488238941593
2,6,1,1,0,1488238950660
2,6,1,1,1,1488238952227
2,7,7,7,0,1488238963228
2,7,7,7,1,1488238963661
2,8,4,4,0,1488238968895
2,8,4,4,1,1488238969594
2,9,3,3,0,1488238974062
2,9,3,3,1,1488238974961
2,10,7,7,0,1488238982428
2,10,7,7,1,1488238983128
2,11,1,1,0,1488238990062
2,11,1,1,1,1488238999496
2,12,6,6,0,1488239007964
2,12,6,6,1,1488239017864
2,13,4,4,0,1488239024231
2,13,4,4,1,1488239030699
2,14,4,4,0,1488239063467
2,14,4,4,1,1488239064200
2,15,5,5,0,1488239088735
2,15,5,5,1,1488239089768
2,16,6,6,0,1488239113670
2,16,6,6,1,1488239114670
2,17,3,3,0,1488239132271
2,17,3,3,1,1488239134570
2,18,2,2,0,1488239145605
2,18,2,2,1,1488239146338
2,19,5,5,0,1488239155672
2,19,5,5,1,1488239157538
2,20,5,0,0,1488239173739
2,20,0,0,0,1488239181640
2,20,0,0,1,1488239187174
2,21,5,5,0,1488239202275
2,21,5,5,1,1488239202841
2,22,5,5,0,1488239217709
2,22,5,5,1,1488239221009
2,23,0,1,0,1488239230676
2,23,0,1,1,1488239231376
2,24,0,0,0,1488239238810
2,24,0,0,1,1488239239710
2,25,0,5,0,1488239249577
2,25,0,5,1,1488239250279
2,26,2,3,0,1488239258444
2,26,2,3,1,1488239261444
2,27,6,6,0,1488239273612
2,27,6,6,1,1488239274211
2,28,1,1,0,1488239284246
2,28,1,1,1,1488239284912
2,29,2,2,0,1488239296814
2,29,2,2,1,1488239298713
2,30,0,0,0,1488239315181
2,30,0,0,1,1488239316147
2,31,2,2,0,1488239343361
2,31,2,2,1,1488239347560
2,32,5,0,0,1488239353561
2,32,5,0,1,1488239354928
2,33,6,6,0,1488239360128
2,33,6,6,1,1488239363295
2,34,3,3,0,1488239378396
2,34,0,3,0,1488239392530
2,34,3,3,0,1488239398297
2,34,3,3,1,1488239403164
2,35,2,0,0,1488239423799
2,35,2,0,1,1488239425598
2,36,2,2,0,1488239449833
2,36,2,2,1,1488239451201
2,37,3,3,0,1488239460801
2,37,3,3,1,1488239466668
2,38,4,4,0,1488239491802
2,38,4,4,1,1488239492636
2,39,2,6,0,1488239521904
2,39,6,6,0,1488239526437
2,39,6,6,1,1488239527937
2,40,0,7,0,1488239542639
2,40,0,7,1,1488239543472
2,41,5,5,0,1488239560640
