%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488241231607,1488241239139
1,1,34,34,0,1488241240141,1488241246072
2,0,52,52,0,1488241249474,1488241255606
2,1,36,36,0,1488241256608,1488241262606
2,2,368,368,0,1488241263608,1488241272007
2,3,208,208,0,1488241273009,1488241280907
2,4,2306,2306,0,1488241281910,1488241293142
2,5,5047,5047,0,1488241294143,1488241304909
2,6,41075,41075,0,1488241305877,1488241321910
2,7,31620,31620,0,1488241322912,1488241335011
2,8,281376,281376,0,1488241335979,1488241352112
2,9,816508,816508,0,1488241353080,1488241367646
2,10,4806317,4806317,0,1488241368648,1488241384781
2,11,0851680,0851680,0,1488241385748,1488241402381
2,12,47081536,,0,1488241403349,1488241427015
2,13,25408016,25408016,0,1488241428017,1488241445968
2,14,315706824,315706842,0,1488241446969,1488241470668
2,15,427601358,427601385,0,1488241471637,1488241495536
3,0,60,06,0,1488241502973,1488241509971
3,1,24,42,0,1488241510973,1488241518071
4,0,51,15,0,1488241539208,1488241546106
4,1,37,73,0,1488241547107,1488241553939
4,2,630,036,0,1488241554908,1488241563340
4,3,580,085,0,1488241564308,1488241574207
4,4,5683,3865,0,1488241575209,1488241585175
4,5,2841,1482,0,1488241586176,1488241597675
4,6,47812,21874,0,1488241598677,1488241612709
4,7,03415,51430,0,1488241613678,1488241625744
4,8,507613,316705,0,1488241626746,1488241643645
4,9,073280,082370,0,1488241644646,1488241667146
4,10,4083671,1763804,0,1488241668148,1488241687714
4,11,8027308,8037280,0,1488241688716,1488241715648
4,12,52480873,73808425,0,1488241716617,1488241744184
4,13,41807263,3627081,0,1488241745152,1488241763218
