%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1488243012941,1488243014007
1,1,1,1,1,1488243014975,1488243015808
1,2,1,1,1,1488243016808,1488243017441
1,3,1,0,0,1488243018442,1488243019408
2,0,1,1,1,1488243025943,1488243026642
2,1,1,1,1,1488243027642,1488243028308
2,2,1,0,0,1488243029309,1488243029975
2,3,1,0,0,1488243030942,1488243031575
2,4,1,1,1,1488243032576,1488243033209
2,5,1,1,1,1488243034177,1488243034842
2,6,1,0,0,1488243035842,1488243036509
2,7,1,1,1,1488243037509,1488243038076
2,8,1,1,1,1488243039077,1488243039709
2,9,1,0,0,1488243040709,1488243041309
2,10,1,0,0,1488243042276,1488243042910
2,11,1,0,0,1488243043877,1488243044476
3,0,0,0,1,1488243047110,1488243048210
3,1,0,1,0,1488243049210,1488243049876
3,2,0,0,1,1488243050877,1488243051543
3,3,0,1,0,1488243052544,1488243053310
4,0,0,0,1,1488243057027,1488243057660
4,1,0,1,0,1488243058627,1488243059194
4,2,0,1,0,1488243060161,1488243060728
4,3,0,0,1,1488243061727,1488243062261
4,4,0,1,0,1488243063261,1488243063827
4,5,0,1,0,1488243064828,1488243065427
4,6,0,0,1,1488243066428,1488243066960
4,7,0,0,1,1488243067961,1488243068594
4,8,0,0,1,1488243069561,1488243070127
4,9,0,1,0,1488243071128,1488243071694
4,10,0,1,0,1488243072695,1488243073194
4,11,0,0,1,1488243074195,1488243074695
5,0,1,0,0,1488243077411,1488243078445
5,1,0,1,0,1488243079445,1488243080178
5,2,0,0,1,1488243081145,1488243081945
5,3,1,1,1,1488243082946,1488243083878
6,0,1,1,1,1488243086512,1488243087078
6,1,0,1,0,1488243088079,1488243088678
6,2,0,0,1,1488243089679,1488243090445
6,3,1,1,1,1488243091446,1488243092246
6,4,0,1,0,1488243093246,1488243094546
6,5,0,1,0,1488243095546,1488243096213
6,6,0,0,1,1488243097180,1488243098246
6,7,1,0,0,1488243099246,1488243100012
6,8,1,1,1,1488243101014,1488243101813
6,9,1,0,0,1488243102813,1488243103446
6,10,0,0,1,1488243104446,1488243105246
6,11,1,1,1,1488243106246,1488243106980
6,12,1,1,1,1488243107980,1488243108846
6,13,0,1,0,1488243109847,1488243111013
6,14,0,0,1,1488243112015,1488243112780
6,15,0,1,0,1488243113780,1488243114680
6,16,1,1,1,1488243115647,1488243116447
6,17,1,0,0,1488243117447,1488243118147
6,18,0,1,0,1488243119147,1488243119914
6,19,0,0,1,1488243120915,1488243121580
6,20,1,0,0,1488243122581,1488243123280
6,21,0,1,0,1488243124281,1488243125147
6,22,0,1,0,1488243126148,1488243127848
6,23,0,0,1,1488243128848,1488243129614
6,24,1,0,0,1488243130614,1488243131381
6,25,0,0,1,1488243132348,1488243133348
6,26,1,1,1,1488243134348,1488243135248
6,27,0,1,0,1488243136248,1488243137082
6,28,1,0,0,1488243138082,1488243138849
6,29,0,0,1,1488243139848,1488243140648
6,30,0,0,1,1488243141616,1488243142382
6,31,0,1,0,1488243143349,1488243144248
6,32,1,0,0,1488243145249,1488243146016
6,33,1,0,0,1488243147015,1488243147682
6,34,1,0,0,1488243148682,1488243149216
6,35,0,1,0,1488243150216,1488243151082
6,36,1,1,1,1488243152082,1488243152916
6,37,0,0,1,1488243153916,1488243154815
6,38,1,0,0,1488243155816,1488243156616
6,39,0,0,1,1488243157616,1488243158416
6,40,1,1,1,1488243159417,1488243160249
6,41,0,0,1,1488243161250,1488243162049
6,42,1,0,0,1488243163050,1488243163849
6,43,1,1,1,1488243164817,1488243165683
6,44,1,1,1,1488243166683,1488243167717
6,45,0,1,0,1488243168717,1488243169516
6,46,1,0,0,1488243170517,1488243171250
6,47,1,1,1,1488243172251,1488243173016
