%Recollect Version 2.3. Scene/Level: , Game Number: 000
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,0,3,3,6.519897,1486069953137,-1,-1,5.98645,1486069952600
3,2,2,0.3,0,3,0,9.591187,1486069956204,-1,-1,9.057983,1486069955673
3,3,2,0.3,0,0,2,12.65576,1486069959268,13.55334,1486069960166,12.12183,1486069958738
3,4,2,0.3,1,0,1,15.72095,1486069962333,-1,-1,15.18774,1486069961803
3,5,2,0.3,1,1,2,18.78699,1486069965399,19.48706,1486069966100,18.25366,1486069964869
3,6,2,0.3,0,1,1,21.82068,1486069968433,-1,-1,21.28735,1486069967908
3,7,2,0.3,0,2,1,24.88892,1486069971501,25.52075,1486069972133,24.32092,1486069970936
3,8,2,0.3,0,0,3,27.95752,1486069974570,29.08765,1486069975700,27.42371,1486069974039
3,9,2,0.3,0,1,1,31.02197,1486069977634,-1,-1,30.48828,1486069977103
3,10,2,0.3,0,2,1,34.12122,1486069980734,35.22131,1486069981834,33.55457,1486069980171
3,11,2,0.3,1,0,0,37.18811,1486069983801,-1,-1,36.62439,1486069983241
3,12,2,0.3,0,2,0,40.2218,1486069986834,40.68835,1486069987301,39.68848,1486069986305
3,13,2,0.3,1,0,2,43.25916,1486069989872,-1,-1,42.7262,1486069989341
3,14,2,0.3,1,1,0,46.32495,1486069992937,47.25537,1486069993868,45.79053,1486069992406
3,15,2,0.3,1,0,3,49.38977,1486069996002,-1,-1,48.85547,1486069995470
3,16,2,0.3,1,0,1,52.45557,1486069999068,-1,-1,51.92236,1486069998538
3,17,2,0.3,1,1,3,55.45618,1486070002069,56.02246,1486070002635,54.95569,1486070001576
3,18,2,0.3,1,0,2,58.49109,1486070005104,-1,-1,57.95776,1486070004573
3,19,2,0.3,1,1,3,61.5564,1486070008169,62.15613,1486070008770,61.02307,1486070007638
3,20,2,0.3,1,2,3,64.62305,1486070011236,-1,-1,64.0896,1486070010704
3,21,2,0.3,0,2,2,67.65662,1486070014269,68.75659,1486070015369,67.12329,1486070013744
3,22,2,0.3,1,2,2,70.72815,1486070017341,-1,-1,70.19458,1486070016811
3,1,1,0.3,1,3,1,89.14233,1486070035755,-1,-1,88.57434,1486070035187
3,2,1,0.3,1,0,3,92.20789,1486070038820,-1,-1,91.67456,1486070038290
3,3,1,0.3,1,0,2,95.27466,1486070041887,-1,-1,94.70813,1486070041329
3,4,1,0.3,1,0,0,98.34167,1486070044954,-1,-1,97.78003,1486070044395
3,5,1,0.3,1,2,2,101.3795,1486070047992,-1,-1,100.845,1486070047461
3,6,1,0.3,1,0,3,104.4442,1486070051057,-1,-1,103.91,1486070050525
3,7,1,0.3,1,0,0,107.5089,1486070054121,-1,-1,106.9753,1486070053591
3,8,1,0.3,1,2,3,110.5754,1486070057188,-1,-1,110.009,1486070056630
3,9,1,0.3,1,0,1,113.6093,1486070060222,-1,-1,113.0758,1486070059697
3,10,1,0.3,1,1,1,116.6813,1486070063294,117.176,1486070063789,116.1425,1486070062757
3,11,1,0.3,1,2,2,119.7462,1486070066359,-1,-1,119.213,1486070065828
3,12,1,0.3,1,2,1,122.8116,1486070069424,-1,-1,122.2773,1486070068892
3,13,1,0.3,1,2,2,125.8772,1486070072490,-1,-1,125.3431,1486070071958
3,14,1,0.3,1,2,1,128.9766,1486070075589,-1,-1,128.4099,1486070075025
3,15,1,0.3,1,1,1,132.0109,1486070078623,132.5436,1486070079156,131.4771,1486070078093
3,16,1,0.3,1,1,1,135.0481,1486070081660,135.6772,1486070082290,134.514,1486070081129
3,17,1,0.3,1,1,1,138.1125,1486070084725,138.6105,1486070085223,137.5785,1486070084194
3,18,1,0.3,1,0,2,141.1777,1486070087790,-1,-1,140.6444,1486070087261
3,19,1,0.3,1,1,2,144.2441,1486070090857,144.744,1486070091357,143.7109,1486070090326
3,20,1,0.3,1,1,2,147.2777,1486070093890,147.8112,1486070094424,146.7445,1486070093365
3,21,1,0.3,1,0,3,150.3501,1486070096962,-1,-1,149.8167,1486070096432
3,1,2,0.3,1,3,1,168.7738,1486070175945,-1,-1,168.207,1486070175378
3,2,2,0.3,1,3,3,171.8074,1486070178978,-1,-1,171.274,1486070178448
3,3,2,0.3,1,1,1,174.8459,1486070182017,175.374,1486070182545,174.3126,1486070181486
3,4,2,0.3,1,0,0,177.9115,1486070185082,-1,-1,177.3771,1486070184551
3,5,2,0.3,1,2,3,180.9766,1486070188147,-1,-1,180.4421,1486070187616
3,6,2,0.3,1,0,2,184.0421,1486070191213,-1,-1,183.5078,1486070190681
3,7,2,0.3,1,1,3,187.1415,1486070194312,188.0425,1486070195214,186.5748,1486070193748
3,8,2,0.3,1,1,2,190.1753,1486070197346,190.9423,1486070198113,189.6416,1486070196816
3,9,2,0.3,1,0,0,193.2126,1486070200384,-1,-1,192.6796,1486070199854
3,10,2,0.3,1,2,0,196.2786,1486070203449,-1,-1,195.7449,1486070202919
3,11,2,0.3,1,2,2,199.3436,1486070206514,-1,-1,198.8096,1486070205983
3,12,2,0.3,1,2,2,202.4091,1486070209580,-1,-1,201.8762,1486070209049
3,13,2,0.3,0,1,2,205.4426,1486070212614,-1,-1,204.9094,1486070212088
3,14,2,0.3,0,0,0,208.5112,1486070215682,210.0098,1486070217181,207.9805,1486070215154
3,15,2,0.3,1,0,1,211.5812,1486070218752,-1,-1,211.0454,1486070218220
3,16,2,0.3,1,1,0,214.6447,1486070221816,215.6765,1486070222848,214.1104,1486070221284
3,17,2,0.3,1,0,3,217.7104,1486070224881,-1,-1,217.1766,1486070224351
3,18,2,0.3,1,0,2,220.7767,1486070227948,-1,-1,220.2434,1486070227418
3,19,2,0.3,1,1,3,223.8104,1486070230981,224.4104,1486070231582,223.277,1486070230456
3,20,2,0.3,0,2,3,226.8834,1486070234054,227.5437,1486070234715,226.3115,1486070233485
3,21,2,0.3,0,2,2,229.9486,1486070237120,230.5109,1486070237682,229.4147,1486070236588
3,22,2,0.3,1,0,0,233.0442,1486070240215,-1,-1,232.4778,1486070239651
3,1,2,0.3,1,3,0,247.5782,1486070254749,-1,-1,247.045,1486070254217
3,2,2,0.3,1,3,2,250.6134,1486070257784,-1,-1,250.079,1486070257253
3,3,2,0.3,1,0,3,253.6786,1486070260849,-1,-1,253.1453,1486070260319
3,4,2,0.3,0,0,0,256.7123,1486070263883,257.8124,1486070264983,256.1788,1486070263357
3,5,2,0.3,0,1,3,259.8125,1486070266983,-1,-1,259.2455,1486070266419
3,6,2,0.3,1,0,1,262.847,1486070270018,-1,-1,262.3163,1486070269490
3,7,2,0.3,1,2,1,265.915,1486070273086,-1,-1,265.381,1486070272554
3,8,2,0.3,1,1,1,268.9806,1486070276151,270.1798,1486070277351,268.4462,1486070275620
3,9,2,0.3,1,0,2,272.0796,1486070279250,-1,-1,271.5129,1486070278686
3,10,2,0.3,1,0,0,275.1465,1486070282317,-1,-1,274.5802,1486070281755
3,11,2,0.3,1,0,3,278.1802,1486070285351,-1,-1,277.6473,1486070284821
3,12,2,0.3,1,1,0,281.2173,1486070288388,281.8474,1486070289019,280.683,1486070287856
3,13,2,0.3,1,2,0,284.2822,1486070291453,-1,-1,283.7477,1486070290921
3,14,2,0.3,1,0,2,287.3474,1486070294518,-1,-1,286.8138,1486070293987
3,15,2,0.3,1,2,2,290.4141,1486070297585,-1,-1,289.8806,1486070297054
3,16,2,0.3,1,1,2,293.4476,1486070300619,294.0818,1486070301253,292.9146,1486070300093
3,17,2,0.3,1,2,3,296.5195,1486070303690,-1,-1,295.9482,1486070303122
3,18,2,0.3,1,1,2,299.5845,1486070306755,300.2145,1486070307386,299.0504,1486070306224
3,19,2,0.3,1,2,2,302.649,1486070309820,-1,-1,302.1149,1486070309289
3,20,2,0.3,1,1,2,305.7482,1486070312919,306.4484,1486070313619,305.1815,1486070312355
3,21,2,0.3,1,0,1,308.7819,1486070315953,-1,-1,308.2485,1486070315422
3,22,2,0.3,1,2,1,311.8485,1486070319019,-1,-1,311.2874,1486070318461
3,1,2,0.3,1,3,0,317.5823,1486070324753,-1,-1,317.0488,1486070324221
3,2,2,0.3,1,3,3,320.6489,1486070327820,-1,-1,320.0879,1486070327261
3,3,2,0.3,1,2,3,323.6857,1486070330857,-1,-1,323.1528,1486070330326
3,4,2,0.3,1,1,3,326.7506,1486070333922,327.3828,1486070334554,326.2173,1486070333391
3,5,2,0.3,1,0,0,329.8174,1486070336988,-1,-1,329.283,1486070336458
3,6,2,0.3,1,0,2,332.8833,1486070340054,-1,-1,332.3499,1486070339523
3,7,2,0.3,1,0,1,335.9503,1486070343121,-1,-1,335.3882,1486070342562
3,8,2,0.3,1,1,2,338.9883,1486070346159,339.6508,1486070346822,338.4536,1486070345627
3,9,2,0.3,1,2,2,342.0531,1486070349224,-1,-1,341.5192,1486070348692
3,10,2,0.3,0,2,1,345.1184,1486070352289,345.8174,1486070352988,344.5837,1486070351758
3,11,2,0.3,1,1,2,348.1838,1486070355355,349.1852,1486070356356,347.6505,1486070354824
3,12,2,0.3,1,1,1,351.2175,1486070358388,351.9849,1486070359162,350.6841,1486070357860
3,13,2,0.3,1,2,1,354.2845,1486070361460,-1,-1,353.7561,1486070360929
3,14,2,0.3,1,1,1,357.3549,1486070364526,358.2513,1486070365422,356.7847,1486070363958
3,15,2,0.3,1,0,3,360.4204,1486070367591,-1,-1,359.8846,1486070367058
3,16,2,0.3,1,0,2,363.4852,1486070370656,-1,-1,362.952,1486070370125
3,17,2,0.3,1,0,0,366.5184,1486070373689,-1,-1,366.0181,1486070373191
3,18,2,0.3,0,0,1,369.5853,1486070376757,370.4852,1486070377656,369.0186,1486070376193
3,19,2,0.3,1,2,1,372.657,1486070379828,-1,-1,372.123,1486070379297
3,20,2,0.3,1,2,0,375.7213,1486070382892,-1,-1,375.1877,1486070382361
3,21,2,0.3,1,1,1,378.7871,1486070385958,380.0883,1486070387259,378.2528,1486070385426
3,22,2,0.3,1,0,3,381.8857,1486070389057,-1,-1,381.3191,1486070388493
3,1,3,0.3,1,3,0,400.2887,1486070407460,-1,-1,399.7201,1486070406891
3,2,3,0.3,1,3,3,403.3547,1486070410526,-1,-1,402.8206,1486070409994
3,3,3,0.3,1,3,1,406.4539,1486070413625,-1,-1,405.8875,1486070413061
3,4,3,0.3,1,2,3,409.4875,1486070416658,-1,-1,408.9542,1486070416128
3,5,3,0.3,1,0,2,412.5254,1486070419696,-1,-1,411.9921,1486070419165
3,6,3,0.3,1,0,0,415.5909,1486070422762,-1,-1,415.056,1486070422229
3,7,3,0.3,0,1,3,418.6555,1486070425826,-1,-1,418.1211,1486070425295
3,8,3,0.3,0,0,1,421.7214,1486070428892,423.2549,1486070430427,421.188,1486070428362
3,9,3,0.3,0,0,1,424.7218,1486070431893,426.0558,1486070433227,424.2216,1486070431399
3,10,3,0.3,0,1,3,427.7583,1486070434929,-1,-1,427.2242,1486070434398
3,11,3,0.3,1,0,0,430.8219,1486070437993,-1,-1,430.2889,1486070437463
3,12,3,0.3,0,2,3,433.8888,1486070441060,435.0222,1486070442193,433.322,1486070440496
3,13,3,0.3,1,0,2,436.9224,1486070444094,-1,-1,436.389,1486070443567
3,14,3,0.3,1,2,3,440.0225,1486070447193,-1,-1,439.4637,1486070446638
3,15,3,0.3,0,0,1,443.0559,1486070450228,443.9227,1486070451094,442.5253,1486070449699
3,16,3,0.3,1,1,2,446.1252,1486070453296,446.9906,1486070454162,445.556,1486070452729
3,17,3,0.3,0,1,3,449.1901,1486070456361,-1,-1,448.6563,1486070455831
3,18,3,0.3,0,2,2,452.2898,1486070459461,453.9569,1486070461128,451.723,1486070458897
3,19,3,0.3,1,1,2,455.2906,1486070462461,455.7233,1486070462894,454.79,1486070461965
3,20,3,0.3,1,1,3,458.3617,1486070465533,460.7905,1486070467962,457.8284,1486070465002
3,21,3,0.3,1,2,3,461.4242,1486070468595,-1,-1,460.8932,1486070468067
3,22,3,0.3,0,2,3,464.4917,1486070471663,465.424,1486070472595,463.9578,1486070471131
3,23,3,0.3,0,0,1,467.5575,1486070474728,467.8616,1486070475033,467.0247,1486070474198
3,1,2,0.3,0,3,2,485.9583,1486070493127,-1,-1,485.3916,1486070492561
3,2,2,0.3,0,3,1,488.9921,1486070496161,-1,-1,488.4586,1486070495630
3,3,2,0.3,1,0,3,492.0303,1486070499199,-1,-1,491.4963,1486070498670
3,4,2,0.3,0,2,3,495.0957,1486070502265,496.426,1486070503595,494.5615,1486070501733
3,5,2,0.3,1,1,3,498.1608,1486070505330,499.1257,1486070506295,497.6262,1486070504798
3,6,2,0.3,1,1,3,501.226,1486070508395,501.9934,1486070509163,500.6925,1486070507864
3,7,2,0.3,1,2,0,504.2598,1486070511429,-1,-1,503.7262,1486070510902
3,8,2,0.3,1,0,1,507.3264,1486070514495,-1,-1,506.7928,1486070513970
3,9,2,0.3,1,0,2,510.36,1486070517529,-1,-1,509.8267,1486070517000
3,10,2,0.3,1,2,2,513.3933,1486070520562,-1,-1,512.8613,1486070520032
3,11,2,0.3,1,1,2,516.4275,1486070523597,516.9941,1486070524164,515.8936,1486070523065
3,12,2,0.3,1,0,3,519.5271,1486070526696,-1,-1,518.9653,1486070526138
3,13,2,0.3,1,1,2,522.5647,1486070529734,523.1606,1486070530330,522.0315,1486070529203
3,14,2,0.3,1,2,2,525.6296,1486070532799,-1,-1,525.0957,1486070532268
3,15,2,0.3,0,2,3,528.6953,1486070535865,529.3608,1486070536530,528.1616,1486070535333
3,16,2,0.3,1,0,0,531.7942,1486070538963,-1,-1,531.2275,1486070538399
3,17,2,0.3,0,0,1,534.8279,1486070541997,536.5952,1486070543765,534.2947,1486070541466
3,18,2,0.3,1,2,1,537.8948,1486070545064,-1,-1,537.3296,1486070544501
3,19,2,0.3,0,0,3,540.9324,1486070548102,541.4946,1486070548664,540.3984,1486070547570
3,20,2,0.3,0,1,1,543.9971,1486070551166,-1,-1,543.4629,1486070550635
3,21,2,0.3,0,1,3,547.0618,1486070554231,-1,-1,546.5288,1486070553700
3,22,2,0.3,1,0,2,550.0957,1486070557265,-1,-1,549.562,1486070556739
3,1,1,0.3,1,3,1,568.4634,1486070575633,-1,-1,567.9297,1486070575099
3,2,1,0.3,1,1,1,571.53,1486070578699,572.2634,1486070579433,571.0034,1486070578175
3,3,1,0.3,1,0,0,574.6008,1486070581770,-1,-1,574.0676,1486070581239
3,4,1,0.3,1,0,3,577.666,1486070584835,-1,-1,577.1326,1486070584304
3,5,1,0.3,1,0,2,580.7317,1486070587901,-1,-1,580.1973,1486070587370
3,6,1,0.3,1,1,2,583.7971,1486070590966,584.3994,1486070591569,583.2639,1486070590436
3,7,1,0.3,1,0,1,586.8308,1486070594000,-1,-1,586.2974,1486070593474
3,8,1,0.3,1,2,2,589.8977,1486070597072,-1,-1,589.3315,1486070596503
3,9,1,0.3,1,1,2,592.9675,1486070600137,593.6663,1486070600836,592.4331,1486070599605
3,10,1,0.3,1,1,2,596.033,1486070603202,597.0334,1486070604203,595.4983,1486070602670
3,11,1,0.3,1,2,3,599.0981,1486070606267,-1,-1,598.5647,1486070605737
3,12,1,0.3,1,2,2,602.1316,1486070609301,-1,-1,601.5986,1486070608775
3,13,1,0.3,1,2,3,605.1985,1486070612368,-1,-1,604.6318,1486070611804
3,14,1,0.3,1,2,2,608.2322,1486070615401,-1,-1,607.6987,1486070614871
3,15,1,0.3,1,0,0,611.3354,1486070618505,-1,-1,610.7656,1486070617938
3,16,1,0.3,1,2,2,614.4011,1486070621570,-1,-1,613.8667,1486070621038
3,17,1,0.3,1,1,2,617.4658,1486070624635,618.1326,1486070625308,616.9324,1486070624104
3,18,1,0.3,1,1,2,620.5325,1486070627702,621.2329,1486070628402,619.9661,1486070627144
3,19,1,0.3,1,0,3,623.5996,1486070630769,-1,-1,623.0378,1486070630210
3,20,1,0.3,0,0,1,626.6365,1486070633806,628.8333,1486070636002,626.103,1486070633275
3,21,1,0.3,1,0,0,629.7332,1486070636902,-1,-1,629.1663,1486070636338
3,1,2,0.3,1,3,2,648.0688,1486070655238,-1,-1,647.5674,1486070654737
3,2,2,0.3,1,3,1,651.1345,1486070658304,-1,-1,650.6008,1486070657773
3,3,2,0.3,1,2,1,654.168,1486070661337,-1,-1,653.6348,1486070660812
3,4,2,0.3,1,2,0,657.2354,1486070664410,-1,-1,656.7068,1486070663878
3,5,2,0.3,1,0,2,660.3069,1486070667476,-1,-1,659.7356,1486070666907
3,6,2,0.3,1,1,0,663.3713,1486070670540,664.302,1486070671471,662.8369,1486070670008
3,7,2,0.3,1,0,3,666.4353,1486070673604,-1,-1,665.9019,1486070673073
3,8,2,0.3,1,1,0,669.4688,1486070676638,670.2356,1486070677405,668.9355,1486070676113
3,9,2,0.3,1,1,3,672.5024,1486070679671,673.7021,1486070680872,671.969,1486070679141
3,10,2,0.3,1,0,1,675.6079,1486070682777,-1,-1,675.0356,1486070682208
3,11,2,0.3,1,2,1,678.6724,1486070685842,-1,-1,678.1384,1486070685311
3,12,2,0.3,1,0,2,681.7375,1486070688907,-1,-1,681.2039,1486070688376
3,13,2,0.3,1,0,0,684.8035,1486070691972,-1,-1,684.2695,1486070691441
3,14,2,0.3,1,1,2,687.9031,1486070695072,688.7363,1486070695906,687.3369,1486070694508
3,15,2,0.3,1,0,1,690.9368,1486070698106,-1,-1,690.4033,1486070697575
3,16,2,0.3,1,2,1,693.9756,1486070701145,-1,-1,693.4402,1486070700612
3,17,2,0.3,1,0,0,697.0398,1486070704209,-1,-1,696.5056,1486070703678
3,18,2,0.3,1,1,1,700.1055,1486070707275,700.9707,1486070708140,699.5708,1486070706743
3,19,2,0.3,1,2,1,703.1707,1486070710340,-1,-1,702.6382,1486070709810
3,20,2,0.3,1,0,2,706.2043,1486070713373,-1,-1,705.6709,1486070712848
3,21,2,0.3,1,2,2,709.2761,1486070716445,-1,-1,708.7378,1486070715909
3,22,2,0.3,1,1,2,712.3416,1486070719511,713.0386,1486070720208,711.8081,1486070718980
3,1,3,0.3,1,3,1,730.7095,1486070737879,-1,-1,730.2053,1486070737375
3,2,3,0.3,1,3,2,733.7739,1486070740943,-1,-1,733.2388,1486070740411
3,3,3,0.3,1,3,3,736.8391,1486070744008,-1,-1,736.3057,1486070743477
3,4,3,0.3,1,0,0,739.8728,1486070747042,-1,-1,739.3394,1486070746517
3,5,3,0.3,1,0,0,742.9397,1486070750109,-1,-1,742.4124,1486070749584
3,6,3,0.3,1,0,1,746.0105,1486070753180,-1,-1,745.4778,1486070752650
3,7,3,0.3,1,2,3,749.0757,1486070756245,-1,-1,748.542,1486070755714
3,8,3,0.3,1,2,1,752.1414,1486070759310,-1,-1,751.6077,1486070758779
3,9,3,0.3,1,0,2,755.2402,1486070762409,-1,-1,754.6736,1486070761845
3,10,3,0.3,1,2,1,758.3071,1486070765476,-1,-1,757.7405,1486070764913
3,11,3,0.3,0,0,0,761.3406,1486070768510,763.1077,1486070770277,760.8074,1486070767980
3,12,3,0.3,1,1,2,764.3784,1486070771548,764.6108,1486070771780,763.874,1486070771046
3,13,3,0.3,0,0,3,767.4434,1486070774613,768.0752,1486070775245,766.9087,1486070774081
3,14,3,0.3,0,0,3,770.5076,1486070777677,770.8079,1486070777977,769.9744,1486070777146
3,15,3,0.3,1,1,2,773.5413,1486070780711,773.8411,1486070781011,773.0078,1486070780180
3,16,3,0.3,0,1,3,776.6084,1486070783777,-1,-1,776.0803,1486070783252
3,17,3,0.3,0,2,2,779.6914,1486070807912,780.4248,1486070808646,779.1248,1486070807346
3,18,3,0.3,1,2,3,782.7275,1486070810948,-1,-1,782.1919,1486070810414
3,19,3,0.3,0,1,3,785.7959,1486070814016,-1,-1,785.2615,1486070813487
3,20,3,0.3,1,1,2,788.8921,1486070817113,789.459,1486070817680,788.3267,1486070816550
3,21,3,0.3,0,0,1,791.9255,1486070820146,792.1255,1486070820346,791.3923,1486070819616
3,22,3,0.3,0,1,3,794.9592,1486070823180,-1,-1,794.4258,1486070822653
3,23,3,0.3,1,2,1,797.9927,1486070826213,-1,-1,797.4595,1486070825683
3,1,2,0.3,1,3,1,816.3823,1486070848464,-1,-1,815.8159,1486070847898
3,2,2,0.3,1,3,2,819.416,1486070851498,-1,-1,818.8826,1486070850968
3,3,2,0.3,0,1,1,822.4539,1486070854536,-1,-1,821.9187,1486070854003
3,4,2,0.3,1,0,0,825.5496,1486070857631,-1,-1,824.9834,1486070857069
3,5,2,0.3,1,2,2,828.6528,1486070860735,-1,-1,828.083,1486070860168
3,6,2,0.3,1,0,3,831.7173,1486070863799,-1,-1,831.1841,1486070863268
3,7,2,0.3,0,1,2,834.8145,1486070897284,-1,-1,834.2485,1486070896725
3,8,2,0.3,1,2,2,837.9146,1486070900384,-1,-1,837.3479,1486070899820
3,9,2,0.3,1,0,0,840.9482,1486070903417,-1,-1,840.415,1486070902888
3,10,2,0.3,1,0,1,843.9856,1486070906455,-1,-1,843.4517,1486070905923
3,11,2,0.3,0,1,0,847.0503,1486070909519,-1,-1,846.5168,1486070908988
3,12,2,0.3,1,0,2,850.1487,1486070912618,-1,-1,849.582,1486070912054
3,13,2,0.3,0,1,0,853.2156,1486070915685,-1,-1,852.6489,1486070915121
3,14,2,0.3,1,0,3,856.283,1486070918752,-1,-1,855.7158,1486070918189
3,15,2,0.3,1,0,1,859.3826,1486070921852,-1,-1,858.8162,1486070921294
3,16,2,0.3,1,2,1,862.4495,1486070924919,-1,-1,861.8884,1486070924360
3,17,2,0.3,1,2,3,865.4871,1486070927956,-1,-1,864.9534,1486070927425
3,18,2,0.3,0,1,1,868.5515,1486070931020,-1,-1,868.0186,1486070930490
3,19,2,0.3,1,2,1,871.6499,1486070934119,-1,-1,871.0837,1486070933555
3,20,2,0.3,0,1,1,874.7166,1486070937186,-1,-1,874.1506,1486070936622
3,21,2,0.3,1,0,3,877.7834,1486070940253,-1,-1,877.217,1486070939689
3,22,2,0.3,1,2,3,880.8171,1486070943286,-1,-1,880.2839,1486070942756
3,1,1,0.3,1,3,3,899.2183,1486070961687,-1,-1,898.6516,1486070961121
3,2,1,0.3,1,0,1,902.29,1486070964759,-1,-1,901.7566,1486070964229
3,3,1,0.3,1,0,2,905.3555,1486070967825,-1,-1,904.822,1486070967294
3,4,1,0.3,1,0,0,908.4204,1486070970890,-1,-1,907.8867,1486070970358
3,5,1,0.3,1,0,3,911.4863,1486070973955,-1,-1,910.9521,1486070973424
3,6,1,0.3,1,2,0,914.5522,1486070977021,-1,-1,914.019,1486070976491
3,7,1,0.3,1,0,1,917.5862,1486070980055,-1,-1,917.0525,1486070979530
3,8,1,0.3,0,1,1,920.6582,1486070983127,-1,-1,920.1191,1486070982591
3,9,1,0.3,0,1,1,923.72,1486070986189,-1,-1,923.1904,1486070985663
3,10,1,0.3,0,1,1,926.7869,1486070989256,-1,-1,926.2546,1486070988726
3,11,1,0.3,1,0,3,929.8533,1486070992322,-1,-1,929.3203,1486070991792
3,12,1,0.3,0,1,3,932.9534,1486070995422,-1,-1,932.387,1486070994859
3,13,1,0.3,1,0,1,935.9871,1486070998456,-1,-1,935.4539,1486070997926
3,14,1,0.3,1,2,3,939.0251,1486071001494,-1,-1,938.4917,1486071000963
3,15,1,0.3,1,2,1,942.0894,1486071004559,-1,-1,941.5559,1486071004028
3,16,1,0.3,0,1,1,945.1553,1486071007624,-1,-1,944.6213,1486071007094
3,17,1,0.3,1,0,3,948.2209,1486071010690,-1,-1,947.6875,1486071010159
3,18,1,0.3,1,2,1,951.2546,1486071013724,-1,-1,950.7212,1486071013200
3,19,1,0.3,1,2,3,954.3269,1486071016796,-1,-1,953.7935,1486071016265
3,20,1,0.3,0,1,3,957.3921,1486071019862,-1,-1,956.8582,1486071019330
3,21,1,0.3,1,2,0,960.4551,1486071022924,-1,-1,959.9214,1486071022393
3,1,1,0.3,1,3,0,968.2219,1486071030691,-1,-1,967.6553,1486071030125
3,2,1,0.3,0,2,3,971.2556,1486071033725,972.0554,1486071034525,970.7222,1486071033194
3,3,1,0.3,1,0,1,974.3225,1486071036792,-1,-1,973.7559,1486071036234
3,4,1,0.3,0,1,1,977.3606,1486071039830,-1,-1,976.8271,1486071039299
3,5,1,0.3,1,0,0,980.4561,1486071042925,-1,-1,979.8928,1486071042365
3,6,1,0.3,1,0,2,983.5605,1486071046030,-1,-1,982.9895,1486071045461
3,7,1,0.3,0,1,2,986.626,1486071049095,-1,-1,986.0918,1486071048563
3,8,1,0.3,1,0,3,989.7065,1486071052176,-1,-1,989.1399,1486071051612
3,9,1,0.3,1,1,3,992.7737,1486071055243,994.1738,1486071056643,992.2073,1486071054678
3,10,1,0.3,0,1,3,995.8423,1486071058311,-1,-1,995.3069,1486071057780
3,11,1,0.3,1,0,2,998.9404,1486071061409,-1,-1,998.3748,1486071060847
3,12,1,0.3,1,2,3,1001.975,1486071064444,-1,-1,1001.441,1486071063912
3,13,1,0.3,1,1,3,1005.041,1486071067510,1005.508,1486071067977,1004.507,1486071066980
3,14,1,0.3,1,0,2,1008.108,1486071070577,-1,-1,1007.574,1486071070046
3,15,1,0.3,1,2,3,1011.146,1486071073616,-1,-1,1010.612,1486071073084
3,16,1,0.3,1,1,3,1014.212,1486071076681,1014.808,1486071077277,1013.678,1486071076149
3,17,1,0.3,1,2,1,1017.276,1486071079745,-1,-1,1016.743,1486071079214
3,18,1,0.3,0,2,3,1020.343,1486071082813,1020.842,1486071083311,1019.808,1486071082280
3,19,1,0.3,1,2,1,1023.442,1486071085911,-1,-1,1022.875,1486071085347
3,20,1,0.3,1,0,2,1026.476,1486071088945,-1,-1,1025.942,1486071088414
3,21,1,0.3,1,0,3,1029.515,1486071091984,-1,-1,1028.979,1486071091451
3,1,1,0.3,1,3,3,1047.881,1486071110350,-1,-1,1047.346,1486071109815
3,2,1,0.3,1,2,1,1050.946,1486071113415,-1,-1,1050.412,1486071112885
