%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1487809674035
2,1,1,1,0,1487809676869
2,2,2,2,0,1487809684936
2,0,2,2,0,1487809698453
2,0,2,2,1,1487809699387
2,1,4,4,0,1487809703754
2,1,4,4,1,1487809704653
2,2,6,6,0,1487809709120
2,2,6,6,1,1487809709954
2,3,7,7,0,1487809715988
2,3,7,7,1,1487809716454
2,4,4,4,0,1487809719722
2,4,4,4,1,1487809720356
2,5,6,6,0,1487809723821
2,5,6,6,1,1487809725589
2,6,1,1,0,1487809729955
2,6,1,1,1,1487809730855
2,7,7,7,0,1487809740856
2,7,7,7,1,1487809741656
2,8,0,4,0,1487809748956
2,8,4,4,0,1487809751623
2,8,4,4,1,1487809752656
2,9,3,3,0,1487809755823
2,9,3,3,1,1487809757356
2,10,7,7,0,1487809762190
2,10,7,7,1,1487809762924
2,11,1,1,0,1487809782658
2,11,1,1,1,1487809784225
2,12,6,6,0,1487809796992
2,12,6,6,1,1487809800192
2,13,4,4,0,1487809816526
2,13,4,4,1,1487809818427
2,14,1,4,0,1487809856029
2,14,1,4,1,1487809857462
2,15,5,5,0,1487809869896
2,15,5,5,1,1487809871730
2,16,6,6,0,1487809907532
2,16,6,6,1,1487809908332
2,17,3,3,0,1487809919366
2,17,3,3,1,1487809920032
2,18,2,2,0,1487809927433
2,18,2,2,1,1487809928133
2,19,5,5,0,1487809935067
2,19,5,5,1,1487809936200
2,20,3,0,0,1487809947034
2,20,4,0,0,1487809960568
2,20,0,0,0,1487809971903
2,20,0,0,1,1487809976736
2,21,5,5,0,1487809999204
2,21,5,5,1,1487809999870
2,22,5,5,0,1487810015571
2,22,5,5,1,1487810021504
2,23,0,1,0,1487810038906
2,23,0,1,1,1487810040639
2,24,0,0,0,1487810050906
2,24,0,0,1,1487810058340
2,25,5,5,0,1487810073541
2,25,5,5,1,1487810076408
2,26,2,3,0,1487810095743
2,26,6,3,0,1487810104843
2,26,6,3,1,1487810107476
2,27,1,6,0,1487810117977
2,27,6,6,0,1487810122878
2,27,6,6,1,1487810125410
2,28,1,1,0,1487810141211
2,28,1,1,1,1487810142245
2,29,2,2,0,1487810161579
2,29,2,2,1,1487810162946
2,30,7,0,0,1487810175647
2,30,7,0,1,1487810177447
2,31,2,2,0,1487810203715
2,31,2,2,1,1487810216682
2,32,5,0,0,1487810221616
2,32,5,0,1,1487810222282
2,33,6,6,0,1487810235116
2,33,6,6,1,1487810235783
2,34,0,3,0,1487810262185
2,34,0,3,1,1487810265018
2,35,0,0,0,1487810273752
2,35,0,0,1,1487810274752
2,36,2,2,0,1487810293088
2,36,2,2,1,1487810295820
2,37,4,3,0,1487810309154
2,37,4,3,1,1487810309787
2,38,2,4,0,1487810315421
2,38,2,4,1,1487810319555
2,39,6,6,0,1487810346223
2,39,6,6,1,1487810348490
2,40,7,7,0,1487810365225
2,40,7,7,1,1487810366058
2,41,-1,5,-1,1487810368024
2,40,7,7,1,1487810380891
2,41,5,5,0,1487810418627
